active_interface_count,base_seed,camera_bias_rmse,case_id,clean_reprojection_relative_l2,evaluation_forward_calls,false_positive_count,family,field_mean_bias,field_nrmse_dynamic_range,field_relative_l2,field_rmse,gate_probability_max,gradient_closure_rms,h1_seminorm_relative_error,initialization_adjoint_calls,interface_detection_f1,jump_rms,measured_reprojection_relative_l2,method,missed_truth_count,optimization_forward_calls,optimization_vjp_or_adjoint_calls,split,surface_assd,surface_f1_at_1dx,surface_f1_at_2dx,surface_hd95,wall_seconds
,101,,a9159da5d4680ef97180,0.022190597097987163,1,1,smooth_no_interface,0.010033410508961636,0.05209587315896777,0.4745839573184916,0.032680298978788005,,,0.9858455420933914,0,0.0,,0.0016821820682128106,cgls,0,24,24,development,3.4641016151377544,0.0,0.0,3.4641016151377544,0.016102374996989965
,101,,a9159da5d4680ef97180,0.09214052999982054,1,1,smooth_no_interface,0.010940740178619533,0.04670660207957728,0.4254886750853929,0.029299551532348502,,,0.7998094986666108,0,0.0,,0.09087460802841996,huber_pdhg,0,24,24,development,3.4641016151377544,0.0,0.0,3.4641016151377544,0.02124737499980256
0,101,,a9159da5d4680ef97180,0.08587805671569508,1,0,smooth_no_interface,0.015901170297332942,0.09366846751802134,0.8533027530801438,0.05875923250260162,0.1992895802343325,,1.750143366177826,1,1.0,,0.08435100454221613,phase_only,0,24,24,development,0.0,1.0,1.0,0.0,0.5925258750212379
0,101,,a9159da5d4680ef97180,0.26949396440644385,3,0,smooth_no_interface,0.02351588436356042,0.09083564339871446,0.8274962390626986,0.056982171603924,0.18924533885911562,0.0,1.429808921996886,1,1.0,0.004707631567181074,0.2686217303513163,jacru_no_bias,0,24,24,development,0.0,1.0,1.0,0.0,0.07291570899542421
0,101,0.006533661168789454,a9159da5d4680ef97180,0.3498427736219726,3,0,smooth_no_interface,0.023047348866078798,0.0864651329298798,0.7876816812478751,0.0542405035954888,0.18614271604277313,0.0,1.2205280544651507,1,1.0,0.003767912409683184,0.3485849210021225,jacru_bias,0,24,24,development,0.0,1.0,1.0,0.0,0.07267925003543496
,101,,c21cdab553cf29a88312,0.021046202657949434,1,0,single_interface,0.002461892695733823,0.06585641164961661,0.563724439536388,0.06598248547431725,,,1.0609056913639625,0,1.0,,0.005885724508715548,cgls,0,24,24,development,0.21928004773722376,0.5246474242639438,0.6741424802110818,0.8131156281817418,0.012406458030454814
,101,,c21cdab553cf29a88312,0.13426467270684472,1,0,single_interface,0.0031589911747450924,0.06390080132588766,0.5469846065257308,0.06402313138036211,,,0.9276454461980317,0,1.0,,0.13636515529329177,huber_pdhg,0,24,24,development,0.21632838358635198,0.5211867277436435,0.7011494252873562,0.7713892158398701,0.020722208020742983
0,101,,c21cdab553cf29a88312,0.17452660865932246,1,0,single_interface,0.004146561617745892,0.07543001944380275,0.6456735854575535,0.07557442073762238,0.19973106462811877,,1.2188542030178449,1,0.0,,0.17745208339205829,phase_only,1,24,24,development,3.4641016151377544,0.0,0.0,3.4641016151377544,0.04764091596007347
0,101,,c21cdab553cf29a88312,0.39277246892316847,3,0,single_interface,0.005401274257656367,0.08819733713214706,0.7549605755616795,0.08836617985136201,0.191169390032451,0.0,1.104998645140627,1,0.0,0.005617865272494167,0.3939812020314345,jacru_no_bias,1,24,24,development,3.4641016151377544,0.0,0.0,3.4641016151377544,0.073488499969244
0,101,0.02184301334678334,c21cdab553cf29a88312,0.4696267660852708,3,0,single_interface,0.005285872729155582,0.0883711280393009,0.7564482087211213,0.08854030345936933,0.1880236430695594,0.0,0.9881235187060969,1,0.0,0.004154884283701009,0.46953566206266867,jacru_bias,1,24,24,development,3.4641016151377544,0.0,0.0,3.4641016151377544,0.0747462089639157
