base_seed,scene,model,condition_class,expected_exact,nuisance_rank,nuisance_row_count,nuisance_column_count,profile_relative_rank,generalized_profile_rank,generalized_minimum_retention,generalized_median_retention,generalized_maximum_retention,profile_trace_retention,profile_max_eigenvalue_retention,profile_minimum_eigenvalue_relative_to_raw,profile_condition_number,projector_orthogonality_defect,nuisance_residual_orthogonality_defect,profile_symmetry_defect,clean_model_residual_relative_l2
709,pure_transport,transport_exact,frozen_transport,True,512,1152,512,5,5,0.00036340919676003776,0.02048695176783179,0.054243290983839586,0.017839131907686507,0.0336544546403896,0.00012948652410417667,259.9070047884933,3.4524359628298355e-15,2.28363215997343e-16,0.0,3.0129479747293183e-15
709,pure_transport,transport_velocity_mismatch_10pct,frozen_transport,False,512,1152,512,5,5,0.0006266796881195561,0.026571889355004815,0.06826511365041736,0.02367976114479432,0.04474705910502884,0.00017030076706227754,262.75312716979846,3.481831110203678e-15,2.2888202723733285e-16,0.0,0.0027040816863270903
709,pure_transport,transport_wrong_frame_order,frozen_transport,False,512,1152,512,5,5,0.000991594513746866,0.042463665327552094,0.08574874092905849,0.03290231809260634,0.0590499413483357,0.00012103381023466635,487.8797191780276,3.4316542744314566e-15,2.425730638934671e-16,0.0,0.040094692570786725
709,reacting_birth,transport_only_reacting,frozen_transport,False,512,1152,512,5,5,0.0005563101480424062,0.023934882149404466,0.06377340250840435,0.01812165973570869,0.032608525059282474,0.00015707781716754732,207.59471736547326,3.4524359628298355e-15,2.2161570803603715e-16,0.0,0.007424329601766179
709,reacting_birth,transport_shared_birth,frozen_transport_plus_shared_free_source,True,704,1152,1024,5,5,3.6323364860888604e-05,0.0016881274510149975,0.004408139539030263,0.001467515298532883,0.002730439432048335,1.5839929309837198e-05,172.37699604837428,3.752999573600916e-15,2.388043825570023e-16,0.0,3.568210031012058e-15
709,pure_transport,pilot_pca_rank_4,frozen_independent_fit_spatial_basis,False,24,1152,24,5,5,0.8411179915578385,0.9903562023610367,0.9997178813022515,0.9835631603003977,0.9741862891544317,0.019416985401361105,50.17186082274865,5.50212760906351e-16,2.214528873689522e-17,0.0,0.0913015696933122
709,pure_transport,teacher_pca_rank_4,frozen_independent_fit_spatial_basis,False,24,1152,24,5,5,0.8420099275582531,0.990407117221122,0.9997166981441524,0.9835865925892993,0.9741863274362014,0.019437975610754627,50.117684420655635,7.496537780064035e-16,2.5859311988661763e-17,0.0,0.09125039962806113
709,reacting_birth,pilot_pca_rank_4_reacting,frozen_independent_fit_spatial_basis,False,24,1152,24,5,5,0.821743532905688,0.9909161826152242,0.9995374456560506,0.9813455874467234,0.9708922914599716,0.021891746314896394,44.349695885125485,5.50212760906351e-16,2.2412846169258468e-17,0.0,0.10403417694270614
709,pure_transport,pilot_pca_rank_8,frozen_independent_fit_spatial_basis,False,48,1152,48,5,5,0.798200878097292,0.9458799798323501,0.9980295322114706,0.9448479564007062,0.9022368365047707,0.01849902014927644,48.77214194180227,9.761815091727862e-16,3.8163302802103926e-17,0.0,0.04027710285496129
709,pure_transport,teacher_pca_rank_8,frozen_independent_fit_spatial_basis,False,48,1152,48,5,5,0.7988178918868735,0.9456323086104415,0.9981069489963867,0.9455275321616113,0.9036706623530768,0.01851470501306904,48.80826681900681,8.730258881894962e-16,3.483401739067645e-17,0.0,0.04053308840169018
