noise_level,view_count,dynamics,best_rank,best_rel_l2_global,rank_1_regret_pct,rank_2_regret_pct,rank_3_regret_pct,rank_5_regret_pct,rank_8_regret_pct
0.0,3,chirp,2,0.49733146340560586,3.278833693049,0.0,0.313335929153206,0.47482315468003167,0.5471351218069785
0.0,3,fast,2,0.5077695106792928,3.196004366986545,0.0,0.21966681030428084,0.2682928095992212,0.39290533204931544
0.0,3,smooth,2,0.5077735864280359,3.202035145640541,0.0,0.21751292190881952,0.30267338923880066,0.41255712149436163
0.0,3,transient,2,0.5068279650756325,3.0218158144824616,0.0,0.17373039589435646,0.20879898983365738,0.3259220009094525
0.0,5,chirp,5,0.3413480522128788,13.548044824642346,2.1691154199435885,0.4669581061716558,0.0,0.01210620241509872
0.0,5,fast,5,0.34819980278364976,13.045001050113244,2.3327192562624575,0.6401386141340836,0.0,0.014412216766542871
0.0,5,smooth,5,0.34825292412011105,12.959710364257273,2.265433772928482,0.5661781624904804,0.0,0.00909510551548725
0.0,5,transient,8,0.34898088378856335,12.618819599668077,2.48862343134537,0.8175406411712084,0.006507673757338314,0.0
0.0,7,chirp,8,0.2833042724047316,24.568372185998456,5.41299160927498,1.3558256599039555,0.03325083461374209,0.0
0.0,7,fast,8,0.2875055952867913,24.15877037136402,5.6540036864451535,1.670491482300998,0.024165864600734537,0.0
0.0,7,smooth,8,0.2874488577345887,24.077616306805353,5.574475504836024,1.5761256486080986,0.03374051605528816,0.0
0.0,7,transient,8,0.28842429486042026,23.729688048975323,5.971196530267879,2.0829496521297184,0.0916814238287384,0.0
0.0,9,chirp,8,0.27201946263230237,27.90329500823347,6.269053673170113,1.6320265929405584,0.05596060633350097,0.0
0.0,9,fast,8,0.2753663064149557,27.690683007942933,6.555205916993821,2.0053125377882632,0.038484994878992554,0.0
0.0,9,smooth,8,0.2753082806353465,27.608875130361543,6.471212072695647,1.9037929416835102,0.05052772829316671,0.0
0.0,9,transient,8,0.27571824165575215,27.41485310872984,6.9693967125536656,2.515784459033726,0.12464603240552893,0.0
0.07,3,chirp,2,0.49826878011639336,3.2187261719487807,0.0,0.35831196756451594,0.6360763269649048,0.9327856081739404
0.07,3,fast,2,0.5087049432206051,3.1209089689033993,0.0,0.2644456002552284,0.4097626639518047,0.738833788070833
