rank,noise_level,view_count,dynamics,seed_count,rel_l2_global_improvement_pct_mean,rel_l2_global_improvement_pct_std,rel_l2_global_improvement_pct_ci95,rel_l2_global_improvement_pct_win_rate,paper_l2_squared_improvement_pct_mean,paper_l2_squared_improvement_pct_std,paper_l2_squared_improvement_pct_ci95,paper_l2_squared_improvement_pct_win_rate,temporal_gradient_rel_l2_improvement_pct_mean,temporal_gradient_rel_l2_improvement_pct_std,temporal_gradient_rel_l2_improvement_pct_ci95,temporal_gradient_rel_l2_improvement_pct_win_rate,temporal_curvature_rel_l2_improvement_pct_mean,temporal_curvature_rel_l2_improvement_pct_std,temporal_curvature_rel_l2_improvement_pct_ci95,temporal_curvature_rel_l2_improvement_pct_win_rate,centroid_rmse_improvement_pct_mean,centroid_rmse_improvement_pct_std,centroid_rmse_improvement_pct_ci95,centroid_rmse_improvement_pct_win_rate,mass_trace_rmse_improvement_pct_mean,mass_trace_rmse_improvement_pct_std,mass_trace_rmse_improvement_pct_ci95,mass_trace_rmse_improvement_pct_win_rate,heldout_reprojection_rel_l2_improvement_pct_mean,heldout_reprojection_rel_l2_improvement_pct_std,heldout_reprojection_rel_l2_improvement_pct_ci95,heldout_reprojection_rel_l2_improvement_pct_win_rate,dynamics_energy_closeness_gain_mean,dynamics_energy_closeness_gain_std,dynamics_energy_closeness_gain_ci95,dynamics_energy_closeness_gain_win_rate,lowrank_rel_l2_global_mean,lowrank_rel_l2_global_std,lowrank_rel_l2_global_ci95,lowrank_temporal_gradient_rel_l2_mean,lowrank_temporal_gradient_rel_l2_std,lowrank_temporal_gradient_rel_l2_ci95,lowrank_mass_trace_rmse_mean,lowrank_mass_trace_rmse_std,lowrank_mass_trace_rmse_ci95,lowrank_heldout_reprojection_rel_l2_mean,lowrank_heldout_reprojection_rel_l2_std,lowrank_heldout_reprojection_rel_l2_ci95
1,0.0,3,smooth,8,-2.766544613356099,0.0,0.0,0.0,-5.609626917678671,0.0,0.0,0.0,-1.7418412707909845,0.0,0.0,0.0,6.256604382906883,0.0,0.0,1.0,-6.695771858086186,0.0,0.0,0.0,-0.3673760748609149,0.0,0.0,0.0,-1.420524943141222,0.0,0.0,0.0,-0.3718208569614445,0.0,0.0,0.0,0.5240326751257731,0.0,0.0,0.9405624235890695,0.0,0.0,0.19355812722015248,0.0,0.0,0.49195966877373287,0.0,0.0
2,0.0,3,smooth,8,0.4219786282992093,0.0,0.0,1.0,0.8421765969694274,0.0,0.0,1.0,3.812664394865542,0.0,0.0,1.0,8.033817827593086,0.0,0.0,1.0,1.583856877140874,0.0,0.0,1.0,-2.775551327698734,0.0,0.0,0.0,0.9924649456589023,0.0,0.0,1.0,-0.22959674449117318,0.0,0.0,0.0,0.5077735864280359,0.0,0.0,0.8892132515524658,0.0,0.0,0.1982022846165952,0.0,0.0,0.48025499945638905,0.0,0.0
3,0.0,3,smooth,8,0.20538356443463418,0.0,0.0,1.0,0.41034530478313463,0.0,0.0,1.0,2.4299998117470305,0.0,0.0,1.0,6.980921986248501,0.0,0.0,1.0,0.6714782149386302,0.0,0.0,1.0,-2.710836953685221,0.0,0.0,0.0,-0.028425982927702407,0.0,0.0,0.0,-0.08999091057876762,0.0,0.0,0.0,0.5088780595925589,0.0,0.0,0.9019954298093817,0.0,0.0,0.19807748317684248,0.0,0.0,0.48520702631056045,0.0,0.0
5,0.0,3,smooth,8,0.12058245607654529,0.0,0.0,1.0,0.2410195108655415,0.0,0.0,1.0,1.6308071281629077,0.0,0.0,1.0,4.571249549752032,0.0,0.0,1.0,0.20143912694464974,0.0,0.0,1.0,-0.18451553649198615,0.0,0.0,0.0,0.06656463579487826,0.0,0.0,1.0,-0.022750418259482763,0.0,0.0,0.0,0.5093104819517401,0.0,0.0,0.9093836449035697,0.0,0.0,0.19320548132331303,0.0,0.0,0.4847462561326338,0.0,0.0
8,0.0,3,smooth,8,0.011162409687080318,0.0,0.0,1.0,0.02232357338024644,0.0,0.0,1.0,0.17996977464610453,0.0,0.0,1.0,0.9665485189516234,0.0,0.0,1.0,0.0068683247934552315,0.0,0.0,1.0,-0.030511202533426242,0.0,0.0,0.0,0.002784925772926092,0.0,0.0,1.0,-3.971894720899982e-07,0.0,0.0,0.0,0.5098684425199163,0.0,0.0,0.9227960530182097,0.0,0.0,0.19290848451388437,0.0,0.0,0.48505563182394024,0.0,0.0
1,0.0,3,transient,8,-2.6741675407605032,0.0,0.0,0.0,-5.419846801871417,0.0,0.0,0.0,-2.0613535866148487,0.0,0.0,0.0,4.082041786730499,0.0,0.0,1.0,-9.732591941586447,0.0,0.0,0.0,-1.4202445123413678,0.0,0.0,0.0,0.29151847113345253,0.0,0.0,1.0,-0.38226645630969003,0.0,0.0,0.0,0.5221433726765379,0.0,0.0,0.9452997236105852,0.0,0.0,0.19482933165760175,0.0,0.0,0.49932805519510626,0.0,0.0
2,0.0,3,transient,8,0.33745112234091185,0.0,0.0,1.0,0.6737635120808577,0.0,0.0,1.0,2.8500993424268874,0.0,0.0,1.0,5.3453578376191055,0.0,0.0,1.0,2.04016764337866,0.0,0.0,1.0,-3.266993121399863,0.0,0.0,0.0,1.2745868064666428,0.0,0.0,1.0,-0.24818779583193717,0.0,0.0,0.0,0.5068279650756325,0.0,0.0,0.8998094872654996,0.0,0.0,0.19837695470834815,0.0,0.0,0.4944049674850133,0.0,0.0
3,0.0,3,transient,8,0.1643069816173482,0.0,0.0,1.0,0.3283439953920197,0.0,0.0,1.0,1.9042259308545326,0.0,0.0,1.0,4.8607397565717205,0.0,0.0,1.0,0.8823120774820147,0.0,0.0,1.0,-3.1324810031792074,0.0,0.0,0.0,0.04223079194515768,0.0,0.0,1.0,-0.10934165098124926,0.0,0.0,0.0,0.5077084793058635,0.0,0.0,0.908570236002504,0.0,0.0,0.1981185555473234,0.0,0.0,0.5005764578397439,0.0,0.0
5,0.0,3,transient,8,0.1293567270418846,0.0,0.0,1.0,0.258546122455003,0.0,0.0,1.0,1.6483300486538477,0.0,0.0,1.0,3.90047053742453,0.0,0.0,1.0,0.23929695597546574,0.0,0.0,1.0,-0.2102989667246825,0.0,0.0,0.0,0.07268857179424638,0.0,0.0,1.0,-0.02278128013479408,0.0,0.0,0.0,0.507886216746907,0.0,0.0,0.9109403623844979,0.0,0.0,0.19250501383398305,0.0,0.0,0.5004239289500804,0.0,0.0
8,0.0,3,transient,8,0.012628948881484237,0.0,0.0,1.0,0.025256302859433748,0.0,0.0,1.0,0.1828520892014133,0.0,0.0,1.0,0.7186721433590619,0.0,0.0,1.0,0.020931919307109356,0.0,0.0,1.0,-0.03572904002283005,0.0,0.0,0.0,0.004540261850879962,0.0,0.0,1.0,0.004922248777994742,0.0,0.0,1.0,0.508479828920579,0.0,0.0,0.9245137264576444,0.0,0.0,0.19216966321132828,0.0,0.0,0.5007652074706952,0.0,0.0
