method,mean_rel_l2,median_rel_l2,max_rel_l2,temporal_smoothness,centroid_rmse
framewise baseline,0.3657431291581072,0.3672892885087863,0.40125963671221315,0.2788486511322934,0.04014393441850092
low-rank rank 3,0.3471374632483714,0.34946713790910233,0.38425430740924754,0.176693433209875,0.03811444514836865
