design_id,seed,rank,noise_level,view_count,dynamics,framewise_rel_l2_global,lowrank_rel_l2_global,rel_l2_global_improvement_pct,framewise_paper_l2_squared,lowrank_paper_l2_squared,paper_l2_squared_improvement_pct,framewise_temporal_gradient_rel_l2,lowrank_temporal_gradient_rel_l2,temporal_gradient_rel_l2_improvement_pct,framewise_temporal_curvature_rel_l2,lowrank_temporal_curvature_rel_l2,temporal_curvature_rel_l2_improvement_pct,framewise_centroid_rmse,lowrank_centroid_rmse,centroid_rmse_improvement_pct,framewise_mass_trace_rmse,lowrank_mass_trace_rmse,mass_trace_rmse_improvement_pct,framewise_heldout_reprojection_rel_l2,lowrank_heldout_reprojection_rel_l2,heldout_reprojection_rel_l2_improvement_pct,framewise_dynamics_energy_ratio,lowrank_dynamics_energy_ratio,dynamics_energy_closeness_gain
d-smooth_v-3_n-0.00_s-20260710,20260710,1,0.0,3,smooth,0.5099253624779745,0.5240326751257731,-2.766544613356099,0.26002387529829374,0.27461024459947414,-5.609626917678671,0.9244598012391955,0.9405624235890695,-1.7418412707909845,1.0441510654316883,0.9788226641076578,6.256604382906883,0.04888581754375582,0.05215910035751294,-6.695771858086186,0.19284964376848887,0.19355812722015248,-0.3673760748609149,0.48506914063945444,0.49195966877373287,-1.420524943141222,1.0022449011275902,0.6259342419109652,-0.3718208569614445
d-smooth_v-3_n-0.00_s-20260710,20260710,2,0.0,3,smooth,0.5099253624779745,0.5077735864280359,0.4219786282992093,0.26002387529829374,0.2578340150739901,0.8421765969694274,0.9244598012391955,0.8892132515524658,3.812664394865542,1.0441510654316883,0.9602658709899539,8.033817827593086,0.04888581754375582,0.04811153616062667,1.583856877140874,0.19284964376848887,0.1982022846165952,-2.775551327698734,0.48506914063945444,0.48025499945638905,0.9924649456589023,1.0022449011275902,0.7681583543812366,-0.22959674449117318
d-smooth_v-3_n-0.00_s-20260710,20260710,3,0.0,3,smooth,0.5099253624779745,0.5088780595925589,0.20538356443463418,0.26002387529829374,0.25895687953468793,0.41034530478313463,0.9244598012391955,0.9019954298093817,2.4299998117470305,1.0441510654316883,0.9712596941352498,6.980921986248501,0.04888581754375582,0.04855755992874814,0.6714782149386302,0.19284964376848887,0.19807748317684248,-2.710836953685221,0.48506914063945444,0.48520702631056045,-0.028425982927702407,1.0022449011275902,0.9077641882936421,-0.08999091057876762
d-smooth_v-3_n-0.00_s-20260710,20260710,5,0.0,3,smooth,0.5099253624779745,0.5093104819517401,0.12058245607654529,0.26002387529829374,0.25939716702591376,0.2410195108655415,0.9244598012391955,0.9093836449035697,1.6308071281629077,1.0441510654316883,0.9964203145543655,4.571249549752032,0.04888581754375582,0.04878734237969391,0.20143912694464974,0.19284964376848887,0.19320548132331303,-0.18451553649198615,0.48506914063945444,0.4847462561326338,0.06656463579487826,1.0022449011275902,0.975004680612927,-0.022750418259482763
d-smooth_v-3_n-0.00_s-20260710,20260710,8,0.0,3,smooth,0.5099253624779745,0.5098684425199163,0.011162409687080318,0.26002387529829374,0.25996582867768514,0.02232357338024644,0.9244598012391955,0.9227960530182097,0.17996977464610453,1.0441510654316883,1.034058838773131,0.9665485189516234,0.04888581754375582,0.04888245990702891,0.0068683247934552315,0.19284964376848887,0.19290848451388437,-0.030511202533426242,0.48506914063945444,0.48505563182394024,0.002784925772926092,1.0022449011275902,0.9977547016829377,-3.971894720899982e-07
d-smooth_v-3_n-0.00_s-20260711,20260711,1,0.0,3,smooth,0.5099253624779745,0.5240326751257731,-2.766544613356099,0.26002387529829374,0.27461024459947414,-5.609626917678671,0.9244598012391955,0.9405624235890695,-1.7418412707909845,1.0441510654316883,0.9788226641076578,6.256604382906883,0.04888581754375582,0.05215910035751294,-6.695771858086186,0.19284964376848887,0.19355812722015248,-0.3673760748609149,0.48506914063945444,0.49195966877373287,-1.420524943141222,1.0022449011275902,0.6259342419109652,-0.3718208569614445
d-smooth_v-3_n-0.00_s-20260711,20260711,2,0.0,3,smooth,0.5099253624779745,0.5077735864280359,0.4219786282992093,0.26002387529829374,0.2578340150739901,0.8421765969694274,0.9244598012391955,0.8892132515524658,3.812664394865542,1.0441510654316883,0.9602658709899539,8.033817827593086,0.04888581754375582,0.04811153616062667,1.583856877140874,0.19284964376848887,0.1982022846165952,-2.775551327698734,0.48506914063945444,0.48025499945638905,0.9924649456589023,1.0022449011275902,0.7681583543812366,-0.22959674449117318
d-smooth_v-3_n-0.00_s-20260711,20260711,3,0.0,3,smooth,0.5099253624779745,0.5088780595925589,0.20538356443463418,0.26002387529829374,0.25895687953468793,0.41034530478313463,0.9244598012391955,0.9019954298093817,2.4299998117470305,1.0441510654316883,0.9712596941352498,6.980921986248501,0.04888581754375582,0.04855755992874814,0.6714782149386302,0.19284964376848887,0.19807748317684248,-2.710836953685221,0.48506914063945444,0.48520702631056045,-0.028425982927702407,1.0022449011275902,0.9077641882936421,-0.08999091057876762
d-smooth_v-3_n-0.00_s-20260711,20260711,5,0.0,3,smooth,0.5099253624779745,0.5093104819517401,0.12058245607654529,0.26002387529829374,0.25939716702591376,0.2410195108655415,0.9244598012391955,0.9093836449035697,1.6308071281629077,1.0441510654316883,0.9964203145543655,4.571249549752032,0.04888581754375582,0.04878734237969391,0.20143912694464974,0.19284964376848887,0.19320548132331303,-0.18451553649198615,0.48506914063945444,0.4847462561326338,0.06656463579487826,1.0022449011275902,0.975004680612927,-0.022750418259482763
d-smooth_v-3_n-0.00_s-20260711,20260711,8,0.0,3,smooth,0.5099253624779745,0.5098684425199163,0.011162409687080318,0.26002387529829374,0.25996582867768514,0.02232357338024644,0.9244598012391955,0.9227960530182097,0.17996977464610453,1.0441510654316883,1.034058838773131,0.9665485189516234,0.04888581754375582,0.04888245990702891,0.0068683247934552315,0.19284964376848887,0.19290848451388437,-0.030511202533426242,0.48506914063945444,0.48505563182394024,0.002784925772926092,1.0022449011275902,0.9977547016829377,-3.971894720899982e-07
d-smooth_v-3_n-0.00_s-20260712,20260712,1,0.0,3,smooth,0.5099253624779745,0.5240326751257731,-2.766544613356099,0.26002387529829374,0.27461024459947414,-5.609626917678671,0.9244598012391955,0.9405624235890695,-1.7418412707909845,1.0441510654316883,0.9788226641076578,6.256604382906883,0.04888581754375582,0.05215910035751294,-6.695771858086186,0.19284964376848887,0.19355812722015248,-0.3673760748609149,0.48506914063945444,0.49195966877373287,-1.420524943141222,1.0022449011275902,0.6259342419109652,-0.3718208569614445
d-smooth_v-3_n-0.00_s-20260712,20260712,2,0.0,3,smooth,0.5099253624779745,0.5077735864280359,0.4219786282992093,0.26002387529829374,0.2578340150739901,0.8421765969694274,0.9244598012391955,0.8892132515524658,3.812664394865542,1.0441510654316883,0.9602658709899539,8.033817827593086,0.04888581754375582,0.04811153616062667,1.583856877140874,0.19284964376848887,0.1982022846165952,-2.775551327698734,0.48506914063945444,0.48025499945638905,0.9924649456589023,1.0022449011275902,0.7681583543812366,-0.22959674449117318
d-smooth_v-3_n-0.00_s-20260712,20260712,3,0.0,3,smooth,0.5099253624779745,0.5088780595925589,0.20538356443463418,0.26002387529829374,0.25895687953468793,0.41034530478313463,0.9244598012391955,0.9019954298093817,2.4299998117470305,1.0441510654316883,0.9712596941352498,6.980921986248501,0.04888581754375582,0.04855755992874814,0.6714782149386302,0.19284964376848887,0.19807748317684248,-2.710836953685221,0.48506914063945444,0.48520702631056045,-0.028425982927702407,1.0022449011275902,0.9077641882936421,-0.08999091057876762
d-smooth_v-3_n-0.00_s-20260712,20260712,5,0.0,3,smooth,0.5099253624779745,0.5093104819517401,0.12058245607654529,0.26002387529829374,0.25939716702591376,0.2410195108655415,0.9244598012391955,0.9093836449035697,1.6308071281629077,1.0441510654316883,0.9964203145543655,4.571249549752032,0.04888581754375582,0.04878734237969391,0.20143912694464974,0.19284964376848887,0.19320548132331303,-0.18451553649198615,0.48506914063945444,0.4847462561326338,0.06656463579487826,1.0022449011275902,0.975004680612927,-0.022750418259482763
d-smooth_v-3_n-0.00_s-20260712,20260712,8,0.0,3,smooth,0.5099253624779745,0.5098684425199163,0.011162409687080318,0.26002387529829374,0.25996582867768514,0.02232357338024644,0.9244598012391955,0.9227960530182097,0.17996977464610453,1.0441510654316883,1.034058838773131,0.9665485189516234,0.04888581754375582,0.04888245990702891,0.0068683247934552315,0.19284964376848887,0.19290848451388437,-0.030511202533426242,0.48506914063945444,0.48505563182394024,0.002784925772926092,1.0022449011275902,0.9977547016829377,-3.971894720899982e-07
d-smooth_v-3_n-0.00_s-20260713,20260713,1,0.0,3,smooth,0.5099253624779745,0.5240326751257731,-2.766544613356099,0.26002387529829374,0.27461024459947414,-5.609626917678671,0.9244598012391955,0.9405624235890695,-1.7418412707909845,1.0441510654316883,0.9788226641076578,6.256604382906883,0.04888581754375582,0.05215910035751294,-6.695771858086186,0.19284964376848887,0.19355812722015248,-0.3673760748609149,0.48506914063945444,0.49195966877373287,-1.420524943141222,1.0022449011275902,0.6259342419109652,-0.3718208569614445
d-smooth_v-3_n-0.00_s-20260713,20260713,2,0.0,3,smooth,0.5099253624779745,0.5077735864280359,0.4219786282992093,0.26002387529829374,0.2578340150739901,0.8421765969694274,0.9244598012391955,0.8892132515524658,3.812664394865542,1.0441510654316883,0.9602658709899539,8.033817827593086,0.04888581754375582,0.04811153616062667,1.583856877140874,0.19284964376848887,0.1982022846165952,-2.775551327698734,0.48506914063945444,0.48025499945638905,0.9924649456589023,1.0022449011275902,0.7681583543812366,-0.22959674449117318
d-smooth_v-3_n-0.00_s-20260713,20260713,3,0.0,3,smooth,0.5099253624779745,0.5088780595925589,0.20538356443463418,0.26002387529829374,0.25895687953468793,0.41034530478313463,0.9244598012391955,0.9019954298093817,2.4299998117470305,1.0441510654316883,0.9712596941352498,6.980921986248501,0.04888581754375582,0.04855755992874814,0.6714782149386302,0.19284964376848887,0.19807748317684248,-2.710836953685221,0.48506914063945444,0.48520702631056045,-0.028425982927702407,1.0022449011275902,0.9077641882936421,-0.08999091057876762
d-smooth_v-3_n-0.00_s-20260713,20260713,5,0.0,3,smooth,0.5099253624779745,0.5093104819517401,0.12058245607654529,0.26002387529829374,0.25939716702591376,0.2410195108655415,0.9244598012391955,0.9093836449035697,1.6308071281629077,1.0441510654316883,0.9964203145543655,4.571249549752032,0.04888581754375582,0.04878734237969391,0.20143912694464974,0.19284964376848887,0.19320548132331303,-0.18451553649198615,0.48506914063945444,0.4847462561326338,0.06656463579487826,1.0022449011275902,0.975004680612927,-0.022750418259482763
