method,mean_rel_l2,median_rel_l2,max_rel_l2,temporal_smoothness,centroid_rmse,rank
low-rank rank 1,0.3848119862023365,0.40380766179593086,0.42418622585795146,0.10104594695775944,0.03679854927391125,1
low-rank rank 2,0.3501065103963467,0.3542061593767874,0.40126920004886224,0.14769088399844377,0.038136050029211645,2
low-rank rank 3,0.3471374632483714,0.34946713790910233,0.38425430740924754,0.176693433209875,0.03811444514836865,3
low-rank rank 5,0.35148565819353883,0.3505644394020608,0.38603670038271026,0.1964304734429596,0.03859427675458145,5
low-rank rank 8,0.35654409642162643,0.35646319516871317,0.39013480736374595,0.22226216605630808,0.03905237830799844,8
low-rank rank 12,0.3612145763991718,0.3652085956967335,0.3933797996693064,0.25187662673407163,0.0395593736553506,12
