field,view_index,count,sum_prediction_x,sum_prediction_y,sum_prediction_z,sum_observation_x,sum_observation_y,sum_observation_z,sum_prediction_squared_x,sum_prediction_squared_y,sum_prediction_squared_z,sum_observation_squared_x,sum_observation_squared_y,sum_observation_squared_z,sum_product_x,sum_product_y,sum_product_z,prediction_squared_total,observation_squared_total,product_total
ground_truth,1,512,117.08556580293838,102.53951163466678,-24.48539994106701,111.94492881724031,92.11210377837568,0.044685245124128414,6219.666684632151,1166.6200008821365,19.2480009205446,5735.425629451227,1119.2650830670973,3.8999436168035755e-06,5938.743215787866,1128.9023655173169,-0.002136984567048632,7405.534686434829,6854.690716418272,7067.643444320615
ground_truth,2,512,3.479471978661994,51.538585765441454,-11.783627291466432,-7.7461187249004695,56.35062214498428,2.0821135271983877,5148.367880461863,1004.3948268358745,394.66972187737855,4998.958185667067,944.0368556872725,358.89714421611984,5037.653610533835,957.8003653238641,356.36274668798114,6547.432429175118,6301.8921855704575,6351.816722545681
ground_truth,3,512,-202.47794777058505,120.0897970665588,106.1388950825113,-190.13900875600743,121.30286631022739,109.77703499343943,4855.3754873459675,1054.8697209506304,1660.9848473564566,4491.516445720059,1018.0095762369745,1497.1592788355647,4631.073486963809,1018.4721191338557,1555.2012343813694,7571.230055653056,7006.685300792602,7204.74684047904
ground_truth,4,512,8.780153313967233,83.39595182448807,-26.49872938746729,17.496643065985285,72.10188685668797,-17.50060958384911,3307.3063854674665,1468.7789773895126,3366.795448427463,3149.532702357319,1306.4824515117057,3149.505452107753,3189.8455363933076,1367.1804506877722,3213.248674706536,8142.880811284437,7605.520605976776,7770.274661787622
ground_truth,5,512,4.285684691035007,42.776876585467164,-29.886165971656037,10.396842360444728,43.772300035052226,-18.00597018026326,1340.0873107873208,937.362142544192,3946.6181751906247,1288.9416541014634,921.4590626990906,3866.8262624867884,1290.0991527062313,914.4169131581197,3865.392467078573,6224.0676285221325,6077.226979287343,6069.9085329429245
ground_truth,6,512,-15.495456380281727,79.10256110181635,9.779024334072366,-5.966527481813621,81.15454529551471,22.274879072488705,533.5100630789715,1403.9552358928404,6894.922892595174,452.2697877571175,1299.1298317839687,6299.417597136366,477.5299683052404,1328.1975825935156,6529.891522604338,8832.388191566988,8050.81721667746,8335.619073503101
ground_truth,7,512,-6.875874858806192,39.56605922695634,2.0946139284973837,0.044685245124128414,40.09915357764617,10.39220129374295,29.46570429430109,1533.3040714797976,7017.759580515811,3.8999436168035755e-06,1388.8272476221741,6511.018076474843,-0.0006000979560714597,1436.9049452115153,6714.868996826727,8580.529356289913,7899.845327996965,8151.773341940284
ground_truth,8,512,-23.727498524087686,37.05868023910839,-2.2226620954347607,-4.91197399235754,31.602391794875164,-18.339611308712144,400.2925119361133,1122.238280306013,5020.539462210732,340.13194819716375,1118.6344947799416,4737.55208730056,351.97749866057393,1098.6566218156242,4845.603744480563,6543.070254452856,6196.3185302776665,6296.237864956762
ground_truth,9,512,18.285792414075072,66.54452955167825,59.4671425968348,24.119960923478274,66.37274785040131,41.77561000513841,1746.8727406556511,1739.494326718504,5003.399490688414,1489.4352058582715,1485.3768853628676,4468.260698299154,1583.985751979909,1579.9663223550688,4684.642569872555,8489.766558062569,7443.0727895202945,7848.59464420753
ground_truth,10,512,-118.81019644056538,94.4988425808768,-100.53944363764491,-103.7733985029106,88.0516860884116,-103.7733985029106,3405.242516335188,873.6299453551338,3391.221591933387,3103.9233616650267,817.0005301626398,3103.9233616650267,3227.3264449273943,830.5515320158229,3220.973064644016,7670.094053623706,7024.847253492697,7278.851041587236
