method,model_seed,split,projection_variant,projection_iterations,case_count,paired_call_budget,damping_fraction,field_relative_l2_mean,h1_seminorm_relative_error_mean,field_gain_to_best_matched_classical_mean,h1_gain_to_best_matched_classical_mean,reprojection_ratio_to_matched_cgls_mean,visible_correction_fraction_mean,visible_correction_fraction_maximum,system_residual_fraction_mean,projection_closure_relative_error_mean,projection_closure_relative_error_maximum,exact_projection_approximation_error_mean,exact_oracle_error_reduction_retention_mean,oracle_reduction_defined_rate,field_harm_rate,worst_field_gain_to_best_matched_classical,breakdown_rate
jacru_m2,17,development,affine_cg_identity_control,0,12,14,0.0,0.35267114503414976,0.5839474193229143,0.46308627591104035,0.39655539498506126,36.63824731216542,1.0,1.0,1.0,0.0,0.0,1.0,1.0930673209732311,1.0,0.0,0.0063278765347315235,0.0
jacru_m2,17,development,affine_cg_identity_control,1,12,15,0.0,0.3398195478519961,0.6011314482099201,0.4806837451643988,0.3859036166676934,19.335094422001625,0.43733192620662203,0.5396743892481175,0.43733192620662203,5.781869738357283e-16,7.707165987201453e-16,0.6273095341369717,1.1606966081747518,1.0,0.0,0.1029269894857895,0.0
jacru_m2,17,development,affine_cg_identity_control,2,12,16,0.0,0.33769122199865526,0.6109766521394918,0.48304467777581434,0.38193276929486614,15.980506005201654,0.3105273932548278,0.5918707676591286,0.31052739325482775,6.299704010049886e-16,9.93858768336129e-16,0.5099766957744907,1.1705688960992937,1.0,0.0,0.12034193226689387,0.0
jacru_m2,17,development,affine_cg_identity_control,4,12,18,0.0,0.34991651430380544,0.6351665901705718,0.45969260069472084,0.3672615237299335,16.491374399186622,0.22120722756237662,0.513625931493923,0.22120722756237657,6.122252122052923e-16,8.023889120556287e-16,0.3476736703731234,1.1039421963888938,1.0,0.0,0.032684599421502626,0.0
jacru_m2,17,development,affine_cg_identity_control,8,12,22,0.0,0.3674312850835726,0.6672294281064364,0.42183472943876293,0.3449814748727636,19.99408310794435,0.09890415583187488,0.18333968533045014,0.09890415583187485,6.365206989464016e-16,7.514839783911653e-16,0.15326026356248165,1.0189839699419354,1.0,0.08333333333333333,-0.05413130273154802,0.0
jacru_m2,17,development,affine_cg_identity_control,12,12,26,0.0,0.37157492297113254,0.6742710757744783,0.40458805563732864,0.3392174350543522,19.50963936110229,0.04389841098224246,0.09618546122524828,0.04389841098224245,6.545893581752519e-16,8.81785863791575e-16,0.06312173101174338,1.0003234450728238,1.0,0.08333333333333333,-0.07680952617897552,0.0
jacru_m2,17,development,affine_cg_identity_control,20,12,34,0.0,0.37186596440791747,0.6752016504096693,0.3855238682210284,0.3311983862540911,27.00240937757444,0.006524201929368042,0.015122309494812898,0.0065242019293680455,6.22388925963052e-16,8.554694350117769e-16,0.009884815091602103,1.0000488197157669,1.0,0.08333333333333333,-0.08632463236653631,0.0
jacru_m2,17,development,affine_cg_identity_control,32,12,46,0.0,0.3718663108021596,0.6752052798411202,0.36211078416346326,0.31465295837079865,34.289542853793044,0.0003055288345491833,0.0008741517812976908,0.00030552883454919435,6.218274814225738e-16,7.969704014612495e-16,0.0004785740494589633,1.0000070512126935,1.0,0.08333333333333333,-0.10132200555865482,0.0
jacru_m2,17,development,affine_pcg_dense_exact_camera_block_oracle,0,12,14,0.0,0.35267114503414976,0.5839474193229143,0.46308627591104035,0.39655539498506126,36.63824731216542,1.0,1.0,1.0,0.0,0.0,1.0,1.0930673209732311,1.0,0.0,0.0063278765347315235,0.0
jacru_m2,17,development,affine_pcg_dense_exact_camera_block_oracle,1,12,15,0.0,0.3561298998047722,0.6342957216308076,0.4571643873619819,0.3519437711511227,15.355976433760508,0.3440212767253205,0.4622553476771714,0.3440212767253205,6.105859324353874e-16,8.669675109267054e-16,0.4055522008212038,1.0786804554148197,1.0,0.0,0.01388256122960985,0.0
jacru_m2,17,development,affine_pcg_dense_exact_camera_block_oracle,2,12,16,0.0,0.3587799412912421,0.6521720374339023,0.45282635031893187,0.3403410623035475,6.964269337156433,0.15548692541840434,0.36699638289204056,0.15548692541840434,6.277708357499967e-16,9.83894606300194e-16,0.22985297727438722,1.0584313037032251,1.0,0.08333333333333333,-0.021934557524404253,0.0
jacru_m2,17,development,affine_pcg_dense_exact_camera_block_oracle,4,12,18,0.0,0.3725868171734168,0.6746375989160974,0.4260580373740757,0.3280750735664261,5.4113920550309595,0.06470956030053428,0.11663337303764058,0.06470956030053426,6.133876122761294e-16,8.118499561701568e-16,0.0747688529375969,0.9962575973965216,1.0,0.08333333333333333,-0.07488283948821643,0.0
jacru_m2,17,development,affine_pcg_dense_exact_camera_block_oracle,8,12,22,0.0,0.3718214598213527,0.6751672878833985,0.41502579173167903,0.3371931791998422,1.253687611481839,0.006387471200546681,0.013471619623569873,0.006387471200546675,6.42273219338972e-16,9.077167344761367e-16,0.007911936342536981,1.000284882189032,1.0,0.08333333333333333,-0.06759653664206036,0.0
jacru_m2,17,development,affine_pcg_dense_exact_camera_block_oracle,12,12,26,0.0,0.3718636534233162,0.6751955502631516,0.4040714523810081,0.3382824334309041,0.27898136301552495,0.0005803119809432085,0.0010647745287820159,0.0005803119809431956,6.541992769806243e-16,1.1799155835516073e-15,0.0007501087102349036,1.0000194151907411,1.0,0.08333333333333333,-0.07306347877568686,0.0
jacru_m2,17,development,affine_pcg_dense_exact_camera_block_oracle,20,12,34,0.0,0.3718676459220842,0.6752011332681306,0.3855250332702143,0.3312077700140567,0.016714522775270805,3.93098821326163e-06,9.05789858151758e-06,3.93098821326787e-06,6.199241721424015e-16,8.088541769616956e-16,5.04066298433048e-06,0.9999998643552469,1.0,0.08333333333333333,-0.08653587197912745,0.0
jacru_m2,17,development,affine_pcg_dense_exact_camera_block_oracle,32,12,46,0.0,0.371867617706722,0.6752010473420486,0.3621084687407608,0.31465705311119174,8.970695637699473e-05,7.365558250116075e-10,1.6514760186693104e-09,7.36555849122948e-10,5.995912589356133e-16,7.761459493414384e-16,9.492014407591758e-10,1.0000000000206168,1.0,0.08333333333333333,-0.10133704431166869,0.0
jacru_m2,17,development,affine_pcg_dense_exact_jacobi_oracle,0,12,14,0.0,0.35267114503414976,0.5839474193229143,0.46308627591104035,0.39655539498506126,36.63824731216542,1.0,1.0,1.0,0.0,0.0,1.0,1.0930673209732311,1.0,0.0,0.0063278765347315235,0.0
jacru_m2,17,development,affine_pcg_dense_exact_jacobi_oracle,1,12,15,0.0,0.33891935176081245,0.5963252988892301,0.4818225585410465,0.390818619203168,19.074875254337233,0.42394285696642964,0.5238817856565607,0.4239428569664296,5.986756151986701e-16,8.560038032730982e-16,0.6117220935803417,1.1658138263754094,1.0,0.0,0.1095816110256958,0.0
jacru_m2,17,development,affine_pcg_dense_exact_jacobi_oracle,2,12,16,0.0,0.33702524032122794,0.6118889180206771,0.4840291241636509,0.38098824857205676,15.381886861291035,0.2980696152332248,0.5595285656560006,0.2980696152332248,6.433632156022671e-16,8.764340803549901e-16,0.49363346314479767,1.1728212189546452,1.0,0.0,0.11972039506288337,0.0
jacru_m2,17,development,affine_pcg_dense_exact_jacobi_oracle,4,12,18,0.0,0.35276504452766594,0.6404890790919471,0.4555504032249547,0.36201935880948416,15.387634751666903,0.20271686164732142,0.42082139629005905,0.2027168616473214,6.098080422944464e-16,7.272292165691348e-16,0.33526505600768214,1.0894025337919448,1.0,0.0,0.014830795393197042,0.0
jacru_m2,17,development,affine_pcg_dense_exact_jacobi_oracle,8,12,22,0.0,0.3670194712458464,0.6670882950513306,0.4223611129237181,0.34511115307822654,17.21547615672922,0.08868337809158283,0.17267877969338774,0.08868337809158283,6.398438518661997e-16,9.724233225129307e-16,0.149897915436265,1.0213592675914858,1.0,0.08333333333333333,-0.05118467098144132,0.0
jacru_m2,17,development,affine_pcg_dense_exact_jacobi_oracle,12,12,26,0.0,0.37155405346987264,0.6749070474478688,0.40456808698560187,0.3385768327574646,15.474764930645776,0.0355209829749964,0.0793047429212255,0.03552098297499639,6.343271948378674e-16,1.153968945269386e-15,0.053764176878054466,1.0006720668758957,1.0,0.08333333333333333,-0.07612792253300418,0.0
jacru_m2,17,development,affine_pcg_dense_exact_jacobi_oracle,20,12,34,0.0,0.37185950611537794,0.6751929173437367,0.3855396003571816,0.33121197554690246,15.913473445315349,0.004079581771205693,0.009103357353600412,0.004079581771205675,6.458366072812847e-16,8.929948887082358e-16,0.00694416718403382,1.0000066382604749,1.0,0.08333333333333333,-0.08664211476791432,0.0
jacru_m2,17,development,affine_pcg_dense_exact_jacobi_oracle,32,12,46,0.0,0.3718671252372483,0.6751974662194947,0.36210908917467727,0.3146607497746561,19.604837164677278,0.0001829361852749724,0.0004347952239549358,0.0001829361852749842,6.498242579221932e-16,1.0813159427968578e-15,0.00024044444674996548,1.000005438184936,1.0,0.08333333333333333,-0.10132021984880853,0.0
jacru_m2,17,ood,affine_cg_identity_control,0,18,14,0.0,0.4441568792667034,0.6908529467251954,0.32012550887984365,0.2862207444951402,45.86402071599372,1.0,1.0,1.0,0.0,0.0,1.0,0.8378072405094661,1.0,0.0,0.12518782315575838,0.0
jacru_m2,17,ood,affine_cg_identity_control,1,18,15,0.0,0.3993419482324367,0.6741802220974505,0.3855465427471489,0.31154586412388957,23.22690523615105,0.42858676588787026,0.5343288641180938,0.42858676588787026,5.513853161400753e-16,9.425957876736829e-16,0.6139153279164806,1.0422758852290337,1.0,0.0,0.2530405732052968,0.0
jacru_m2,17,ood,affine_cg_identity_control,2,18,16,0.0,0.3842519106082896,0.6707277014241816,0.40614124863239737,0.3216925826603392,20.31820448250316,0.3189480784275818,0.5008576141656892,0.31894807842758177,5.504308891233927e-16,7.722271632957748e-16,0.48478087469397735,1.107451779521615,1.0,0.0,0.2680129764389451,0.0
jacru_m2,17,ood,affine_cg_identity_control,4,18,18,0.0,0.3931017974062296,0.6894562162863762,0.3857969701309454,0.31328008110069383,16.00799300902275,0.19081371826150534,0.44935799049261294,0.1908137182615053,5.79971432742628e-16,1.0518505348987809e-15,0.3162433135378626,1.0629043251736636,1.0,0.0,0.18008900177030668,0.0
jacru_m2,17,ood,affine_cg_identity_control,8,18,22,0.0,0.4048637026795265,0.714612070313248,0.3534677411116954,0.29809481173713503,16.273539229205042,0.0810800639711257,0.13378031075818336,0.0810800639711257,5.522634141611864e-16,7.142529537403437e-16,0.13433082492348858,1.008985193053375,1.0,0.0,0.12702814010959795,0.0
jacru_m2,17,ood,affine_cg_identity_control,12,18,26,0.0,0.4066579950191377,0.7186109747103119,0.33798827586144226,0.29533869310057104,16.29089705671644,0.035388788208101395,0.093179799032806,0.035388788208101395,5.774867388612302e-16,1.1680189307980604e-15,0.060645183775271234,1.0009438862644289,1.0,0.0,0.1080475429062007,0.0
jacru_m2,17,ood,affine_cg_identity_control,20,18,34,0.0,0.40695068209410123,0.7198195737449524,0.3139202646262632,0.2850705264958712,23.834363295625927,0.006629399084678657,0.014922639603732036,0.00662939908467866,5.592036771673644e-16,8.547186907114181e-16,0.010331463407876154,1.0001329249687747,1.0,0.0,0.0949044501262261,0.0
jacru_m2,17,ood,affine_cg_identity_control,32,18,46,0.0,0.4069768735603785,0.7198863763830438,0.2833331689043212,0.2632325491368066,22.255257234604535,0.00033091235595784013,0.0008044810961512825,0.00033091235595782587,5.769453446051962e-16,9.17830284204288e-16,0.0005685470133742128,1.0000063483253316,1.0,0.0,0.07614974422498343,0.0
jacru_m2,17,ood,affine_pcg_dense_exact_camera_block_oracle,0,18,14,0.0,0.4441568792667034,0.6908529467251954,0.32012550887984365,0.2862207444951402,45.86402071599372,1.0,1.0,1.0,0.0,0.0,1.0,0.8378072405094661,1.0,0.0,0.12518782315575838,0.0
jacru_m2,17,ood,affine_pcg_dense_exact_camera_block_oracle,1,18,15,0.0,0.40153337072828144,0.6917360424468417,0.38287780191811066,0.2937574551169939,14.753418554822238,0.2762932959031967,0.37991031187387897,0.2762932959031967,5.609497225604791e-16,9.86811234068608e-16,0.3724549487314663,1.0283055482061645,1.0,0.0,0.19229960524236464,0.0
jacru_m2,17,ood,affine_pcg_dense_exact_camera_block_oracle,2,18,16,0.0,0.3990437795471667,0.7022228484169631,0.38426212249522956,0.2900214735454942,7.2863706916190205,0.12494716836511394,0.24259101974658265,0.12494716836511392,5.432925207146041e-16,8.844279184410294e-16,0.2127091681876001,1.0365329326484671,1.0,0.0,0.17156623403255641,0.0
jacru_m2,17,ood,affine_pcg_dense_exact_camera_block_oracle,4,18,18,0.0,0.4071982886454094,0.7199937246016156,0.3641395593520956,0.28279119379860407,4.793581213413443,0.058469917415675324,0.13033386100675945,0.058469917415675345,5.392273378444629e-16,8.110346618392341e-16,0.0768725499025639,0.9985140458777008,1.0,0.0,0.12337002146017806,0.0
jacru_m2,17,ood,affine_pcg_dense_exact_camera_block_oracle,8,18,22,0.0,0.40692048439827144,0.7198405683438529,0.35021602423173404,0.29303186117322066,1.2093893348332445,0.006047000948614399,0.011405345559862619,0.006047000948614397,5.701772274202505e-16,1.0952856658187474e-15,0.007853632559188863,1.0002856667457445,1.0,0.0,0.12192020407439608,0.0
jacru_m2,17,ood,affine_pcg_dense_exact_camera_block_oracle,12,18,26,0.0,0.4069780313150055,0.7198870653000313,0.33740441006489036,0.29406086996742964,0.2899248394590613,0.0006017377723319393,0.0012579653154753873,0.0006017377723319421,5.423491472283316e-16,8.325898633520116e-16,0.0007811640439228329,1.000001050425688,1.0,0.0,0.11230957251885944,0.0
jacru_m2,17,ood,affine_pcg_dense_exact_camera_block_oracle,20,18,34,0.0,0.40697809186954037,0.719888030034429,0.31387153682972013,0.2850010608233819,0.019496416582301366,5.150585681947181e-06,1.2775560554444451e-05,5.150585681954967e-06,5.341382272252934e-16,7.782542139408896e-16,6.457398444505386e-06,0.9999998715263371,1.0,0.0,0.09479228741856215,0.0
jacru_m2,17,ood,affine_pcg_dense_exact_camera_block_oracle,32,18,46,0.0,0.4069780636265885,0.7198879451992313,0.28333088094612907,0.2632307288884916,0.00025018850788462843,3.5113170557283987e-09,9.134391162456198e-09,3.5113170434967504e-09,5.524769907184585e-16,7.950106022588444e-16,4.252381199828659e-09,0.9999999999828041,1.0,0.0,0.07614245684338397,0.0
jacru_m2,17,ood,affine_pcg_dense_exact_jacobi_oracle,0,18,14,0.0,0.4441568792667034,0.6908529467251954,0.32012550887984365,0.2862207444951402,45.86402071599372,1.0,1.0,1.0,0.0,0.0,1.0,0.8378072405094661,1.0,0.0,0.12518782315575838,0.0
jacru_m2,17,ood,affine_pcg_dense_exact_jacobi_oracle,1,18,15,0.0,0.39341178910381197,0.6691769081564385,0.3946239427048066,0.3165894430008198,21.6578996879707,0.3982691282217675,0.5037576685943651,0.3982691282217676,5.812392553474359e-16,9.837958379443445e-16,0.5968505781627409,1.0680032750585353,1.0,0.0,0.2611682871099529,0.0
jacru_m2,17,ood,affine_pcg_dense_exact_jacobi_oracle,2,18,16,0.0,0.38456134088132227,0.6713000153465357,0.4057620775834247,0.32113238945641326,18.460973700090804,0.29411334150958823,0.4795388614856928,0.2941133415095882,5.563232671215014e-16,8.082267481198455e-16,0.4590543583537715,1.1051496174122328,1.0,0.0,0.2583746567385996,0.0
