case_id,split,family,base_seed,method,model_seed,field_relative_l2,field_rmse,field_nrmse_dynamic_range,field_mean_bias,h1_seminorm_relative_error,measured_reprojection_relative_l2,clean_reprojection_relative_l2,gate,correction_rms,optimization_forward_calls,optimization_adjoint_calls,grouped_adjoint_calls,evaluation_forward_calls,neural_inference_seconds,projection_variant,projection_iterations,damping_fraction,damping_absolute,preconditioner,projection_forward_calls,projection_adjoint_calls,paired_call_budget,matched_cgls_field_relative_l2,matched_huber_field_relative_l2,matched_base_landweber_field_relative_l2,field_gain_to_best_matched_classical,h1_gain_to_best_matched_classical,reprojection_ratio_to_matched_cgls,visible_correction_fraction,system_residual_fraction,projection_closure_relative_error,exact_projection_approximation_error,exact_oracle_error_reduction_retention,oracle_reduction_defined,base_anchor_field_relative_l2,exact_oracle_field_relative_l2,raw_learned_field_relative_l2,exact_oracle_rank,exact_oracle_nullity_lower_bound,field_harm_to_best_matched_classical,converged,breakdown,projection_diagnostic_forward_calls,dense_oracle_used_by_algorithm,projection_target_mode,exact_oracle_internal_projection_residual,preconditioner_kind,preconditioner_is_oracle,preconditioner_setup_forward_equivalents,preconditioner_setup_adjoint_equivalents,preconditioner_applications,preconditioner_block_count,preconditioner_largest_block_size,preconditioner_minimum_block_eigenvalue,preconditioner_maximum_block_condition_number
6c144f9849f9520d81e5,development,smooth_no_interface,2101,jacru_m2,17,0.2486510454472608,0.025485096171064595,0.02891391735674062,0.003292887447263724,0.47970128473137474,0.19775896901826429,0.19706108270205097,0.7055189609527588,0.049539310853460417,14,13,1,1,0.00158541597193107,affine_cg_identity_control,0,0.0,0.0,identity,1,0,14,0.5968408693463881,0.6157464450463019,0.5961710292723394,0.583388038222712,0.49760409734635275,42.948039057184715,1.0,1.0,0.0,1.0,1.0276548444686546,1,0.5961347720424761,0.25800205319670394,0.2486510454472608,150,850,0,0,0,1,False,affine_observation,2.3545177961165197e-15,identity,0,0,0,33,0,0,0.0,0.0
6c144f9849f9520d81e5,development,smooth_no_interface,2101,jacru_m2,17,0.2538720240663139,0.026020212128346428,0.029521028998041272,0.003004329377082394,0.5236602627163112,0.0760669304462961,0.0761088108319337,0.7055189609527588,0.047463107309826565,15,14,1,1,0.00158541597193107,affine_cg_identity_control,1,0.0,0.0,identity,2,1,15,0.5971029818222995,0.607077191672447,0.5961853694286711,0.5748270703798506,0.4581674026293765,21.250425759930156,0.3846446551775401,0.3846446551775401,7.707165987201453e-16,0.5230469723213699,1.0122142250666781,1,0.5961347720424761,0.25800205319670394,0.2486510454472608,150,850,0,0,0,1,False,affine_observation,2.3545177961165197e-15,identity,0,0,0,33,0,0,0.0,0.0
6c144f9849f9520d81e5,development,smooth_no_interface,2101,jacru_m2,17,0.2520302733397944,0.025831444796586178,0.029306864492106812,0.0027266570454222744,0.5379416076731348,0.04784104930874772,0.04700248095098057,0.7055189609527588,0.04712368458281789,16,15,1,1,0.00158541597193107,affine_cg_identity_control,2,0.0,0.0,identity,3,2,16,0.5972661942929209,0.599511718989623,0.5961985733520055,0.5780268902743395,0.4488106401445437,16.790261781631276,0.24191595226373422,0.24191595226373414,7.742669174288324e-16,0.39475232725192116,1.0176610529655172,1,0.5961347720424761,0.25800205319670394,0.2486510454472608,150,850,0,0,0,1,False,affine_observation,2.3545177961165197e-15,identity,0,0,0,33,0,0,0.0,0.0
6c144f9849f9520d81e5,development,smooth_no_interface,2101,jacru_m2,17,0.2527072570596005,0.02590083117368534,0.029385586265792196,0.0024237401031973922,0.5350750436623308,0.0213384834544605,0.024005259836373034,0.7055189609527588,0.046890032104562274,18,17,1,1,0.00158541597193107,affine_cg_identity_control,4,0.0,0.0,identity,5,4,18,0.5975108025880026,0.5867877968171817,0.5962235622431531,0.5693379132450953,0.4590530566584867,12.397227040198594,0.10790146995805665,0.10790146995805669,8.023889120556287e-16,0.263205653344658,1.0156589287046145,1,0.5961347720424761,0.25800205319670394,0.2486510454472608,150,850,0,0,0,1,False,affine_observation,2.3545177961165197e-15,identity,0,0,0,33,0,0,0.0,0.0
6c144f9849f9520d81e5,development,smooth_no_interface,2101,jacru_m2,17,0.2560448180147015,0.02624290921226563,0.029773688240007867,0.002504669051030702,0.5458776184318667,0.011941265886328573,0.02194894163452304,0.7055189609527588,0.04683791542489563,22,21,1,1,0.00158541597193107,affine_cg_identity_control,8,0.0,0.0,identity,9,8,22,0.5976395706410947,0.567382652763368,0.596272913069439,0.5487263899104661,0.45336719230024713,17.80086933155464,0.060382929510649504,0.06038292951064943,7.438874366507293e-16,0.11888965877432783,1.0057883637782332,1,0.5961347720424761,0.25800205319670394,0.2486510454472608,150,850,0,0,0,1,False,affine_observation,2.3545177961165197e-15,identity,0,0,0,33,0,0,0.0,0.0
6c144f9849f9520d81e5,development,smooth_no_interface,2101,jacru_m2,17,0.2579159241592979,0.026434685281236252,0.02999126628530922,0.0024686928198144743,0.5503271963103772,0.004673017297783235,0.01952447627531596,0.7055189609527588,0.04685798199788205,26,25,1,1,0.00158541597193107,affine_cg_identity_control,12,0.0,0.0,identity,13,12,26,0.5976546838072083,0.5528067721055604,0.5963235531779676,0.5334429005329768,0.44780894603063376,18.836024834430635,0.02362986276163107,0.023629862761630958,8.648447445724549e-16,0.04486238774012904,1.0002547196192668,1,0.5961347720424761,0.25800205319670394,0.2486510454472608,150,850,0,0,0,1,False,affine_observation,2.3545177961165197e-15,identity,0,0,0,33,0,0,0.0,0.0
6c144f9849f9520d81e5,development,smooth_no_interface,2101,jacru_m2,17,0.25801368041004197,0.026444704653755088,0.030002633686359286,0.002469615051549676,0.5509637725550129,0.0007024852004438402,0.01924824653977814,0.7055189609527588,0.04686924076050658,34,33,1,1,0.00158541597193107,affine_cg_identity_control,20,0.0,0.0,identity,21,20,34,0.5976555104146046,0.5315105728874139,0.5964275602088683,0.5145652907553823,0.4398626451671439,22.297333268425987,0.0035522292815905673,0.0035522292815906424,8.554694350117769e-16,0.006487159637667769,0.9999656134627323,1,0.5961347720424761,0.25800205319670394,0.2486510454472608,150,850,0,0,0,1,False,affine_observation,2.3545177961165197e-15,identity,0,0,0,33,0,0,0.0,0.0
6c144f9849f9520d81e5,development,smooth_no_interface,2101,jacru_m2,17,0.2579990693829101,0.026443207119606606,0.03000093467065546,0.0024696094213235258,0.5507609586946408,3.470455159581279e-05,0.019166960051060333,0.7055189609527588,0.04686952804514181,46,45,1,1,0.00158541597193107,affine_cg_identity_control,32,0.0,0.0,identity,33,32,46,0.5976555523235216,0.5075114900770632,0.5965822775325558,0.4916389590633028,0.42513460333273567,33.190820628200214,0.00017548914098863253,0.00017548914098858615,7.003257749492978e-16,0.0003474503037765456,1.0000088243864835,1,0.5961347720424761,0.25800205319670394,0.2486510454472608,150,850,0,0,0,1,False,affine_observation,2.3545177961165197e-15,identity,0,0,0,33,0,0,0.0,0.0
6c144f9849f9520d81e5,development,smooth_no_interface,2101,jacru_m2,17,0.2486510454472608,0.025485096171064595,0.02891391735674062,0.003292887447263724,0.47970128473137474,0.19775896901826429,0.19706108270205097,0.7055189609527588,0.049539310853460417,14,13,1,1,0.00158541597193107,affine_pcg_dense_exact_jacobi_oracle,0,0.0,0.0,supplied_positive_diagonal,1,0,14,0.5968408693463881,0.6157464450463019,0.5961710292723394,0.583388038222712,0.49760409734635275,42.948039057184715,1.0,1.0,0.0,1.0,1.0276548444686546,1,0.5961347720424761,0.25800205319670394,0.2486510454472608,150,850,0,0,0,1,False,affine_observation,2.3545177961165197e-15,dense_exact_jacobi_oracle,1,1001,0,33,0,0,0.0,0.0
6c144f9849f9520d81e5,development,smooth_no_interface,2101,jacru_m2,17,0.25600028358552085,0.026238344726286698,0.029768509637993382,0.0031680326806694252,0.5162825391695018,0.09019539371764679,0.09043218073719027,0.7055189609527588,0.04751276012795654,15,14,1,1,0.00158541597193107,affine_pcg_dense_exact_jacobi_oracle,1,0.0,0.0,supplied_positive_diagonal,2,1,15,0.5971029818222995,0.607077191672447,0.5961853694286711,0.5712627614013361,0.46580115183026954,25.19742162381225,0.45608749967399287,0.4560874996739927,6.91504695084159e-16,0.5374710569612366,1.0059200707284885,1,0.5961347720424761,0.25800205319670394,0.2486510454472608,150,850,0,0,0,1,False,affine_observation,2.3545177961165197e-15,dense_exact_jacobi_oracle,1,1001,0,33,0,0,0.0,0.0
