selection_basis,candidate,comparator,independent_field_count,model_seed_count,mean_field_superiority_pct,field_superiority_ci95_low,field_superiority_ci95_high,p10_field_superiority_pct,field_harm_rate_gt_1pct,mean_audit_superiority_pct,every_domain_mean_field_nonnegative,every_seed_mean_field_positive,development_gate_pass,confirmatory_superiority_eligible,uncertainty_unit
candidate frozen by validation before reused dev2 read,v3g_selected_deeponet,v3f_reference_deeponet,128,3,-0.1604434446600928,-0.33869667504959605,0.006264217268805527,-0.7662943227241753,0.0859375,0.20561143757453781,False,False,False,False,field cluster after model-seed collapse
candidate frozen by validation before reused dev2 read,v3g_selected_deeponet,fno,128,3,-44.55873208630247,-48.47494781253947,-40.66584468286467,-113.40182673928811,1.0,-75.15840026349977,False,False,False,False,field cluster after model-seed collapse
