strategy,source_index,sample_seed,source_split,family_id,noise_level,model_seed_count,field_rel_l2,audit_reprojection_rel_l2
base_24,200,30460821,test_iid,0,0.02,3,0.11008685827255249,0.1917022963364919
base_24,201,30460822,test_iid,0,0.05,3,0.1464246412118276,0.16192295650641123
base_24,202,30460823,test_iid,0,0.02,3,0.15657809873421988,0.15769430498282114
base_24,203,30460824,test_iid,0,0.05,3,0.09198677043120067,0.09934419641892116
base_24,204,30460825,test_iid,0,0.02,3,0.13874947528044382,0.1798935979604721
base_24,205,30460826,test_iid,0,0.05,3,0.1349479059378306,0.12390437473853429
base_24,206,30460827,test_iid,1,0.02,3,0.22844959298769632,0.43388230601946515
base_24,207,30460828,test_iid,1,0.05,3,0.21897182861963907,0.41288543740908307
base_24,208,30460829,test_iid,1,0.02,3,0.3271687527497609,0.5294180115063986
base_24,209,30460830,test_iid,1,0.05,3,0.21040241420269012,0.31910501917203266
base_24,210,30460831,test_iid,1,0.02,3,0.17654753724733988,0.282593975464503
base_24,211,30460832,test_iid,1,0.05,3,0.28022460142771405,0.5697513222694397
base_24,212,30460833,test_iid,0,0.02,3,0.15807250142097473,0.2154845893383026
base_24,213,30460834,test_iid,0,0.05,3,0.1560999502738317,0.2413731316725413
base_24,214,30460835,test_iid,0,0.02,3,0.21286878983179727,0.3239838480949402
base_24,215,30460836,test_iid,0,0.05,3,0.15769965946674347,0.1487653156121572
base_24,216,30460837,test_iid,0,0.02,3,0.13313835859298706,0.20742362240950266
base_24,217,30460838,test_iid,0,0.05,3,0.13565338651339212,0.17233343422412872
base_24,218,30460839,test_iid,1,0.02,3,0.2917763292789459,0.4867359797159831
base_24,219,30460840,test_iid,1,0.05,3,0.3512565493583679,0.5649914344151815
base_24,220,30460841,test_iid,1,0.02,3,0.4110458592573802,0.6834086378415426
base_24,221,30460842,test_iid,1,0.05,3,0.25771039724349976,0.5422489245732626
base_24,222,30460843,test_iid,1,0.02,3,0.2742249568303426,0.4623701473077138
base_24,223,30460844,test_iid,1,0.05,3,0.3253168861071269,0.577298104763031
base_24,224,30460845,test_iid,0,0.02,3,0.11680556833744049,0.11411084483067195
base_24,225,30460846,test_iid,0,0.05,3,0.1514981985092163,0.1602551837762197
base_24,226,30460847,test_iid,0,0.02,3,0.10370290279388428,0.12512288490931192
base_24,227,30460848,test_iid,0,0.05,3,0.08870600908994675,0.11070590714613597
base_24,228,30460849,test_iid,0,0.02,3,0.1170683279633522,0.15217956403891245
base_24,229,30460850,test_iid,0,0.05,3,0.11355969806512196,0.11418177435795467
base_24,230,30460851,test_iid,1,0.02,3,0.24954932928085327,0.4313705563545227
base_24,231,30460852,test_iid,1,0.05,3,0.25751325488090515,0.3893768588701884
base_24,232,30560821,test_noise_ood,0,0.08,3,0.1182379275560379,0.12037439395984013
base_24,233,30560822,test_noise_ood,0,0.12,3,0.11423605183760326,0.14988975723584494
base_24,234,30560823,test_noise_ood,0,0.08,3,0.13846291104952493,0.14854141573111215
