variant_id,learning_rate,model_seed,training_seed,parameter_count,attempted_epochs,best_checkpoint_epoch,best_validation_rel_l2,endpoint_validation_rel_l2,train_seconds,batch_order_contract_sha256,selected_checkpoint_sha256,selection_scope,mean_validation_rel_l2_for_cell,global_validation_champion
r32_p444,0.004,20260903,20261004,47233,24,22,0.18921664208173752,0.18922431021928787,2.072010916000181,215d5449504627e1f1988524fb0f425ad99ecfb9df0704e0f88b5a6f76458da4,aa6da10c6dcd467a457001e4bac34b280b35a0de05facd77fb0e417b7b35e4f5,validation_only,0.18845317115386329,False
r64_p444,0.001,20260901,20261002,51393,24,21,0.1864506982266903,0.18645440936088561,2.5010823749998963,004eb887c758fa874654c4d2a9718c648fa59d183baed86064105c3243d2622d,d6040e2241591fa1654a77a695eab928fc0abeaa7fa005ea150b12960c2dc1c1,validation_only,0.18682928582032524,False
r64_p444,0.001,20260902,20261003,51393,24,22,0.18727123439311982,0.18730105012655257,2.1225715420000597,9f604bb173530312690624b166e1214a0eabd5f61405c0fcb4be6a127458a198,b0374c19d9455602d434e651f04b3bc86218f62e606f92c732aacb389b328e72,validation_only,0.18682928582032524,False
r64_p444,0.001,20260903,20261004,51393,24,21,0.18676592484116555,0.18688035607337952,2.146978458000376,215d5449504627e1f1988524fb0f425ad99ecfb9df0704e0f88b5a6f76458da4,d62937574de3ce1cb03664efd6dedcab082e42ff07f74bcabffcbd5f0da4c59a,validation_only,0.18682928582032524,False
r64_p444,0.002,20260901,20261002,51393,24,23,0.18525669872760772,0.18526029512286185,2.10248245899993,004eb887c758fa874654c4d2a9718c648fa59d183baed86064105c3243d2622d,ca140b9d2f56ab8416df505137e349cb0daafba35dd72dc3aeaef69abfd5983f,validation_only,0.18519633313020067,True
r64_p444,0.002,20260902,20261003,51393,24,22,0.18540676385164262,0.1854196511209011,2.1923399580000478,9f604bb173530312690624b166e1214a0eabd5f61405c0fcb4be6a127458a198,434595e6fbf3ac47a9ce8338c10a619ab31e1b721c5891f69da489eee3770826,validation_only,0.18519633313020067,True
r64_p444,0.002,20260903,20261004,51393,24,21,0.18492553681135177,0.1849810317158699,2.1121187500002634,215d5449504627e1f1988524fb0f425ad99ecfb9df0704e0f88b5a6f76458da4,bcdc1ec4656d0f6b710ff91e4d83b197f81aa744e7210d400709f2a1322698cd,validation_only,0.18519633313020067,True
r64_p444,0.004,20260901,20261002,51393,24,23,0.18861702531576158,0.1886238247156143,2.1077411249998477,004eb887c758fa874654c4d2a9718c648fa59d183baed86064105c3243d2622d,4dfa89bfe55110f5fae48a6c104161880953f977ace61586980b075a25649b0c,validation_only,0.18775221953789392,False
r64_p444,0.004,20260902,20261003,51393,24,22,0.18717030361294745,0.1872040718793869,2.1390958750002937,9f604bb173530312690624b166e1214a0eabd5f61405c0fcb4be6a127458a198,153299f60fd796a3a26a355af1ee4638def51139775319398827198c35b6f3bf,validation_only,0.18775221953789392,False
r64_p444,0.004,20260903,20261004,51393,24,22,0.18746932968497276,0.18750016167759895,2.1708044169999994,215d5449504627e1f1988524fb0f425ad99ecfb9df0704e0f88b5a6f76458da4,0ec9ae20fbfafc56fb5ee2a713e6f093a015d02b90330df53920e25d2508c11f,validation_only,0.18775221953789392,False
