case_id,split,family,base_seed,method,model_seed,field_relative_l2,field_rmse,field_nrmse_dynamic_range,field_mean_bias,h1_seminorm_relative_error,measured_reprojection_relative_l2,clean_reprojection_relative_l2,gate,correction_rms,optimization_forward_calls,optimization_adjoint_calls,grouped_adjoint_calls,evaluation_forward_calls,neural_inference_seconds,matched_step,total_calls,baseline_kind,dc_step_size,operator_norm_squared_bound
6c144f9849f9520d81e5,development,smooth_no_interface,2101,cgls_matched,-1,0.5964537368799794,0.061132583692278177,0.0693574966646368,0.02037079374431623,1.1648235147270987,0.005877780233596233,0.01785352728581411,,,13,13,0,1,0.0,0,13,cgls_matched,,8.977587798077511
6c144f9849f9520d81e5,development,smooth_no_interface,2101,huber_pdhg_matched,-1,0.6258381331583576,0.06414429097762708,0.07277440570695548,0.024489378134292576,0.9410780575462622,0.27782660567008655,0.2772015150939538,,,13,13,0,1,0.0,0,13,huber_pdhg_matched,,8.977587798077511
6c144f9849f9520d81e5,development,smooth_no_interface,2101,base_landweber_matched,-1,0.5961546117186485,0.06110192533132099,0.06932271346001166,0.02037602267786534,1.1640161568615333,0.006552396505365168,0.01731056355445827,,0.00010225808577662225,13,13,0,1,0.0,0,13,base_landweber_matched,0.10916072580318961,8.977587798077511
6c144f9849f9520d81e5,development,smooth_no_interface,2101,cgls_matched,-1,0.5968408693463881,0.06117226222296611,0.06940251363257158,0.020356556735800918,1.1660456514664301,0.0046046099742749836,0.018369358790875256,,,14,14,0,1,0.0,1,14,cgls_matched,,8.977587798077511
6c144f9849f9520d81e5,development,smooth_no_interface,2101,huber_pdhg_matched,-1,0.6157464450463019,0.06310995934390518,0.07160091280835487,0.024062051896822936,0.9548272233065599,0.2528098260504097,0.2521368862172539,,,14,14,0,1,0.0,1,14,huber_pdhg_matched,,8.977587798077511
6c144f9849f9520d81e5,development,smooth_no_interface,2101,base_landweber_matched,-1,0.5961710292723394,0.06110360802255583,0.06932462254424562,0.020375641464801066,1.164055306644108,0.006313938841702729,0.017259023763622032,,0.00016063223475762004,14,14,0,1,0.0,1,14,base_landweber_matched,0.10916072580318961,8.977587798077511
6c144f9849f9520d81e5,development,smooth_no_interface,2101,cgls_matched,-1,0.5972661942929209,0.061215855231581226,0.06945197174094866,0.02033831652340771,1.1679258483638753,0.002849333139110811,0.018713323552257393,,,16,16,0,1,0.0,3,16,cgls_matched,,8.977587798077511
6c144f9849f9520d81e5,development,smooth_no_interface,2101,huber_pdhg_matched,-1,0.599511718989623,0.0614460067386743,0.06971308834066446,0.023289441134989722,0.9759651525461311,0.21276230606936197,0.21201008852126088,,,16,16,0,1,0.0,3,16,huber_pdhg_matched,,8.977587798077511
6c144f9849f9520d81e5,development,smooth_no_interface,2101,base_landweber_matched,-1,0.5961985733520055,0.06110643110949669,0.06932782545554526,0.02037453970781161,1.1641660314462514,0.0059569516296672015,0.01721677930108246,,0.0002592703665720268,16,16,0,1,0.0,3,16,base_landweber_matched,0.10916072580318961,8.977587798077511
6c144f9849f9520d81e5,development,smooth_no_interface,2101,cgls_matched,-1,0.5975108025880026,0.0612409259724389,0.06948041555471203,0.02034361693788334,1.1685755973659446,0.0017212303513736951,0.019026516005655414,,,18,18,0,1,0.0,5,18,cgls_matched,,8.977587798077511
6c144f9849f9520d81e5,development,smooth_no_interface,2101,huber_pdhg_matched,-1,0.5867877968171817,0.060141888432416926,0.06823351107411484,0.022618726612586553,0.9891451467626181,0.18233274747536043,0.1815222185221701,,,18,18,0,1,0.0,5,18,huber_pdhg_matched,,8.977587798077511
6c144f9849f9520d81e5,development,smooth_no_interface,2101,base_landweber_matched,-1,0.5962235622431531,0.061108992306426135,0.06933073124157234,0.020373435913221907,1.164275375485053,0.005674529180637073,0.017203324259785123,,0.00034558037861521465,18,18,0,1,0.0,5,18,base_landweber_matched,0.10916072580318961,8.977587798077511
6c144f9849f9520d81e5,development,smooth_no_interface,2101,cgls_matched,-1,0.5976501715338352,0.06125521037241565,0.06949662180944405,0.020338812134357957,1.1689330066257904,0.0004117093688482586,0.019187974095306193,,,24,24,0,1,0.0,11,24,cgls_matched,,8.977587798077511
6c144f9849f9520d81e5,development,smooth_no_interface,2101,huber_pdhg_matched,-1,0.5596329611350971,0.057358696438904205,0.06507586227623677,0.021094502328206397,0.9984280033201454,0.12239789716406428,0.12147961590944677,,,24,24,0,1,0.0,11,24,huber_pdhg_matched,,8.977587798077511
6c144f9849f9520d81e5,development,smooth_no_interface,2101,base_landweber_matched,-1,0.5962980592275818,0.061116627757180846,0.06933939398275335,0.020370611548848633,1.1645638321579694,0.005025594695736977,0.017227589217977304,,0.0005627793779721316,24,24,0,1,0.0,11,24,base_landweber_matched,0.10916072580318961,8.977587798077511
cee85dad2f56f6debc94,development,single_interface,2101,cgls_matched,-1,0.6768138219835715,0.08418635110410574,0.07746291455687279,0.010162161070893072,1.1396828735972795,0.013396463743860837,0.028123367948138973,,,13,13,0,1,0.0,0,13,cgls_matched,,8.977587798077511
cee85dad2f56f6debc94,development,single_interface,2101,huber_pdhg_matched,-1,0.7054842042647956,0.08775255319782517,0.08074430642687695,0.012045191016833002,0.9915302731122357,0.292716009965265,0.29621745801020066,,,13,13,0,1,0.0,0,13,huber_pdhg_matched,,8.977587798077511
cee85dad2f56f6debc94,development,single_interface,2101,base_landweber_matched,-1,0.6760008889756639,0.08408523339432367,0.07736987248520312,0.010180000737834746,1.1394543046811711,0.014858527749534165,0.029202479801221273,,0.00031968408307862507,13,13,0,1,0.0,0,13,base_landweber_matched,0.10916072580318961,8.977587798077511
cee85dad2f56f6debc94,development,single_interface,2101,cgls_matched,-1,0.6778399504696955,0.08431398740555948,0.07758035734640098,0.010171846234516382,1.1394027937441693,0.009742534331064853,0.026725831869920683,,,14,14,0,1,0.0,1,14,cgls_matched,,8.977587798077511
cee85dad2f56f6debc94,development,single_interface,2101,huber_pdhg_matched,-1,0.6991004069148027,0.08695849641643602,0.08001366598690837,0.011871646069695428,1.0048849493451066,0.2650856102849758,0.2688838482353682,,,14,14,0,1,0.0,1,14,huber_pdhg_matched,,8.977587798077511
cee85dad2f56f6debc94,development,single_interface,2101,base_landweber_matched,-1,0.6760152434010321,0.08408701888784449,0.07737151538254018,0.010183843269447261,1.1393086100721104,0.014288102286212632,0.0289421901479864,,0.0004590818959204541,14,14,0,1,0.0,1,14,base_landweber_matched,0.10916072580318961,8.977587798077511
