case_id,split,family,base_seed,method,model_seed,field_relative_l2,field_rmse,field_nrmse_dynamic_range,field_mean_bias,h1_seminorm_relative_error,measured_reprojection_relative_l2,clean_reprojection_relative_l2,gate,correction_rms,optimization_forward_calls,optimization_adjoint_calls,grouped_adjoint_calls,evaluation_forward_calls,neural_inference_seconds,dc_mode,dc_steps,dc_step_size,operator_norm_squared_bound,field_gain_to_source_cgls13,reprojection_ratio_to_source_cgls13,matched_cgls_field_relative_l2,matched_huber_field_relative_l2,matched_base_landweber_field_relative_l2,field_gain_to_best_matched_classical,h1_gain_to_best_matched_classical,network_gain_to_base_landweber,reprojection_ratio_to_matched_cgls,observable_correction_to_base_residual_ratio,field_harm_to_best_matched_classical
6c144f9849f9520d81e5,development,smooth_no_interface,2101,jacru_m2,17,0.24785472577107925,0.025403478643601995,0.028821318826679175,0.0034603782994104917,0.47738947797293424,0.1974321043240691,0.196684547506335,0.7063487768173218,0.04965257334814656,13,13,1,1,0.0,measurement_pullback,0,0.10916072580318961,8.977587798077511,0.584452723747536,33.58956893209211,0.5964537368799794,0.6258381331583576,0.5961546117186485,0.584452723747536,0.49272063656689136,0.5842442197057887,33.58956893209211,28.145654940383377,0
6c144f9849f9520d81e5,development,smooth_no_interface,2101,jacru_m2,17,0.24067902195780214,0.024668016214930123,0.027986905656767327,0.0033238410119698736,0.484483406953198,0.1054914831025868,0.10473740190219775,0.7063487768173218,0.0481103235361607,14,14,1,1,0.0,measurement_pullback,1,0.10916072580318961,8.977587798077511,0.5964833362990022,17.947503804177348,0.5968408693463881,0.6157464450463019,0.5961710292723394,0.5967450717284587,0.49259573341925106,0.5962919864597169,22.90997146163219,15.01111462867926,0
6c144f9849f9520d81e5,development,smooth_no_interface,2101,jacru_m2,17,0.24393782525432614,0.0250020221116884,0.02836584944535298,0.0031107611719817076,0.5074383192055292,0.0496350921648451,0.04879845097201502,0.7063487768173218,0.047411681450438156,16,16,1,1,0.0,measurement_pullback,3,0.10916072580318961,8.977587798077511,0.5910197050145866,8.444530110387712,0.5972661942929209,0.599511718989623,0.5961985733520055,0.5915760383138473,0.48006512539745216,0.5908446679386782,17.419897829263547,7.009598333821143,0
6c144f9849f9520d81e5,development,smooth_no_interface,2101,jacru_m2,17,0.24638999499810116,0.025253353376495556,0.02865099537421355,0.0029778193856219927,0.5167819558497764,0.032462286661516716,0.03194944795489728,0.7063487768173218,0.047221231320725365,18,18,1,1,0.0,measurement_pullback,5,0.10916072580318961,8.977587798077511,0.5869084561579657,5.522882001604736,0.5975108025880026,0.5867877968171817,0.5962235622431531,0.5801037507348404,0.4775468923431949,0.5867489804141321,18.859931580691057,4.533276460741281,0
6c144f9849f9520d81e5,development,smooth_no_interface,2101,jacru_m2,17,0.2489078943579199,0.025511421494482427,0.028943784547375624,0.0028022162615756216,0.5251893370007124,0.01655165928590425,0.018197097067636673,0.7063487768173218,0.047050105427373895,24,24,1,1,0.0,measurement_pullback,11,0.10916072580318961,8.977587798077511,0.5826870066068408,2.815971102712931,0.5976501715338352,0.5596329611350971,0.5962980592275818,0.5552301032214705,0.47398376722782015,0.5825780572213429,40.202289620483725,2.17984419421557,0
6c144f9849f9520d81e5,development,smooth_no_interface,2101,jacru_m2,17,0.24064001055972706,0.024664017803300985,0.02798236928999723,0.0033237377376678307,0.48446519516146325,0.1055272356065258,0.10476891408702024,0.7063487768173218,0.04811074738421012,14,14,1,1,0.0,base_nullspace_filter,1,0.10916072580318961,8.977587798077511,0.5965487418714094,17.95358645826071,0.5968408693463881,0.6157464450463019,0.5961710292723394,0.5968104348764579,0.4926148068089599,0.5963574230478093,22.91773596375913,15.010746860446337,0
6c144f9849f9520d81e5,development,smooth_no_interface,2101,jacru_m2,17,0.24383905117802882,0.024991898418747088,0.028354363688380145,0.003111572021296737,0.5072668193337302,0.04974969713112276,0.048877293248163416,0.7063487768173218,0.047412553716266355,16,16,1,1,0.0,base_nullspace_filter,3,0.10916072580318961,8.977587798077511,0.5911853072569566,8.464028111626785,0.5972661942929209,0.599511718989623,0.5961985733520055,0.5917414152885382,0.4802408487533031,0.5910103410561799,17.4601195094541,7.0033710043603286,0
6c144f9849f9520d81e5,development,smooth_no_interface,2101,jacru_m2,17,0.24625129710507956,0.025239137755016783,0.02863486715159069,0.0029797613916442123,0.5164777677238831,0.03260338977221551,0.0319899847632113,0.7063487768173218,0.04722279098243532,18,18,1,1,0.0,base_nullspace_filter,5,0.10916072580318961,8.977587798077511,0.5871409937119212,5.546888191882535,0.5975108025880026,0.5867877968171817,0.5962235622431531,0.5803401187945955,0.4778544186217081,0.5869816077401973,18.941909632371463,4.5066485505816685,0
6c144f9849f9520d81e5,development,smooth_no_interface,2101,jacru_m2,17,0.2486978488602543,0.025489893212955684,0.028919359803253858,0.002807091472790785,0.5246423996836366,0.017040885747388036,0.01824999717169353,0.7063487768173218,0.04705551111719651,24,24,1,1,0.0,base_nullspace_filter,11,0.10916072580318961,8.977587798077511,0.583039163839964,2.899204303350046,0.5976501715338352,0.5596329611350971,0.5962980592275818,0.5556054304667414,0.4745315656822475,0.5829303063934058,41.390570719969936,2.104316395358978,0
cee85dad2f56f6debc94,development,single_interface,2101,jacru_m2,17,0.4197601496572044,0.052212401979301104,0.04804252447442691,0.003069995169834932,0.7038168593465023,0.24984963925703946,0.2497355330848581,0.7063517570495605,0.06235538512672811,13,13,1,1,0.0,measurement_pullback,0,0.10916072580318961,8.977587798077511,0.3797996789914948,18.650417306696884,0.6768138219835715,0.7054842042647956,0.6760008889756639,0.3797996789914948,0.29017108359450555,0.37905384962842,18.650417306696884,15.400503506485366,0
cee85dad2f56f6debc94,development,single_interface,2101,jacru_m2,17,0.40139822589252017,0.04992843065544411,0.045940959634165605,0.0030429324468777543,0.6962835570681061,0.12758576497189322,0.12898961900058295,0.7063517570495605,0.059893157228596776,14,14,1,1,0.0,measurement_pullback,1,0.10916072580318961,8.977587798077511,0.40692962694508417,9.523839082560995,0.6778399504696955,0.6991004069148027,0.6760152434010321,0.40782742944794065,0.30710121838138693,0.4062290313557339,13.095747023962314,7.862268164180906,0
cee85dad2f56f6debc94,development,single_interface,2101,jacru_m2,17,0.39172643447375666,0.048725392535153685,0.044834000633109994,0.0031277716882425702,0.6967897495337789,0.06207803369609594,0.06492746294068397,0.7063517570495605,0.05880416718425812,16,16,1,1,0.0,measurement_pullback,3,0.10916072580318961,8.977587798077511,0.42121980705756756,4.633911969831911,0.6786676775523344,0.6894602809087688,0.6760322658152224,0.42280080895181676,0.32169476634310223,0.42055068332962386,10.9401582565072,3.8039515143716365,0
cee85dad2f56f6debc94,development,single_interface,2101,jacru_m2,17,0.3884819720196613,0.0483218259317057,0.0444626643664717,0.0032351197024446726,0.6982035379038103,0.041274144564602495,0.04508458844900049,0.7063517570495605,0.05849891061945321,18,18,1,1,0.0,measurement_pullback,5,0.10916072580318961,8.977587798077511,0.4260135366604688,3.0809731100505604,0.678825074654908,0.6823181756462481,0.6760463877315105,0.42771416890109354,0.33099371905061054,0.425361958780341,11.407457526435785,2.5178224398869884,0
