method,model_seed,split,dc_mode,dc_steps,case_count,field_relative_l2_mean,h1_seminorm_relative_error_mean,measured_reprojection_relative_l2_mean,field_gain_to_best_matched_classical_mean,h1_gain_to_best_matched_classical_mean,network_gain_to_base_landweber_mean,reprojection_ratio_to_matched_cgls_mean,field_gain_to_best_matched_classical_minimum,field_harm_rate,optimization_forward_calls,optimization_adjoint_calls
jacru_m2,17,development,base_nullspace_filter,1,12,0.33701921223957254,0.5753494767046748,0.12889231426777245,0.48677588512186126,0.4053202473195608,0.5042363719379248,19.39303631713363,0.04715552663301522,0.0,14,14
jacru_m2,17,development,base_nullspace_filter,3,12,0.33275409231930175,0.5858431538074167,0.06798016686046426,0.4913557504373797,0.40777445975892773,0.509411523340721,15.739620805178205,0.08767612128232528,0.0,16,16
jacru_m2,17,development,base_nullspace_filter,5,12,0.33258200172211344,0.5921064559708403,0.049640915145614084,0.48579681422307736,0.4104162266678087,0.5092352441004033,18.526799185179755,0.102886004437063,0.0,18,18
jacru_m2,17,development,base_nullspace_filter,11,12,0.3342827089580247,0.6010843102807849,0.03319557876391895,0.4666130313063739,0.4108631471930701,0.5067920714352587,44.96507009785338,0.1024041017906067,0.0,24,24
jacru_m2,17,development,measurement_pullback,0,12,0.35240252109802367,0.582230064754912,0.23217638869562507,0.4639162111558881,0.3896629228757837,0.48175488361006336,28.311072623217058,0.002794024177404948,0.0,13,13
jacru_m2,17,development,measurement_pullback,1,12,0.3371132019602216,0.5753639222300128,0.12888974425168387,0.4866383148327915,0.4053046662987732,0.5041064335191093,19.389166418936902,0.04672957260335714,0.0,14,14
jacru_m2,17,development,measurement_pullback,3,12,0.3329754405276171,0.5858830284879398,0.06775414214902854,0.4910295661054847,0.4077287573167416,0.5091037744662393,15.690640231731422,0.08670544364088992,0.0,16,16
jacru_m2,17,development,measurement_pullback,5,12,0.33290435686805203,0.5921902377276017,0.04910778752738318,0.4853169785594221,0.4103223901183583,0.5087855695548601,18.359480650043672,0.10158843788361503,0.0,18,18
jacru_m2,17,development,measurement_pullback,11,12,0.3349217896170429,0.6014722515344801,0.03165928433018445,0.465636851743411,0.4104605941726298,0.5058974620252799,43.184511087349996,0.10030115957067574,0.0,24,24
jacru_m2,17,ood,base_nullspace_filter,1,18,0.4136342544482055,0.6633022016575248,0.1517718360631598,0.36669293546313136,0.3151001079275052,0.37703696921836244,24.494156758833746,0.2000480893972795,0.0,14,14
jacru_m2,17,ood,base_nullspace_filter,3,18,0.39574603501414435,0.6587286190268988,0.08199514352931442,0.38891204035410687,0.3342577875140841,0.40325260409819186,19.24041854813289,0.23285628183901932,0.0,16,16
jacru_m2,17,ood,base_nullspace_filter,5,18,0.38957083830992184,0.6589110734611828,0.060251148544999515,0.3908276250204501,0.34379481598998557,0.41238698174042254,20.588122122843746,0.24092920309399762,0.0,18,18
jacru_m2,17,ood,base_nullspace_filter,11,18,0.3858706472631088,0.6642276409405272,0.03687080121853766,0.37698354522146926,0.3489522045555544,0.41813824341745087,44.54511840854779,0.2279515468707397,0.0,24,24
jacru_m2,17,ood,measurement_pullback,0,18,0.4448493420192548,0.6889651511223669,0.27788662095439076,0.32063840758887824,0.2786430353575817,0.3303513597782689,36.533945306511164,0.11704635194522464,0.0,13,13
jacru_m2,17,ood,measurement_pullback,1,18,0.41363466052767045,0.6633000809334315,0.15173261620134162,0.36669562499342145,0.3151041049166783,0.3770393796435777,24.483717891583414,0.19991019117034464,0.0,14,14
jacru_m2,17,ood,measurement_pullback,3,18,0.3957522652196357,0.6587629656202698,0.08174787167338744,0.3889087090328942,0.334224253154072,0.4032474316296755,19.181170857032917,0.23270335722252788,0.0,16,16
jacru_m2,17,ood,measurement_pullback,5,18,0.3895973240319553,0.6589993789002252,0.059807557964101345,0.3907962004813299,0.34370810033875554,0.4123522436057684,20.449348630584797,0.24074101435868642,0.0,18,18
jacru_m2,17,ood,measurement_pullback,11,18,0.38600367926851864,0.6645175141508509,0.035882579000549204,0.37679471418318533,0.348677313141896,0.4179490543072334,43.486892722103164,0.2273833344239492,0.0,24,24
jacru_m2,29,development,base_nullspace_filter,1,12,0.37062612948909096,0.609425308337498,0.13332154120678763,0.4345958748264911,0.36957415996794046,0.4534480124979583,19.45062239579328,-0.02883435305517608,0.08333333333333333,14,14
jacru_m2,29,development,base_nullspace_filter,3,12,0.36006520476252807,0.6155001187612685,0.07256739363729106,0.4485323994334587,0.3772974012338007,0.4675877657586019,16.53029711476191,0.03763982509022253,0.0,16,16
jacru_m2,29,development,base_nullspace_filter,5,12,0.3568432114937949,0.6205590340447067,0.05194423699405564,0.4470370419438983,0.38157775880978767,0.47182592337719303,19.414819384029787,0.06406152829012668,0.0,18,18
jacru_m2,29,development,base_nullspace_filter,11,12,0.35612929785794395,0.629807372000958,0.03170101065700289,0.43020807393172783,0.3821447325359883,0.47293323414988214,43.35949188697608,0.07189559737381927,0.0,24,24
jacru_m2,29,development,measurement_pullback,0,12,0.38973451840310397,0.6211035057667305,0.23580560085535154,0.40638980656514895,0.34832474903375193,0.4260463296273928,28.15065249899004,-0.09770989149391524,0.08333333333333333,13,13
jacru_m2,29,development,measurement_pullback,1,12,0.3707662464098995,0.6094979881109341,0.13347173375594612,0.4343896226981135,0.36949828915739213,0.4532512332608241,19.461929978408847,-0.029348668180100856,0.08333333333333333,14,14
