cell_id,pair_id,role,d2048_to_d4096_reference_relative_l2,d4096_to_d8192_reference_relative_l2,adjacent_contraction_ratio,observed_order,fixed_second_order_richardson_correction_relative_l2,observed_geometric_tail_indicator_relative_l2,h8192_raw_paired_fraction_of_final_refinement,all_gates_pass
smooth-s1871-orientation_58-narrow__stress_1,p04,matched_control,0.0005741449658010364,0.00011826279041426644,0.20598071472989124,2.2794188257603376,3.9420930138088816e-05,3.067917183799285e-05,1.6955319431567718e-08,True
smooth-s1871-orientation_58-wide__stress_1,p04,n3_failure,0.0003138750809611667,6.900520954305231e-05,0.21984927676240018,2.185413308359158,2.300173651435077e-05,1.9445915973672153e-05,1.668161387360244e-08,True
smooth-s1871-orientation_58-narrow__stress_3,p05,matched_control,0.00041157897120961117,7.05556218897618e-05,0.1714266928711206,2.5443363257259564,2.3518540629920603e-05,1.4597521812449349e-05,8.802456037603726e-09,True
smooth-s1871-orientation_58-wide__stress_3,p05,n3_failure,0.00018652154466094497,3.841088633245715e-05,0.20593270553425702,2.2797551227847355,1.2803628777485717e-05,9.961445080965949e-06,1.1503715213072916e-08,True
