seed,split,sample_count,mean_base_field_rel_l2,mean_oracle_null_field_rel_l2,mean_field_improvement_pct,p10_field_improvement_pct,field_improved_fraction,mean_error_energy_in_support_nullspace,mean_query_reprojection_improvement_pct,max_support_projection_change
20260710,test_family_ood,20,0.6905943259685108,0.39651773826286163,42.61379673072919,36.44826719350392,1.0,0.6679048977329543,66.01906855030835,4.773887164113605e-16
20260710,test_iid,20,0.2510660284479596,0.17736602258450035,23.138250370991635,8.817998205012708,1.0,0.3872952796366068,41.04239927204365,3.2118215177443737e-16
20260710,test_joint_ood,16,0.3594886511241058,0.15618102091961433,52.28070006018045,36.59923093136521,1.0,0.7570259361410939,70.31668054271783,3.151816208653397e-16
20260710,test_noise_ood,16,0.28128189568001605,0.182267818379501,30.320622815440366,16.464291797122144,1.0,0.4986009491850727,45.12197088981928,2.7896426622348616e-16
20260710,test_view_ood,16,0.343371911210697,0.1512692278580848,51.57512217982055,34.623853072377486,1.0,0.7420725342409467,73.358734281858,3.4845938628404897e-16
20260711,test_family_ood,20,0.6947012389002716,0.3947167690066198,43.20092848338092,36.59545715016185,1.0,0.6743866009316272,67.26877085090618,4.634035381722822e-16
20260711,test_iid,20,0.25253310487165087,0.177212786736258,23.713750913368095,10.49624348959676,1.0,0.39698476287810114,40.40703634237091,2.966713848121481e-16
20260711,test_joint_ood,16,0.3686935650744011,0.17329664494797098,48.81903774603875,32.17252217059506,1.0,0.7198683965123857,67.17834501945953,3.0969368356931243e-16
20260711,test_noise_ood,16,0.2839778033573208,0.1897635363993188,27.173459910153284,9.962460884688085,1.0,0.44846145248667973,44.86178268986848,2.7551724322035617e-16
20260711,test_view_ood,16,0.34087747857472395,0.15132806644863261,50.83216064213772,34.25706088843654,1.0,0.7330316342015761,72.82595934628961,3.8749069326861034e-16
20260712,test_family_ood,20,0.6931561347432743,0.3972814796833891,42.68469337076745,36.39221721515242,1.0,0.6687840162929437,66.16760576448212,5.509621018691326e-16
20260712,test_iid,20,0.247946091749582,0.17462707725176352,23.888630075558616,11.43473813565486,1.0,0.40126641088354403,42.269301842982344,3.0198618894685896e-16
20260712,test_joint_ood,16,0.34877409656639813,0.16258366790473802,49.19027891177348,35.77903682877762,1.0,0.7279626482722462,67.61594564256472,2.755590093274167e-16
20260712,test_noise_ood,16,0.270398698424009,0.18179926595212345,26.847551425488337,11.334551901524225,1.0,0.44511291294831073,44.23261055594949,2.704314470030755e-16
20260712,test_view_ood,16,0.3292879208592813,0.14650401311155029,51.246166661718505,36.57752859925843,1.0,0.7427795642699397,71.83466183275128,3.643761659664026e-16
