split,sample_index,geometry_id,family,calibration_id,true_aperture_radius,active_reconstruction_views,accepted,selected_method,selected_baseline,confidence,estimated_aperture_radius,pinhole_fista_equal_calls_relative_l2,pinhole_fista_equal_calls_gradient_relative_l2,pinhole_fista_equal_calls_front_f1,pinhole_fista_equal_calls_mass_relative_error,pinhole_fista_equal_calls_centroid_error,pinhole_fista_equal_calls_nominal_pinhole_residual_rms,pinhole_fista_equal_calls_audit_true_operator_residual_rms,full_residual_hard_relative_l2,full_residual_hard_gradient_relative_l2,full_residual_hard_front_f1,full_residual_hard_mass_relative_error,full_residual_hard_centroid_error,full_residual_hard_nominal_pinhole_residual_rms,full_residual_hard_audit_true_operator_residual_rms,selected_candidate_relative_l2,selected_candidate_gradient_relative_l2,selected_candidate_front_f1,selected_candidate_mass_relative_error,selected_candidate_centroid_error,selected_candidate_nominal_pinhole_residual_rms,selected_candidate_audit_true_operator_residual_rms,oracle_true_operator_relative_l2,oracle_true_operator_gradient_relative_l2,oracle_true_operator_front_f1,oracle_true_operator_mass_relative_error,oracle_true_operator_centroid_error,oracle_true_operator_nominal_pinhole_residual_rms,oracle_true_operator_audit_true_operator_residual_rms,selected_gain_percent
independent_select,0,independent_select:m1101010:field=000,shock_cell,independent_select:aperture=0.12000,0.12,4,False,full_residual_hard,pinhole_fista_equal_calls,0.010365143418312073,0.08,0.31677284836769104,0.47347548604011536,0.8000000715255737,0.10432134568691254,0.005601207725703716,2.2275898456573486,2.7206876277923584,0.28116631507873535,0.43502551317214966,0.8000000715255737,0.07094478607177734,0.007700196001678705,2.5561838150024414,2.2096354961395264,0.31677284836769104,0.47347548604011536,0.8000000715255737,0.10432134568691254,0.005601207725703716,2.2275898456573486,2.7206876277923584,0.3096703588962555,0.4867058992385864,0.8500000238418579,0.04310695081949234,0.012264174409210682,3.2992053031921387,1.724291205406189,0.0
independent_select,1,independent_select:m0111000:field=001,jet_shear,independent_select:aperture=0.04000,0.04,3,True,full_residual_hard,pinhole_fista_equal_calls,0.04625801369547844,0.0,0.21083594858646393,0.2950536906719208,0.8500000238418579,0.006782883778214455,0.021977415308356285,0.9855522513389587,2.651542901992798,0.15362539887428284,0.20432566106319427,0.8999999761581421,0.006749363616108894,0.022790972143411636,0.9716345071792603,2.2151925563812256,0.15362539887428284,0.20432566106319427,0.8999999761581421,0.006749363616108894,0.022790972143411636,0.9716345071792603,2.2151925563812256,0.19863742589950562,0.27660053968429565,0.8500000238418579,0.02391432598233223,0.011898504570126534,1.2300773859024048,2.718693494796753,27.135103225708008
independent_select,2,independent_select:m1000110:field=002,interacting_fronts,independent_select:aperture=0.08000,0.08,3,True,full_residual_hard,pinhole_fista_equal_calls,0.07739371806383133,0.16,0.25120875239372253,0.4340522587299347,0.699999988079071,0.007151911500841379,0.007017685100436211,0.8857132792472839,1.5040751695632935,0.22732749581336975,0.39144468307495117,0.75,0.03817126154899597,0.019936775788664818,1.9325158596038818,1.1441147327423096,0.22732749581336975,0.39144468307495117,0.75,0.03817126154899597,0.019936775788664818,1.9325158596038818,1.1441147327423096,0.23029497265815735,0.40164875984191895,0.699999988079071,0.0032698577269911766,0.0036473984364420176,1.0888605117797852,1.0764786005020142,9.506538391113281
independent_select,3,independent_select:m1111100:field=003,expanding_kernel,independent_select:aperture=0.12000,0.12,5,False,full_residual_hard,pinhole_fista_equal_calls,0.006164594553411007,0.08,0.12501637637615204,0.1515173465013504,0.6499999761581421,0.04494484141469002,0.005099463276565075,0.9452741742134094,1.606124997138977,0.07609681785106659,0.10539552569389343,0.75,0.0014543859288096428,0.007636618800461292,2.0119645595550537,1.0080640316009521,0.12501637637615204,0.1515173465013504,0.6499999761581421,0.04494484141469002,0.005099463276565075,0.9452741742134094,1.606124997138977,0.03252542391419411,0.050201721489429474,0.8000000715255737,0.015935173258185387,0.0012405344750732183,2.9428064823150635,0.9439652562141418,0.0
independent_select,4,independent_select:m1011010:field=004,jet_shear,independent_select:aperture=0.08000,0.08,4,False,full_residual_hard,pinhole_fista_equal_calls,0.012053187005221844,0.08,0.35854372382164,0.5325967669487,0.699999988079071,0.03872160241007805,0.02536868304014206,2.555739641189575,3.904913902282715,0.2628769278526306,0.39020296931266785,0.699999988079071,0.0008136615506373346,0.023853210732340813,3.658320426940918,2.9083383083343506,0.35854372382164,0.5325967669487,0.699999988079071,0.03872160241007805,0.02536868304014206,2.555739641189575,3.904913902282715,0.32937106490135193,0.5075387358665466,0.699999988079071,0.008782860822975636,0.0219870675355196,3.506530523300171,3.068840980529785,0.0
independent_select,5,independent_select:m1011110:field=005,jet_shear,independent_select:aperture=0.08000,0.08,5,False,full_residual_hard,pinhole_fista_equal_calls,0.007352118380367756,0.08,0.11293420195579529,0.14285461604595184,0.949999988079071,0.017778068780899048,0.008961383253335953,0.9825753569602966,1.154306173324585,0.07792095094919205,0.10602932423353195,0.949999988079071,0.02779517136514187,0.011328842490911484,2.031687021255493,1.153853416442871,0.11293420195579529,0.14285461604595184,0.949999988079071,0.017778068780899048,0.008961383253335953,0.9825753569602966,1.154306173324585,0.05196923390030861,0.07401735335588455,0.949999988079071,0.014482510276138783,0.00547514483332634,2.025054693222046,1.0682275295257568,0.0
independent_select,6,independent_select:m1100100:field=006,jet_shear,independent_select:aperture=0.08000,0.08,3,False,full_residual_hard,pinhole_fista_equal_calls,0.007237464189529419,0.08,0.15959390997886658,0.20263847708702087,0.949999988079071,0.054729633033275604,0.02917294204235077,1.4499144554138184,2.01393985748291,0.1745007038116455,0.22901421785354614,0.949999988079071,0.006109791807830334,0.023712290450930595,2.7911527156829834,1.7415260076522827,0.15959390997886658,0.20263847708702087,0.949999988079071,0.054729633033275604,0.02917294204235077,1.4499144554138184,2.01393985748291,0.16107547283172607,0.2345590591430664,0.949999988079071,0.010163337923586369,0.018369032070040703,2.758192300796509,1.4129630327224731,0.0
independent_select,7,independent_select:m0010110:field=007,expanding_kernel,independent_select:aperture=0.12000,0.12,3,False,full_residual_hard,pinhole_fista_equal_calls,0.009156789630651474,0.04,0.13256250321865082,0.19669793546199799,0.8999999761581421,0.0014105229638516903,0.0056351106613874435,0.8154910802841187,1.68693208694458,0.1287245750427246,0.19635845720767975,0.8999999761581421,0.007571077439934015,0.0053292131051421165,1.1441117525100708,1.5282726287841797,0.13256250321865082,0.19669793546199799,0.8999999761581421,0.0014105229638516903,0.0056351106613874435,0.8154910802841187,1.68693208694458,0.08288891613483429,0.13092884421348572,0.8999999761581421,0.01661728508770466,0.0036617652513086796,3.326051950454712,1.3121216297149658,0.0
independent_select,8,independent_select:m0101100:field=008,jet_shear,independent_select:aperture=0.08000,0.08,3,True,full_residual_hard,pinhole_fista_equal_calls,0.04231605306267738,0.0,0.30314338207244873,0.41029077768325806,0.8500000238418579,0.03703898936510086,0.02300691418349743,1.0660209655761719,2.4921391010284424,0.311210036277771,0.4191719889640808,0.8500000238418579,0.036301564425230026,0.02249925211071968,1.0690116882324219,2.5559897422790527,0.311210036277771,0.4191719889640808,0.8500000238418579,0.036301564425230026,0.02249925211071968,1.0690116882324219,2.5559897422790527,0.2847009599208832,0.3921523988246918,0.8999999761581421,0.01849830150604248,0.02779114991426468,1.663099765777588,2.5176236629486084,-2.6610028743743896
independent_select,9,independent_select:m0011110:field=009,shock_cell,independent_select:aperture=0.04000,0.04,4,False,full_residual_hard,pinhole_fista_equal_calls,0.0027303509414196014,0.04,0.3250952959060669,0.48844966292381287,0.75,0.029788538813591003,0.023059694096446037,1.443252444267273,8.129441261291504,0.27934107184410095,0.4179166257381439,0.8000000715255737,0.016871895641088486,0.025238465517759323,1.785017728805542,8.288415908813477,0.3250952959060669,0.48844966292381287,0.75,0.029788538813591003,0.023059694096446037,1.443252444267273,8.129441261291504,0.3333834707736969,0.5005977749824524,0.8000000715255737,0.020746566355228424,0.02502615377306938,1.7423768043518066,8.506197929382324,0.0
