base_seed,mode,selected_step,relative_change,cancellation_ratio
709,yaw,0.00625,8.165917152083687e-08,30532337920.61044
709,pitch,0.0015625,8.140314644914605e-10,5274078119.201573
709,roll,0.025,0.004196077824645253,89362972755.80045
709,shift_u,0.05,0.004607751501380867,170701433592.81546
709,shift_v,0.00625,0.00076046344378041,19538295508.31012
811,yaw,0.0125,0.0025061604485694593,61868731370.4163
811,pitch,0.025,0.00448246852332545,83688870111.04842
811,roll,0.025,0.0037205590687669366,90305867934.39267
811,shift_u,0.05,0.003505568123600763,171729447881.8884
811,shift_v,0.0125,0.0007574100765920375,39376131619.27197
907,yaw,0.0015625,0.0018881485031826844,7685545928.907965
907,pitch,0.025,0.00023588190967547372,83663607420.51903
907,roll,0.0125,0.00391414196662538,44550120629.63512
907,shift_u,0.00625,0.0036346403002038108,21377268603.949093
907,shift_v,0.025,2.7574610482348744e-10,77873100538.01848
