case_id,split,family,base_seed,geometry_cluster_id,method,field_relative_l2,field_rmse,field_nrmse_dynamic_range,field_mean_bias,h1_seminorm_relative_error,measured_reprojection_relative_l2,clean_reprojection_relative_l2,maximum_ray_residual_norm,pooled_ray_residual_p95,camera_0_relative_l2,camera_0_p95_error_over_signal_rms,camera_1_relative_l2,camera_1_p95_error_over_signal_rms,camera_2_relative_l2,camera_2_p95_error_over_signal_rms,camera_macro_relative_l2,worst_camera_relative_l2,worst_camera_p95_error_over_signal_rms,maximum_ray_envelope_violation,violating_ray_count,solve_forward_calls,solve_adjoint_calls,evaluator_forward_calls,truth_conditioned,deployable,real_bost,confirmatory
6c1be592795051f71c55,development,smooth_no_interface,101,a9cbd1623a2b86c87c20711f8ef7e7b42b52604c0dfb9d618ae685237f06b29f,cgls_k1,0.8155287403631721,0.05808340066103088,0.09210137510896606,0.021080661868639473,1.0643816302503906,0.5155644356152475,0.5156332190504163,0.5670818038224964,0.46120249379546485,0.475869050469545,1.1603363046778938,0.5479174799567198,1.124513882843547,0.5288552494667209,1.485448991592121,0.5175472599643286,0.5479174799567198,1.485448991592121,0.5316034582921916,106,12,12,0,False,True,False,False
6c1be592795051f71c55,development,smooth_no_interface,101,a9cbd1623a2b86c87c20711f8ef7e7b42b52604c0dfb9d618ae685237f06b29f,cgls_k2,0.7598176915512717,0.054115561136519635,0.08580967262150524,0.02108066186863947,1.1475075817930867,0.28640190461387466,0.288294511792671,0.39246962613264674,0.2783949358930624,0.2368824668588001,0.6032825217827348,0.3124555009030866,0.7965659141433222,0.31160912156540727,0.9829861255207556,0.28698236310909797,0.3124555009030866,0.9829861255207556,0.3682438572235952,100,12,12,0,False,True,False,False
6c1be592795051f71c55,development,smooth_no_interface,101,a9cbd1623a2b86c87c20711f8ef7e7b42b52604c0dfb9d618ae685237f06b29f,cgls_k3,0.7422500130959706,0.052864359975970714,0.08382567467866776,0.02108066186863947,1.1753611226725238,0.16577542950864407,0.16870197078001284,0.21124206977883386,0.16309298230853522,0.13147452254103695,0.36654123375013303,0.20744144310772245,0.5976048512884923,0.1596655509420118,0.425639240287063,0.16619383886359038,0.20744144310772245,0.5976048512884923,0.12972689238449375,93,12,12,0,False,True,False,False
6c1be592795051f71c55,development,smooth_no_interface,101,a9cbd1623a2b86c87c20711f8ef7e7b42b52604c0dfb9d618ae685237f06b29f,cgls_k4,0.7316775133739781,0.05211136782873177,0.08263167413087462,0.021080661868639473,1.1694295196307989,0.08706744063873867,0.09019773976746849,0.10753015700480399,0.08814474198017294,0.07102933858433234,0.20023166775382614,0.09750615248461154,0.2771579275989313,0.0933763604584851,0.23751960086509702,0.08730395050914301,0.09750615248461154,0.2771579275989313,-3.765116690646053e-11,0,12,12,0,False,True,False,False
6c1be592795051f71c55,development,smooth_no_interface,101,a9cbd1623a2b86c87c20711f8ef7e7b42b52604c0dfb9d618ae685237f06b29f,cgls_k6,0.7286464533807715,0.051895490369974595,0.08228936272038062,0.02108066186863947,1.1780366887920002,0.041523857574715904,0.048001190234883126,0.054422447447147394,0.040092044894754666,0.033046137088079436,0.08780875609283431,0.047034512677506024,0.13376160056047953,0.0447396790904719,0.10828932770720268,0.041606776285352455,0.047034512677506024,0.13376160056047953,0.019267937124509856,18,12,12,0,False,True,False,False
6c1be592795051f71c55,development,smooth_no_interface,101,a9cbd1623a2b86c87c20711f8ef7e7b42b52604c0dfb9d618ae685237f06b29f,cgls_k8,0.727434235515742,0.05180915406757572,0.08215246143563724,0.021080661868639473,1.186012571191269,0.02416744787459553,0.03175054722551667,0.03602260936840769,0.022998073290099962,0.018863187763792148,0.047111451778800495,0.034848686413678345,0.0863593143987097,0.017379179117980273,0.03844515024936766,0.023697017765150253,0.034848686413678345,0.0863593143987097,0.020414312878384334,13,12,12,0,False,True,False,False
6c1be592795051f71c55,development,smooth_no_interface,101,a9cbd1623a2b86c87c20711f8ef7e7b42b52604c0dfb9d618ae685237f06b29f,cgls_k12,0.7267391837877377,0.051759651253021524,0.08207396607826632,0.02108066186863947,1.1806436233072177,0.0070988780705942755,0.020540811922149172,0.011120182161735182,0.007705573687684364,0.006053233223797801,0.018686003970461672,0.009672265449599732,0.023497171374291182,0.005389268903508069,0.011588377353610246,0.0070382558589685345,0.009672265449599732,0.023497171374291182,0.0019542745995160355,1,12,12,0,False,True,False,False
6c1be592795051f71c55,development,smooth_no_interface,101,a9cbd1623a2b86c87c20711f8ef7e7b42b52604c0dfb9d618ae685237f06b29f,truth_best_discrete_unconstrained,0.7267391837877377,0.051759651253021524,0.08207396607826632,0.02108066186863947,1.1806436233072177,0.0070988780705942755,0.020540811922149172,0.011120182161735182,0.007705573687684364,0.006053233223797801,0.018686003970461672,0.009672265449599732,0.023497171374291182,0.005389268903508069,0.011588377353610246,0.0070382558589685345,0.009672265449599732,0.023497171374291182,0.0019542745995160355,1,12,12,0,True,False,False,False
6c1be592795051f71c55,development,smooth_no_interface,101,a9cbd1623a2b86c87c20711f8ef7e7b42b52604c0dfb9d618ae685237f06b29f,gct_kselect_tail_safe_truth_oracle,0.7316775133739781,0.05211136782873177,0.08263167413087462,0.021080661868639473,1.1694295196307989,0.08706744063873867,0.09019773976746849,0.10753015700480399,0.08814474198017294,0.07102933858433234,0.20023166775382614,0.09750615248461154,0.2771579275989313,0.0933763604584851,0.23751960086509702,0.08730395050914301,0.09750615248461154,0.2771579275989313,-3.765116690646053e-11,0,12,12,0,True,False,False,False
6c1be592795051f71c55,development,smooth_no_interface,101,a9cbd1623a2b86c87c20711f8ef7e7b42b52604c0dfb9d618ae685237f06b29f,gct_kmix_unconstrained_truth_oracle,0.7258745584767194,0.05169807110768026,0.08197632000381487,0.021080661868639473,1.1527467711033543,0.04542655078779273,0.04894839058143313,0.050555357448118836,0.03812404505190169,0.041274324239732506,0.09566791838706389,0.049784992997335575,0.10787460048205079,0.045893338834801824,0.12985591005756064,0.04565088535728997,0.049784992997335575,0.12985591005756064,0.02783478635619304,32,12,12,0,True,False,False,False
6c1be592795051f71c55,development,smooth_no_interface,101,a9cbd1623a2b86c87c20711f8ef7e7b42b52604c0dfb9d618ae685237f06b29f,gct_kmix_tail_safe_truth_oracle,0.7274526068915116,0.05181046250948182,0.08215453619877836,0.021080661868639473,1.1684337904062962,0.04374932935069932,0.048680982162712716,0.05927291116535118,0.044010095516730685,0.03414017058986381,0.09609745403321457,0.05224550478266302,0.1458090497146538,0.04519187362663787,0.11245147698777136,0.04385918299972157,0.05224550478266302,0.1458090497146538,1.110561295702972e-13,2,12,12,1,True,False,False,False
f25f8547df25472026e4,development,single_interface,101,a9cbd1623a2b86c87c20711f8ef7e7b42b52604c0dfb9d618ae685237f06b29f,cgls_k1,0.8446530983167649,0.10218785927097052,0.09873651759873722,0.004275381226064662,0.9955151170993222,0.4409958944819651,0.4393383277142939,1.112280694796669,0.7351229272885379,0.6001312142197667,1.223061455702671,0.4267820847248411,1.1457028128575595,0.4481772796458946,1.1715341562953998,0.49169685953016745,0.6001312142197667,1.223061455702671,0.8839867439565837,103,12,12,0,False,True,False,False
f25f8547df25472026e4,development,single_interface,101,a9cbd1623a2b86c87c20711f8ef7e7b42b52604c0dfb9d618ae685237f06b29f,cgls_k2,0.7970288424125525,0.09642617939325193,0.09316943545509299,0.0042753812260646635,1.0217594124092009,0.2540030884958702,0.2514631199600113,0.49202846853108384,0.37821038266174456,0.4212055885555089,0.9093213933975604,0.23442481208855864,0.5080434098833013,0.28550828027157554,0.8392970848719589,0.31371289363854765,0.4212055885555089,0.9093213933975604,0.38680745967068403,86,12,12,0,False,True,False,False
f25f8547df25472026e4,development,single_interface,101,a9cbd1623a2b86c87c20711f8ef7e7b42b52604c0dfb9d618ae685237f06b29f,cgls_k3,0.7796696680190994,0.09432603097313312,0.0911402184529718,0.004275381226064663,1.0219027240425758,0.20650888023708988,0.20531397018198105,0.4019160667019114,0.31116611995880233,0.29527455279312737,0.5614134076386529,0.1943269843202451,0.3841750741076058,0.24794974023468147,0.6191373653301449,0.24585042578268465,0.29527455279312737,0.6191373653301449,0.29669505784151157,87,12,12,0,False,True,False,False
f25f8547df25472026e4,development,single_interface,101,a9cbd1623a2b86c87c20711f8ef7e7b42b52604c0dfb9d618ae685237f06b29f,cgls_k4,0.7594816919692112,0.09188364834331407,0.0887803260231625,0.004275381226064663,1.02420206572034,0.15570667290703044,0.1572223457486857,0.31939831113286665,0.23905045502544428,0.19158309848432728,0.5418855336267758,0.1501198758765576,0.34071774668618326,0.1823622823063064,0.524989041285335,0.17468841888906375,0.19158309848432728,0.5418855336267758,-5.507516664948753e-11,0,12,12,0,False,True,False,False
f25f8547df25472026e4,development,single_interface,101,a9cbd1623a2b86c87c20711f8ef7e7b42b52604c0dfb9d618ae685237f06b29f,cgls_k6,0.7376835838196801,0.0892464686391294,0.08623221568861876,0.004275381226064663,1.0360210772103817,0.09095887355023763,0.09540933405493625,0.19064060237589814,0.14710998998719707,0.08647710726704455,0.2501501384046739,0.09158994286114044,0.2011807205082128,0.08735662902519582,0.1949923215283346,0.08847455971779361,0.09158994286114044,0.2501501384046739,0.0731304333740375,26,12,12,0,False,True,False,False
f25f8547df25472026e4,development,single_interface,101,a9cbd1623a2b86c87c20711f8ef7e7b42b52604c0dfb9d618ae685237f06b29f,cgls_k8,0.7242696388242524,0.08762362214014309,0.08466417998408052,0.004275381226064662,1.030849811421442,0.05376709672180538,0.06000984844891905,0.11687393635757812,0.08141036407063731,0.11330247606804734,0.2591799267187795,0.04409627594590884,0.11720022261289867,0.07432115387173659,0.20690471491585516,0.07723996862856426,0.11330247606804734,0.2591799267187795,0.030814863730183453,12,12,12,0,False,True,False,False
f25f8547df25472026e4,development,single_interface,101,a9cbd1623a2b86c87c20711f8ef7e7b42b52604c0dfb9d618ae685237f06b29f,cgls_k12,0.716222134348356,0.08665001859034943,0.08372345938660243,0.004275381226064662,1.0267435275525614,0.013863728817565145,0.028565262016324793,0.024015327051259368,0.019471497084587088,0.03921144027300932,0.08522596187631974,0.008848189946592174,0.022007618710871844,0.019857363534648127,0.043334225966188085,0.022638997918083204,0.03921144027300932,0.08522596187631974,0.015121911866838056,3,12,12,0,False,True,False,False
f25f8547df25472026e4,development,single_interface,101,a9cbd1623a2b86c87c20711f8ef7e7b42b52604c0dfb9d618ae685237f06b29f,truth_best_discrete_unconstrained,0.716222134348356,0.08665001859034943,0.08372345938660243,0.004275381226064662,1.0267435275525614,0.013863728817565145,0.028565262016324793,0.024015327051259368,0.019471497084587088,0.03921144027300932,0.08522596187631974,0.008848189946592174,0.022007618710871844,0.019857363534648127,0.043334225966188085,0.022638997918083204,0.03921144027300932,0.08522596187631974,0.015121911866838056,3,12,12,0,True,False,False,False
f25f8547df25472026e4,development,single_interface,101,a9cbd1623a2b86c87c20711f8ef7e7b42b52604c0dfb9d618ae685237f06b29f,gct_kselect_tail_safe_truth_oracle,0.7594816919692112,0.09188364834331407,0.0887803260231625,0.004275381226064663,1.02420206572034,0.15570667290703044,0.1572223457486857,0.31939831113286665,0.23905045502544428,0.19158309848432728,0.5418855336267758,0.1501198758765576,0.34071774668618326,0.1823622823063064,0.524989041285335,0.17468841888906375,0.19158309848432728,0.5418855336267758,-5.507516664948753e-11,0,12,12,0,True,False,False,False
f25f8547df25472026e4,development,single_interface,101,a9cbd1623a2b86c87c20711f8ef7e7b42b52604c0dfb9d618ae685237f06b29f,gct_kmix_unconstrained_truth_oracle,0.7162221343648476,0.08665001859234463,0.08372345938853024,0.004275381226064662,1.0267435274148815,0.01386372881756514,0.028565261989437082,0.02401532686942415,0.019471497123810542,0.039211439964203405,0.0852259612288158,0.00884819004117839,0.022007618755204073,0.019857363546651463,0.04333422585795054,0.022638997850677755,0.039211439964203405,0.0852259612288158,0.01512191168500284,3,12,12,0,True,False,False,False
f25f8547df25472026e4,development,single_interface,101,a9cbd1623a2b86c87c20711f8ef7e7b42b52604c0dfb9d618ae685237f06b29f,gct_kmix_tail_safe_truth_oracle,0.7181015490581457,0.08687739402561215,0.08394315533507911,0.004275381226064663,1.0163796836843069,0.025928475659649553,0.034087579505750046,0.04567381435759985,0.03943426612728507,0.028503121700569335,0.07745039592041159,0.025131237953794815,0.05108883482480004,0.031754892991334605,0.0904438822757666,0.028463084215232918,0.031754892991334605,0.0904438822757666,1.2782309932735103e-13,2,12,12,1,True,False,False,False
ef0a1521f135ecd1e246,development,two_interface,101,a9cbd1623a2b86c87c20711f8ef7e7b42b52604c0dfb9d618ae685237f06b29f,cgls_k1,0.8684683602216448,0.04517262111127707,0.11640515472917104,-0.016601174081403724,1.0190646568257227,0.45106285815217534,0.4509116834216451,0.46864759042008913,0.3388943556651068,0.47923550063941306,1.1042570992407668,0.4605793350943525,1.223413309784513,0.3941371890691178,0.9760996323361923,0.44465067493429444,0.47923550063941306,1.223413309784513,0.42289157220111145,104,12,12,0,False,True,False,False
ef0a1521f135ecd1e246,development,two_interface,101,a9cbd1623a2b86c87c20711f8ef7e7b42b52604c0dfb9d618ae685237f06b29f,cgls_k2,0.8239005738432263,0.042854466737378145,0.11043151158114385,-0.01660117408140372,1.0498788130894827,0.267680128710146,0.26591366330390387,0.24972956680913913,0.2020071691789189,0.2083040860278668,0.4648778885759657,0.2721629468984015,0.6717207781315888,0.2763071807860103,0.6677942474863974,0.2522580712374262,0.2763071807860103,0.6717207781315888,0.2145440813129587,94,12,12,0,False,True,False,False
ef0a1521f135ecd1e246,development,two_interface,101,a9cbd1623a2b86c87c20711f8ef7e7b42b52604c0dfb9d618ae685237f06b29f,cgls_k3,0.805572337154773,0.04190113955876451,0.10797488641740412,-0.01660117408140372,1.0661348037232012,0.17484241932065245,0.17328235773412454,0.19376908665338352,0.12543816788220652,0.12280052939668291,0.28709293374055256,0.1702217991785662,0.487690564240109,0.21177133761952488,0.500694292911001,0.16826455539825802,0.21177133761952488,0.500694292911001,0.14335404913916736,79,12,12,0,False,True,False,False
ef0a1521f135ecd1e246,development,two_interface,101,a9cbd1623a2b86c87c20711f8ef7e7b42b52604c0dfb9d618ae685237f06b29f,cgls_k4,0.7971939273510852,0.041465343911033126,0.10685188627801642,-0.01660117408140372,1.0801795921647408,0.09244784126207356,0.09000026148694765,0.07479483537990247,0.06370123272952109,0.10307401636826376,0.24132023324511087,0.07823250484108388,0.1928047790142455,0.13119455628895962,0.3002449828025749,0.10416702583276909,0.13119455628895962,0.3002449828025749,-2.4798895575939284e-11,0,12,12,0,False,True,False,False
ef0a1521f135ecd1e246,development,two_interface,101,a9cbd1623a2b86c87c20711f8ef7e7b42b52604c0dfb9d618ae685237f06b29f,cgls_k6,0.7957070744173899,0.04138800655794307,0.10665259594835821,-0.016601174081403724,1.080966172047216,0.04125942685273528,0.040674413711523416,0.03959303815202492,0.027459944667247483,0.04808359505729793,0.11409651680133348,0.038532911705524274,0.09471047154437719,0.04757874064932957,0.10958891408527174,0.044731749137383925,0.04808359505729793,0.11409651680133348,0.020807814575467,17,12,12,0,False,True,False,False
ef0a1521f135ecd1e246,development,two_interface,101,a9cbd1623a2b86c87c20711f8ef7e7b42b52604c0dfb9d618ae685237f06b29f,cgls_k8,0.7947894858594315,0.04134027899276831,0.10652960696803473,-0.01660117408140372,1.0833857822781197,0.028395603560263428,0.02925365311307095,0.026606612157869084,0.02125299072336156,0.03652903380872653,0.09313945243834691,0.02797392930838673,0.07159179740726548,0.02515302590482604,0.07809376810122348,0.029885329673979767,0.03652903380872653,0.09313945243834691,0.011289518671560573,15,12,12,0,False,True,False,False
ef0a1521f135ecd1e246,development,two_interface,101,a9cbd1623a2b86c87c20711f8ef7e7b42b52604c0dfb9d618ae685237f06b29f,cgls_k12,0.7940157204003132,0.04130003226011265,0.10642589531644416,-0.01660117408140372,1.0849573442802738,0.009441902857586115,0.021766158218721465,0.00681783580621965,0.005884276004987128,0.013637941282345434,0.03054803462231953,0.006842361334618616,0.016924643180058534,0.014473447668047104,0.032445033695131215,0.011651250095003717,0.014473447668047104,0.032445033695131215,0.004651509104961073,2,12,12,0,False,True,False,False
ef0a1521f135ecd1e246,development,two_interface,101,a9cbd1623a2b86c87c20711f8ef7e7b42b52604c0dfb9d618ae685237f06b29f,truth_best_discrete_unconstrained,0.7940157204003132,0.04130003226011265,0.10642589531644416,-0.01660117408140372,1.0849573442802738,0.009441902857586115,0.021766158218721465,0.00681783580621965,0.005884276004987128,0.013637941282345434,0.03054803462231953,0.006842361334618616,0.016924643180058534,0.014473447668047104,0.032445033695131215,0.011651250095003717,0.014473447668047104,0.032445033695131215,0.004651509104961073,2,12,12,0,True,False,False,False
ef0a1521f135ecd1e246,development,two_interface,101,a9cbd1623a2b86c87c20711f8ef7e7b42b52604c0dfb9d618ae685237f06b29f,gct_kselect_tail_safe_truth_oracle,0.7971939273510852,0.041465343911033126,0.10685188627801642,-0.01660117408140372,1.0801795921647408,0.09244784126207356,0.09000026148694765,0.07479483537990247,0.06370123272952109,0.10307401636826376,0.24132023324511087,0.07823250484108388,0.1928047790142455,0.13119455628895962,0.3002449828025749,0.10416702583276909,0.13119455628895962,0.3002449828025749,-2.4798895575939284e-11,0,12,12,0,True,False,False,False
ef0a1521f135ecd1e246,development,two_interface,101,a9cbd1623a2b86c87c20711f8ef7e7b42b52604c0dfb9d618ae685237f06b29f,gct_kmix_unconstrained_truth_oracle,0.7937559012612732,0.04128651799515736,0.10639107045872125,-0.01660117408140372,1.0785943882345297,0.021681761488654975,0.026700472266431647,0.020182093265307545,0.0160498813264685,0.02362038524922539,0.04732371260887492,0.020858736739956193,0.053193314062345086,0.02378421820842786,0.053530860651529844,0.022754446732536477,0.02378421820842786,0.053530860651529844,0.005235723240511369,4,12,12,0,True,False,False,False
ef0a1521f135ecd1e246,development,two_interface,101,a9cbd1623a2b86c87c20711f8ef7e7b42b52604c0dfb9d618ae685237f06b29f,gct_kmix_tail_safe_truth_oracle,0.7948301833401569,0.04134239583658346,0.10653506185477316,-0.01660117408140372,1.0791253135400016,0.05378486840593362,0.05253140596181533,0.044005426494795614,0.03663006554434267,0.059758748888013094,0.13692930750900562,0.04688825386115376,0.11637521397885144,0.07300585945572076,0.1697967965618727,0.05988428740162921,0.07300585945572076,0.1697967965618727,-6.127674322814469e-13,0,12,12,1,True,False,False,False
45c52befc568a4b31721,development,smooth_no_interface,211,f99fb713433ccdbf022d3e22dd9e5c7cc8e72306db591b14bc0bf292487428a2,cgls_k1,0.8063151667458277,0.06323080298712297,0.10415417908288208,0.02602788949129948,1.1365634031381555,0.4745730255774876,0.4742765615665693,0.7618329919971475,0.4594327419370456,0.40692958350896996,0.9036432060665995,0.4808807049158316,1.1566253211826487,0.5193976408611446,1.6047451845615537,0.469069309761982,0.5193976408611446,1.6047451845615537,0.6939123383547844,104,12,12,0,False,True,False,False
45c52befc568a4b31721,development,smooth_no_interface,211,f99fb713433ccdbf022d3e22dd9e5c7cc8e72306db591b14bc0bf292487428a2,cgls_k2,0.7663357743529381,0.060095640474749495,0.09898991953940947,0.026027889491299475,1.201270783397897,0.28107262548395545,0.2805590134603805,0.3949383041019001,0.30416508029489603,0.22987129002684104,0.5822118624419644,0.3016713309041584,0.7654049023903795,0.2942593984127347,0.9098244562492952,0.2752673397812447,0.3016713309041584,0.9098244562492952,0.34098296340104917,91,12,12,0,False,True,False,False
45c52befc568a4b31721,development,smooth_no_interface,211,f99fb713433ccdbf022d3e22dd9e5c7cc8e72306db591b14bc0bf292487428a2,cgls_k3,0.7495921868189079,0.05878261731913318,0.09682709948289552,0.02602788949129948,1.2317898736063675,0.17268600746509635,0.17342163331868116,0.22333127901322755,0.19511106606526427,0.1360959862719777,0.3146180766116245,0.18618589469763858,0.47675343224326666,0.18311408257175246,0.5504924529984075,0.16846532118045623,0.18618589469763858,0.5504924529984075,0.18277769099329905,80,12,12,0,False,True,False,False
45c52befc568a4b31721,development,smooth_no_interface,211,f99fb713433ccdbf022d3e22dd9e5c7cc8e72306db591b14bc0bf292487428a2,cgls_k4,0.7401013952726481,0.05803835453554277,0.0956011451127986,0.02602788949129948,1.2398097474058583,0.09819368202587643,0.09878671094628515,0.11801130875049742,0.09119159907909608,0.08620440274280664,0.21622995375008444,0.09816885197130168,0.22901176982749838,0.10763692144765823,0.24343527827332165,0.09733672538725552,0.10763692144765823,0.24343527827332165,-3.896249295420873e-11,0,12,12,0,False,True,False,False
