case_id,split,family,base_seed,geometry_cluster_id,checkpoint,tail_safe_weight,unconstrained_weight,checkpoint_is_tail_safe,checkpoint_is_kselect
6b8c47bc7dac1f5a10ac,development,single_interface,211,f99fb713433ccdbf022d3e22dd9e5c7cc8e72306db591b14bc0bf292487428a2,1,0.020796220591414987,0.04205621935106943,False,False
6b8c47bc7dac1f5a10ac,development,single_interface,211,f99fb713433ccdbf022d3e22dd9e5c7cc8e72306db591b14bc0bf292487428a2,2,0.006291336937034224,1.5488950473519614e-09,False,False
6b8c47bc7dac1f5a10ac,development,single_interface,211,f99fb713433ccdbf022d3e22dd9e5c7cc8e72306db591b14bc0bf292487428a2,3,9.910495407263903e-10,1.4322686553850145e-09,False,False
6b8c47bc7dac1f5a10ac,development,single_interface,211,f99fb713433ccdbf022d3e22dd9e5c7cc8e72306db591b14bc0bf292487428a2,4,4.923247863935245e-10,1.5145996282731274e-09,True,True
6b8c47bc7dac1f5a10ac,development,single_interface,211,f99fb713433ccdbf022d3e22dd9e5c7cc8e72306db591b14bc0bf292487428a2,6,1.1609214485815242e-09,2.204252615804824e-09,False,False
6b8c47bc7dac1f5a10ac,development,single_interface,211,f99fb713433ccdbf022d3e22dd9e5c7cc8e72306db591b14bc0bf292487428a2,8,3.44886736957365e-10,3.7551632550016165e-09,False,False
6b8c47bc7dac1f5a10ac,development,single_interface,211,f99fb713433ccdbf022d3e22dd9e5c7cc8e72306db591b14bc0bf292487428a2,12,0.9729124394823646,0.9579437701937511,False,False
f448cb914cd5e33e69d8,development,two_interface,211,f99fb713433ccdbf022d3e22dd9e5c7cc8e72306db591b14bc0bf292487428a2,1,2.03713435796865e-12,2.7688440648394295e-10,False,False
f448cb914cd5e33e69d8,development,two_interface,211,f99fb713433ccdbf022d3e22dd9e5c7cc8e72306db591b14bc0bf292487428a2,2,3.1335433963065626e-12,3.0387341208192974e-10,False,False
f448cb914cd5e33e69d8,development,two_interface,211,f99fb713433ccdbf022d3e22dd9e5c7cc8e72306db591b14bc0bf292487428a2,3,6.455031027166471e-12,4.2137095400632833e-10,False,False
f448cb914cd5e33e69d8,development,two_interface,211,f99fb713433ccdbf022d3e22dd9e5c7cc8e72306db591b14bc0bf292487428a2,4,7.871861256089105e-12,4.844839200467056e-10,True,False
f448cb914cd5e33e69d8,development,two_interface,211,f99fb713433ccdbf022d3e22dd9e5c7cc8e72306db591b14bc0bf292487428a2,6,8.78025754407393e-12,7.01365270578369e-10,False,False
f448cb914cd5e33e69d8,development,two_interface,211,f99fb713433ccdbf022d3e22dd9e5c7cc8e72306db591b14bc0bf292487428a2,8,2.273468009127739e-11,9.320585105462043e-10,False,False
f448cb914cd5e33e69d8,development,two_interface,211,f99fb713433ccdbf022d3e22dd9e5c7cc8e72306db591b14bc0bf292487428a2,12,0.9999999999489875,0.999999996879963,True,True
d8e2b6e94e3eef6067ed,development,smooth_no_interface,307,95fde4aa13a62edb1724d6eb9750c9daba2b6248a873cb3dc98fc360ebe863bb,1,0.03453655025987918,0.09051285365590443,False,False
d8e2b6e94e3eef6067ed,development,smooth_no_interface,307,95fde4aa13a62edb1724d6eb9750c9daba2b6248a873cb3dc98fc360ebe863bb,2,8.303746940118791e-11,6.27905191666966e-10,False,False
d8e2b6e94e3eef6067ed,development,smooth_no_interface,307,95fde4aa13a62edb1724d6eb9750c9daba2b6248a873cb3dc98fc360ebe863bb,3,0.023395827081496554,2.2646177627391457e-09,False,False
d8e2b6e94e3eef6067ed,development,smooth_no_interface,307,95fde4aa13a62edb1724d6eb9750c9daba2b6248a873cb3dc98fc360ebe863bb,4,0.04279400469359537,1.3600211273234357e-08,True,False
d8e2b6e94e3eef6067ed,development,smooth_no_interface,307,95fde4aa13a62edb1724d6eb9750c9daba2b6248a873cb3dc98fc360ebe863bb,6,4.522168506627353e-11,4.39546866706934e-09,False,False
d8e2b6e94e3eef6067ed,development,smooth_no_interface,307,95fde4aa13a62edb1724d6eb9750c9daba2b6248a873cb3dc98fc360ebe863bb,8,6.48215708074649e-11,4.738170895815364e-09,False,False
d8e2b6e94e3eef6067ed,development,smooth_no_interface,307,95fde4aa13a62edb1724d6eb9750c9daba2b6248a873cb3dc98fc360ebe863bb,12,0.8992736177719476,0.9094871207177221,True,True
2f49c86e3eb06a461f57,development,single_interface,307,95fde4aa13a62edb1724d6eb9750c9daba2b6248a873cb3dc98fc360ebe863bb,1,2.2234600432061634e-11,6.71938761130525e-10,False,False
2f49c86e3eb06a461f57,development,single_interface,307,95fde4aa13a62edb1724d6eb9750c9daba2b6248a873cb3dc98fc360ebe863bb,2,3.3169378863198166e-11,2.9062845135552944e-10,False,False
2f49c86e3eb06a461f57,development,single_interface,307,95fde4aa13a62edb1724d6eb9750c9daba2b6248a873cb3dc98fc360ebe863bb,3,7.092896196444792e-11,2.5591583056671676e-10,False,False
2f49c86e3eb06a461f57,development,single_interface,307,95fde4aa13a62edb1724d6eb9750c9daba2b6248a873cb3dc98fc360ebe863bb,4,1.3256348080121037e-10,2.45180165875749e-10,True,True
2f49c86e3eb06a461f57,development,single_interface,307,95fde4aa13a62edb1724d6eb9750c9daba2b6248a873cb3dc98fc360ebe863bb,6,0.1532349255436804,2.260020916009241e-10,False,False
