case_id,split,family,base_seed,geometry_cluster_id,observation_rms,solve_forward_calls,solve_adjoint_calls,evaluator_forward_calls,projection_closure_relative_l2,oracle,status,primal_objective,dual_objective,signed_primal_dual_gap,relative_primal_dual_gap,primal_residual,dual_residual,iterations,solve_seconds,weight_sum_error,minimum_weight,maximum_ray_violation,maximum_ray_violation_over_observation_rms,violating_ray_count,active_ray_count,active_weight_count,nontrivial_mixture,truth_conditioned,deployable
f448cb914cd5e33e69d8,development,two_interface,211,f99fb713433ccdbf022d3e22dd9e5c7cc8e72306db591b14bc0bf292487428a2,0.2813969871505201,12,12,1,1.46021516269718e-16,tail_safe,Solved,0.2887773752945121,0.288777375292144,2.368105711525459e-12,2.368105711525459e-12,8.243543291153351e-14,1.36494793962254e-13,10,0.000618793,0.0,2.03713435796865e-12,-0.001325890971545579,-0.004711816515776538,0,0,1,False,True,False
d8e2b6e94e3eef6067ed,development,smooth_no_interface,307,95fde4aa13a62edb1724d6eb9750c9daba2b6248a873cb3dc98fc360ebe863bb,0.48812220895319003,12,12,1,5.887620204461234e-16,unconstrained,Solved,0.26877404045090514,0.2687740404433938,7.511324895403959e-12,7.511324895403959e-12,2.1208938642185303e-16,1.0175178162877327e-14,10,4.4543e-05,2.220446049250313e-16,6.27905191666966e-10,,,,,2,True,True,False
d8e2b6e94e3eef6067ed,development,smooth_no_interface,307,95fde4aa13a62edb1724d6eb9750c9daba2b6248a873cb3dc98fc360ebe863bb,0.48812220895319003,12,12,1,5.887620204461234e-16,tail_safe,Solved,0.26897345054763355,0.2689734505392374,8.396172646030209e-12,8.396172646030209e-12,1.6342421954796758e-13,3.37924929280976e-13,11,0.000650875,5.551115123125783e-16,4.522168506627353e-11,-2.5389065849701353e-13,-5.201374857364073e-13,0,2,4,True,True,False
2f49c86e3eb06a461f57,development,single_interface,307,95fde4aa13a62edb1724d6eb9750c9daba2b6248a873cb3dc98fc360ebe863bb,0.6289006331657865,12,12,1,2.20585063444262e-16,unconstrained,Solved,0.27351091562539076,0.2735109156060148,1.937594529266562e-11,1.937594529266562e-11,6.443002852514891e-15,8.497862654185789e-15,9,3.5664e-05,9.992007221626409e-16,2.260020916009241e-10,,,,,1,False,True,False
2f49c86e3eb06a461f57,development,single_interface,307,95fde4aa13a62edb1724d6eb9750c9daba2b6248a873cb3dc98fc360ebe863bb,0.6289006331657865,12,12,1,2.20585063444262e-16,tail_safe,Solved,0.27538212798690387,0.2753821279365909,5.031297600766038e-11,5.031297600766038e-11,5.84710743958345e-13,1.0173627279536521e-12,9,0.000569875,2.220446049250313e-16,2.2234600432061634e-11,-1.2366843660238658e-14,-1.9664225170176597e-14,0,2,3,True,True,False
a0219b1a232a46da5695,development,two_interface,307,95fde4aa13a62edb1724d6eb9750c9daba2b6248a873cb3dc98fc360ebe863bb,0.24270161528563292,12,12,1,1.5981114178415919e-12,unconstrained,Solved,0.30897768080925647,0.3089776808082062,1.050270981295398e-12,1.050270981295398e-12,7.724176477516344e-15,8.412883680602545e-15,9,4.125e-05,1.1102230246251565e-16,1.0000992396540109e-11,,,,,2,True,True,False
a0219b1a232a46da5695,development,two_interface,307,95fde4aa13a62edb1724d6eb9750c9daba2b6248a873cb3dc98fc360ebe863bb,0.24270161528563292,12,12,1,1.5981114178415919e-12,tail_safe,Solved,0.30979064455347316,0.3097906445188404,3.463274111936698e-11,3.463274111936698e-11,3.2315165757713744e-11,1.65871051667452e-13,16,0.000913295,1.5929479957321746e-12,1.2781915811265154e-11,1.4982354983386625e-11,6.17315833096292e-11,0,108,1,False,True,False
1b6f07d0df0e52b58abb,ood,smooth_no_interface,101,e1307b5115515e752d7bc1e7a23cb56e80847f1430d60feb2c654829cec2ea26,0.538444059809292,12,12,1,2.258803441768679e-16,unconstrained,Solved,0.2705702573815849,0.27057025737427526,7.3096528829808e-12,7.3096528829808e-12,4.1841201500064594e-16,3.769136527314904e-14,10,4.2834e-05,4.440892098500626e-16,3.136418460895692e-09,,,,,4,True,True,False
1b6f07d0df0e52b58abb,ood,smooth_no_interface,101,e1307b5115515e752d7bc1e7a23cb56e80847f1430d60feb2c654829cec2ea26,0.538444059809292,12,12,1,2.258803441768679e-16,tail_safe,Solved,0.2706371485891913,0.27063714854261467,4.657663144058688e-11,4.657663144058688e-11,6.460209285792654e-13,2.656089047820686e-12,11,0.000659209,2.220446049250313e-16,1.782816759465156e-09,-4.37341482473208e-12,-8.122319756449857e-12,0,3,6,True,True,False
0f995fa303b15aa0a03b,ood,single_interface,101,e1307b5115515e752d7bc1e7a23cb56e80847f1430d60feb2c654829cec2ea26,0.42676696416369714,12,12,1,6.588217761277849e-14,unconstrained,Solved,0.26980661407690526,0.2698066140288474,4.805783548889053e-11,4.805783548889053e-11,6.357105383118711e-14,8.092565439979733e-14,9,3.2959e-05,2.220446049250313e-16,2.2777647125015814e-09,,,,,2,True,True,False
0f995fa303b15aa0a03b,ood,single_interface,101,e1307b5115515e752d7bc1e7a23cb56e80847f1430d60feb2c654829cec2ea26,0.42676696416369714,12,12,1,6.588217761277849e-14,tail_safe,Solved,0.2877892944207675,0.28778929433652123,8.424627662151352e-11,8.424627662151352e-11,1.4773987302082688e-12,2.418752605523519e-13,18,0.001055665,6.505906924303417e-14,1.6148557363063618e-12,2.3340374771807504e-12,5.4691146999969564e-12,0,3,5,True,True,False
c598c609055fd1cb12e3,ood,two_interface,101,e1307b5115515e752d7bc1e7a23cb56e80847f1430d60feb2c654829cec2ea26,0.44239688243083325,12,12,1,8.63222346549324e-15,unconstrained,Solved,0.29463134654248535,0.2946313465340563,8.429035247559113e-12,8.429035247559113e-12,7.446991516133536e-14,9.980130025371489e-14,9,3.4916e-05,1.1102230246251565e-16,1.2278813347639464e-10,,,,,4,True,True,False
c598c609055fd1cb12e3,ood,two_interface,101,e1307b5115515e752d7bc1e7a23cb56e80847f1430d60feb2c654829cec2ea26,0.44239688243083325,12,12,1,8.63222346549324e-15,tail_safe,Solved,0.2958762996053177,0.295876299598694,6.6237015872161464e-12,6.6237015872161464e-12,1.527540418867116e-12,1.2401106876457265e-13,16,0.001044708,8.659739592076221e-15,3.921723487569865e-11,3.2057082682834803e-12,7.2462270770741205e-12,0,3,6,True,True,False
706d1a070ba7cd1a80d5,ood,smooth_no_interface,211,fae74231ed92c5a1c4e37810a6615791a8ec98be3225a84d6edc15ee1d5590d0,0.4304495482092712,12,12,1,5.211989255381058e-16,unconstrained,Solved,0.28254999803726155,0.2825499979647551,7.250644529221972e-11,7.250644529221972e-11,4.754646113048927e-15,1.0628505499132995e-13,10,3.6373e-05,6.8833827526759706e-15,1.6267984965429253e-08,,,,,2,True,True,False
