family,phantom_seed,noise_fraction,model_name,model_seed,parameter_count,best_step,training_seconds,field_relative_l2,field_rmse,field_nrmse_dynamic_range,field_mean_bias,h1_seminorm_relative_error,train_clean_relative_l2,development_clean_relative_l2,test_clean_relative_l2,development_noisy_whitened_relative_l2,test_noisy_whitened_relative_l2,gcs_point_gradient_relative_l2,gcs_projected_uv_relative_l2
oblique_compression_sheet,2203,0.08,fourier_high,211,4033,240,1.0138566249515861,0.19957808486836207,0.009800685431707475,0.023349871510209626,0.00037535806654042135,0.29877069673534173,0.0877396451698375,0.10959679838715568,0.06331319592270944,0.20262655434781834,0.10518215648755838,1.2508968114852905,0.801621675491333
shock_expansion_pair,2204,0.02,cgls,,4096,12,0.0,0.5019483188086881,0.04648842897076492,0.08111696725924436,-0.018659837257872815,1.126013768686105,0.06925771350480035,0.2885064279059895,0.3016223607013261,0.30056994226879974,0.3024338602136726,,
shock_expansion_pair,2204,0.02,fourier_low,101,3457,220,0.9418247499270365,0.15632697661847014,0.014478374120248945,0.025263099344955135,0.0017206346785004502,0.1992758127947917,0.042658869106400966,0.10254036464077361,0.06468790240134134,0.08358973113855062,0.06681517058594506,0.443792462348938,0.1609649509191513
shock_expansion_pair,2204,0.02,fourier_low,211,3457,240,0.9746859580045566,0.14848479059394962,0.013752062477564872,0.023995768978152195,0.0013392139540933672,0.19760035890824276,0.04582542318719971,0.12089933386605202,0.06046610390673227,0.09717370255855784,0.06461490019257918,0.48876723647117615,0.16110676527023315
shock_expansion_pair,2204,0.02,fourier_high,101,4033,180,1.02147029095795,0.199899930074506,0.01851392534312179,0.03230467256362942,0.0041069911690973255,0.2618430909620511,0.02716511265270751,0.11999517868395078,0.03823912093921339,0.10078301021671653,0.041931964784593274,1.1140025854110718,0.41363289952278137
shock_expansion_pair,2204,0.02,fourier_high,211,4033,240,1.0268705000635237,0.17307438517199267,0.01602945155952124,0.027969551265219564,0.0031458575765023764,0.2387118499928134,0.022635128498721742,0.13377743713296192,0.0395901534393252,0.10859596336639489,0.04252021266642955,1.2464220523834229,0.6053510308265686
shock_expansion_pair,2204,0.08,cgls,,4096,12,0.0,0.5118939189043541,0.047409550341818305,0.08272421821935996,-0.018718703557512067,1.1729278977856428,0.09564311196692311,0.2933669331159495,0.3054851800354251,0.31296350952359764,0.3170134217433296,,
shock_expansion_pair,2204,0.08,fourier_low,101,3457,240,0.9446331249782816,0.1537713469575278,0.014241682007701838,0.024850098803334785,0.001375222384041698,0.186544867360137,0.05611958396331019,0.06837479318204266,0.06883876196841289,0.10769292582816103,0.10795501127824046,0.48790931701660156,0.14233772456645966
shock_expansion_pair,2204,0.08,fourier_low,211,3457,180,0.9514374589780346,0.15668617213462135,0.014511641360348175,0.025321146856683952,0.0016330282269397581,0.18912518807648843,0.05620913756086904,0.10884808439777971,0.07700230811073186,0.12555520597504521,0.10765799925196293,0.5072108507156372,0.1688867062330246
shock_expansion_pair,2204,0.08,fourier_high,101,4033,140,1.0279334998922423,0.1854730321652692,0.017177764241289997,0.02997322495935513,0.0039016239416134486,0.2632501041165739,0.050491585263283414,0.11267992859639478,0.05716464206317147,0.13409656851184884,0.09515946169766953,1.2942898273468018,0.4986627697944641
shock_expansion_pair,2204,0.08,fourier_high,211,4033,240,1.0209896250162274,0.18099072899442842,0.016762631398375773,0.029248865845217572,0.0025455686625361087,0.2500921956106901,0.05197772532927785,0.12843074599465354,0.05643385056241669,0.1385400515654529,0.09536366150391391,1.389968991279602,0.7716208100318909
