family,phantom_seed,noise_fraction,model_name,model_seed,parameter_count,best_step,training_seconds,field_relative_l2,field_rmse,field_nrmse_dynamic_range,field_mean_bias,h1_seminorm_relative_error,train_clean_relative_l2,development_clean_relative_l2,test_clean_relative_l2,development_noisy_whitened_relative_l2,test_noisy_whitened_relative_l2,gcs_point_gradient_relative_l2,gcs_projected_uv_relative_l2
smooth_plume,2201,0.02,cgls,,4096,12,0.0,0.3986470807987413,0.043907687281569345,0.04512393883521662,0.018458542534775562,0.8771691329856913,0.02488439116498717,0.16103622655817043,0.21354589789443293,0.16174309706401283,0.2132848616101637,,
smooth_plume,2201,0.02,fourier_low,101,3457,220,1.1710670839529485,0.06888311125235969,0.007586906448155054,0.007797065245537636,-0.0002467453590608462,0.0554585657005529,0.024083854313409217,0.02182711440657785,0.031585888066505786,0.030145855470514207,0.03709986637625302,0.14317567646503448,0.135916069149971
smooth_plume,2201,0.02,fourier_low,211,3457,220,0.9301746670389548,0.05971285909451849,0.006576878823638461,0.0067590596576255395,0.00011768078995312277,0.05781908184623826,0.03295415913836273,0.034651456685428184,0.03836635248746778,0.04109907602329065,0.04248373022786803,0.10870654135942459,0.1036640927195549
smooth_plume,2201,0.02,fourier_high,101,4033,220,1.0141079999739304,0.12004415670178632,0.013221873547602268,0.01358812203938173,0.0009672609788824835,0.149853796685931,0.027384348979639952,0.045636882260070726,0.05247480483969875,0.047496233211493724,0.054765264610066006,0.9753133654594421,0.7111238241195679
smooth_plume,2201,0.02,fourier_high,211,4033,240,1.0218218329828233,0.09909157969420704,0.010914120040042415,0.01121644330681503,0.0023922244802831276,0.12542883762205528,0.01844825991105116,0.03529186019007512,0.036619890065171176,0.040486764374239335,0.04074744495426516,0.7231559157371521,0.4185941815376282
smooth_plume,2201,0.08,cgls,,4096,12,0.0,0.41974244876620115,0.04623116803539552,0.04751178046185736,0.01806748446315469,0.9619628622706533,0.07841429060428734,0.165341605673405,0.21596464479811137,0.18152831192095306,0.22797147463027684,,
smooth_plume,2201,0.08,fourier_low,101,3457,220,0.9386706670047715,0.08981231494760153,0.009892085578180797,0.010166098289807366,-0.0005460821554779492,0.08754835408357241,0.036364031641202915,0.03894436253861297,0.036987436032392046,0.088360694165899,0.09013311374325357,0.1443844735622406,0.14236555993556976
smooth_plume,2201,0.08,fourier_low,211,3457,200,0.988575708004646,0.0658943999552897,0.00725772455437645,0.007458764948706434,0.00014199043173311298,0.07115606041737649,0.0397248220438524,0.04026262145646707,0.04069067146111144,0.08848579015290894,0.08984671535566514,0.12046359479427338,0.10380588471889496
smooth_plume,2201,0.08,fourier_high,101,4033,180,1.0607496249722317,0.1576090491855963,0.017359336560350637,0.017840193589472163,-0.00023127196975767126,0.19750175745391726,0.05069632751323525,0.06509271485289252,0.06527164495766034,0.09368845167716934,0.10113591909013926,1.207247257232666,0.7386674880981445
smooth_plume,2201,0.08,fourier_high,211,4033,160,1.024875291972421,0.12000034883646744,0.0132170484726336,0.013583163308889612,0.0019935219082326335,0.16136953948302557,0.0515704040421152,0.055066706829138924,0.05846715396185803,0.09367957139855808,0.096386948635831,1.037762999534607,0.6280720829963684
wrinkled_density_interface,2202,0.02,cgls,,4096,12,0.0,0.5175620250733883,0.07146329270758436,0.061781157586057685,0.00019721632753215434,1.0189107461529046,0.20430417717153196,0.3550146738330471,0.2964901914116292,0.45324133218679163,0.2977179781737428,,
wrinkled_density_interface,2202,0.02,fourier_low,101,3457,120,0.9234142500208691,0.13102364867704336,0.01809132220567295,0.015640236907390696,-0.0019588465618790157,0.19437536406442285,0.08150617717302716,0.0945443400566212,0.09525537981938698,0.09856522756013668,0.10487446981757434,0.24443112313747406,0.14968758821487427
wrinkled_density_interface,2202,0.02,fourier_low,211,3457,80,0.9326426669722423,0.1544272705771589,0.021322818724430162,0.01843391724452618,-1.6753420428242127e-05,0.19835485474284778,0.101146115883971,0.12005696820916978,0.1283708219664701,0.1834174074990047,0.1360219884651185,0.3068810701370239,0.13820821046829224
wrinkled_density_interface,2202,0.02,fourier_high,101,4033,240,1.0410468330373988,0.21570112963515872,0.029783315269871664,0.02574815159514608,-0.003395169472223806,0.24551404092268234,0.0528655042577397,0.1098761314095259,0.09629269659339836,0.16836171601605637,0.09797505338012241,1.2934764623641968,0.5081884264945984
wrinkled_density_interface,2202,0.02,fourier_high,211,4033,240,1.025879916967824,0.1710758187543944,0.02362159648227937,0.020421247320319535,-0.0020551174716502835,0.22573501428449544,0.04610687761170886,0.10278085054562931,0.0835686418019453,0.17371753567823636,0.0852167489223529,1.137352466583252,0.5932742357254028
wrinkled_density_interface,2202,0.08,cgls,,4096,12,0.0,0.5238671055199186,0.07233387785036288,0.06253379234245161,0.0002764196378886447,1.0404036048354215,0.21318517240109422,0.3561559281913189,0.29114295311949057,0.47418375125352774,0.2977031120194922,,
wrinkled_density_interface,2202,0.08,fourier_low,101,3457,100,0.9251922080293298,0.1333967816314365,0.018418996738845596,0.015923516773233327,-0.0014745360498779753,0.20524124400331437,0.09185115164103458,0.09917392290006856,0.10490688898301932,0.12760434654186997,0.13990956154097595,0.23757831752300262,0.15046684443950653
wrinkled_density_interface,2202,0.08,fourier_low,211,3457,120,0.9274343329016119,0.12911384096698472,0.017827622125707134,0.01541226397781289,-0.00031980232920654505,0.17579265467206784,0.07778344574052747,0.10532904123847188,0.10866242353073625,0.21649941444363954,0.14140337504397807,0.263836145401001,0.1485513299703598
wrinkled_density_interface,2202,0.08,fourier_high,101,4033,240,1.0273456670111045,0.2125377210310334,0.029346522027557873,0.025370536862973945,-0.0040366003907965214,0.24837874718156477,0.06581251689241863,0.11671954577283906,0.10488598882518194,0.1864733058830288,0.13886234967060052,1.341544270515442,0.5721927881240845
wrinkled_density_interface,2202,0.08,fourier_high,211,4033,200,1.0545964579796419,0.1898575934065304,0.02621492326150581,0.022663219728099846,-0.00187330281198124,0.24373857795983087,0.06238423875905149,0.10831994280548353,0.09540337756475845,0.2189064479232811,0.1297918569902482,1.1428178548812866,0.6381162405014038
oblique_compression_sheet,2203,0.02,cgls,,4096,12,0.0,0.5818136238596917,0.028571134506534913,0.06806996554242828,-0.0004467345209963165,1.0217674055970345,0.3625338194057026,0.45383101589626884,0.34722162976555876,0.5180079060861518,0.3489078014024927,,
oblique_compression_sheet,2203,0.02,fourier_low,101,3457,220,0.9510561249917373,0.13426574672334496,0.006593390996595407,0.015708578105057467,-0.0002661359384074188,0.22662269121299788,0.0957251708201457,0.10007473171945087,0.14827981451982916,0.09922595994000898,0.14978857547391958,0.28979456424713135,0.1419561803340912
oblique_compression_sheet,2203,0.02,fourier_low,211,3457,220,0.9347657919861376,0.13164542742493882,0.006464714918802349,0.015402010783430639,0.00017912817787642558,0.20590775713604148,0.09842539348100882,0.09693210832334792,0.0757114479708671,0.12203880295733383,0.08092105583774845,0.3290332555770874,0.12971334159374237
oblique_compression_sheet,2203,0.02,fourier_high,101,4033,180,1.0553022499661893,0.20894690486420375,0.010260760282641628,0.024445987565484315,-0.0009695482794875973,0.26633021404934165,0.10152089342023651,0.11155733175103918,0.0740719467546338,0.14559782891590428,0.07623456893942027,1.2726441621780396,0.6170973777770996
oblique_compression_sheet,2203,0.02,fourier_high,211,4033,200,1.017581667052582,0.1969345801658636,0.009670870787762397,0.02304059158510819,0.00010759087043192886,0.287581352303855,0.083730699281108,0.10678151759752948,0.06266225777017277,0.17832604790109186,0.06687710319497202,1.256849765777588,0.7566917538642883
oblique_compression_sheet,2203,0.08,cgls,,4096,12,0.0,0.5851461142820663,0.02873478318747809,0.06845985415781798,-0.0003965360188057485,1.0268502807308022,0.3699734762151852,0.45540253503428735,0.3480015132856359,0.5335057206957412,0.3519161595573933,,
oblique_compression_sheet,2203,0.08,fourier_low,101,3457,220,0.9537511250237003,0.12907642289648147,0.006338558756553125,0.015101447093343165,-1.0353752670122233e-05,0.2365340395639799,0.10199821676929872,0.10123955445214929,0.14098008979898805,0.13253727336650706,0.15477499512526574,0.27777302265167236,0.14036168158054352
oblique_compression_sheet,2203,0.08,fourier_low,211,3457,180,0.9439737080829218,0.12594254709185726,0.0061846634480405725,0.014734795627501136,0.00014043831110437417,0.21565430609235858,0.11265687116049991,0.1004948440843443,0.07370607648909293,0.1630804402576698,0.10981335925801762,0.3154817819595337,0.1309737265110016
oblique_compression_sheet,2203,0.08,fourier_high,101,4033,160,1.0068729169433936,0.22921763531123932,0.011256195491439065,0.02681758538730211,-0.0014764703715876679,0.29028066098986754,0.11652444568967825,0.12073299229943393,0.08125109793222551,0.18183966115184802,0.11518146010088352,1.3727434873580933,0.6680319309234619
