family,noise_fraction,low_field_relative_l2,high_field_relative_l2,field_delta_high_minus_low,low_test_clean_relative_l2,high_test_clean_relative_l2,test_delta_high_minus_low,low_gcs_projected_uv_relative_l2,high_gcs_projected_uv_relative_l2,gcs_gap_high_minus_low,field_harm,field_help,test_harm,test_help,field_test_sign_concordant
oblique_compression_sheet,0.02,0.1329555870741419,0.2029407425150337,0.06998515544089179,0.11199563124534813,0.06836710226240328,-0.04362852898294485,0.13583476096391678,0.686894565820694,0.5510598048567772,True,False,False,False,False
oblique_compression_sheet,0.08,0.12750948499416936,0.2143978600898007,0.08688837509563133,0.10734308314404048,0.07228214692746748,-0.035060936216572997,0.13566770404577255,0.7348268032073975,0.5991590991616249,True,False,False,False,False
shock_expansion_pair,0.02,0.15240588360620988,0.18648715762324933,0.03408127401703945,0.0625770031540368,0.0389146371892693,-0.023662365964767507,0.16103585809469223,0.509491965174675,0.34845610707998276,False,False,False,False,False
shock_expansion_pair,0.08,0.15522875954607457,0.1832318805798488,0.028003121033774225,0.07292053503957238,0.05679924631279408,-0.0161212887267783,0.15561221539974213,0.6351417899131775,0.47952957451343536,False,False,False,False,False
smooth_plume,0.02,0.06429798517343908,0.10956786819799669,0.0452698830245576,0.03497612027698678,0.044547347452434966,0.009571227175448185,0.11979008093476295,0.564859002828598,0.44506892189383507,False,False,False,False,True
smooth_plume,0.08,0.07785335745144562,0.13880469901103187,0.06095134155958626,0.03883905374675174,0.06186939945975919,0.023030345713007445,0.12308572232723236,0.6833697855472565,0.5602840632200241,True,False,False,False,True
wrinkled_density_interface,0.02,0.14272545962710115,0.19338847419477656,0.05066301456767541,0.11181310089292854,0.08993066919767183,-0.021882431695256707,0.14394789934158325,0.5507313311100006,0.40678343176841736,True,False,False,False,False
wrinkled_density_interface,0.08,0.13125531129921061,0.2011976572187819,0.0699423459195713,0.10678465625687779,0.10014468319497019,-0.0066399730619075975,0.14950908720493317,0.6051545143127441,0.455645427107811,True,False,False,False,False
