family,seed,qmc32_vs_qmc64_relative_l2,field_relative_l2,field_rmse,field_nrmse_dynamic_range,field_mean_bias,h1_seminorm_relative_error,surface_assd,surface_hd95,surface_f1_at_1_voxel,surface_f1_at_2_voxels,normal_angle_median_degrees,normal_angle_p95_degrees,front_metric_status,support_reprojection_relative_l2
smooth_plume,1103,0.0007090485260158625,0.7442100244201851,0.06026261405961148,0.08274552600744707,0.019788446112043938,1.4113411894692718,,,,,,,NOT_APPLICABLE_REQUIRES_EXACTLY_ONE_DECLARED_INTERFACE,0.06288260205922347
wrinkled_density_interface,1201,0.0010796540561060562,0.6918421094428303,0.08693818173375857,0.08419532372810533,-0.017963483702813275,1.43500157231162,0.019432192656298822,0.0762102355330306,0.5435439343779062,0.6706114398422091,46.76870770977881,126.1170045769384,AVAILABLE_SYNTHETIC_SINGLE_INTERFACE_ONLY,0.06970045917236828
oblique_compression_sheet,1301,0.001185223469178821,0.6701274880343362,0.02846865402573838,0.08111426884059983,-0.006673300319142575,1.316745334568186,0.021350721352976925,0.08425358548255776,0.5271572396119348,0.6512588174571313,54.978367826316266,132.78383146462738,AVAILABLE_SYNTHETIC_SINGLE_INTERFACE_ONLY,0.06658377691236332
shock_expansion_pair,1409,0.00046657912438991905,0.7285063504289224,0.05267053947094094,0.10856161579707378,-0.022097595489357948,1.552846079175474,,,,,,,NOT_APPLICABLE_REQUIRES_EXACTLY_ONE_DECLARED_INTERFACE,0.062027720529299946
