split,view_count,sample_count,support_rank,support_nullity,support_nullity_fraction,mean_base_field_rel_l2,mean_oracle_null_field_rel_l2,mean_field_improvement_pct,median_field_improvement_pct,p10_field_improvement_pct,field_improved_fraction,mean_error_energy_in_nullspace,mean_query_reprojection_improvement_pct,query_reprojection_improved_fraction,max_support_projection_change
test_family_ood,5,10,79,177,0.69140625,0.8196309734403011,0.4675478685763464,42.89519800493751,42.919936899628425,40.24173829918656,1.0,0.6735311003730008,69.4012925001703,1.0,5.040332201453487e-16
test_family_ood,7,10,111,145,0.56640625,0.7701199406265687,0.47249931504398324,38.58140742475431,38.635911204662406,36.27299383814927,1.0,0.6223805618082799,67.56076527794261,1.0,4.908076864751622e-16
test_iid,5,10,79,177,0.69140625,0.48366492729342153,0.31306193536272603,33.066893261039034,29.808897571935738,22.56437581804674,1.0,0.5439156807634069,36.722348857034646,1.0,4.2809850077977936e-16
test_iid,7,10,111,145,0.56640625,0.43087306455767155,0.33765407489370214,21.723712885576738,22.085970309681375,15.955155915585753,1.0,0.3854636920139983,25.866845505557325,1.0,2.2689679330855983e-16
test_joint_ood,3,16,47,209,0.81640625,0.7788457828530171,0.4943332316630465,36.73338196190683,37.30359872827574,27.426278736573273,1.0,0.595976629709267,53.113140599529345,1.0,4.2192903891974814e-16
test_noise_ood,5,8,79,177,0.69140625,0.5058802031261325,0.32201376283749883,34.970761838874715,35.441406600135615,28.598271849172082,1.0,0.5738958175545448,41.38914311897304,1.0,3.210266517249464e-16
test_noise_ood,7,8,111,145,0.56640625,0.4519177172907669,0.34251495383002817,23.271872354122436,20.285267370388894,16.56714800863075,1.0,0.40620484903785203,30.698061867349203,1.0,2.9396001217040227e-16
test_view_ood,3,16,47,209,0.81640625,0.7704797445175964,0.48229964704867195,37.288231054179185,36.25216339264787,27.907825760274843,1.0,0.5984323570151582,53.713793782438515,1.0,5.387797155801838e-16
