partition,base_seed,family,case_id,geometry_digest,candidate_id,measurement_residual_ratio_to_component_damping,measurement_residual_gain_over_component_damping,adjoint_residual_ratio_to_component_damping,adjoint_residual_gain_over_component_damping,fresh_exact_mismatch_access,evaluator_only,evaluator_forward_calls,evaluator_adjoint_calls
development,2113,single_interface,a19120623d9d018341fe,ec64a4d4fb310d8d58a2748557517a78052d01dfa8f37cb26753c6c3fa6fe83a,high_order_teacher_b0p75,0.8169677299486013,0.18303227005139866,0.7591649483742706,0.24083505162572938,True,True,0,2
development,2129,smooth_no_interface,2fbb12616f11afd7c91c,36bb2dcd6e5ff7a557ec387d9309886e32773f9207abe2c4e7d3cbdf6196b6f2,residual_contrast_global_k6_total_measurement_oracle,0.7068005226378288,0.2931994773621712,0.6913842150480134,0.3086157849519866,True,True,0,2
development,2129,smooth_no_interface,2fbb12616f11afd7c91c,36bb2dcd6e5ff7a557ec387d9309886e32773f9207abe2c4e7d3cbdf6196b6f2,residual_contrast_global_k6_total_adjoint_oracle,0.7487625992581891,0.2512374007418109,0.6787165749417501,0.3212834250582499,True,True,0,2
development,2129,smooth_no_interface,2fbb12616f11afd7c91c,36bb2dcd6e5ff7a557ec387d9309886e32773f9207abe2c4e7d3cbdf6196b6f2,damping_contrast_global_k6_total_measurement_oracle,0.638542662886995,0.361457337113005,0.6141048893449734,0.3858951106550266,True,True,0,2
development,2129,smooth_no_interface,2fbb12616f11afd7c91c,36bb2dcd6e5ff7a557ec387d9309886e32773f9207abe2c4e7d3cbdf6196b6f2,damping_contrast_global_k6_total_adjoint_oracle,0.6818294689891085,0.31817053101089154,0.6004562308057578,0.39954376919424217,True,True,0,2
development,2129,smooth_no_interface,2fbb12616f11afd7c91c,36bb2dcd6e5ff7a557ec387d9309886e32773f9207abe2c4e7d3cbdf6196b6f2,exact_mismatch_oracle,0.0,1.0,0.0,1.0,True,True,0,2
development,2129,smooth_no_interface,2fbb12616f11afd7c91c,36bb2dcd6e5ff7a557ec387d9309886e32773f9207abe2c4e7d3cbdf6196b6f2,high_order_teacher_b0p75,0.8732639975663089,0.1267360024336911,0.9277098570434359,0.07229014295656411,True,True,0,2
development,2129,single_interface,244e6ac3deb3e11e693a,36bb2dcd6e5ff7a557ec387d9309886e32773f9207abe2c4e7d3cbdf6196b6f2,residual_contrast_global_k6_total_measurement_oracle,0.8485099790164676,0.15149002098353237,0.8558590893372899,0.14414091066271006,True,True,0,2
development,2129,single_interface,244e6ac3deb3e11e693a,36bb2dcd6e5ff7a557ec387d9309886e32773f9207abe2c4e7d3cbdf6196b6f2,residual_contrast_global_k6_total_adjoint_oracle,0.8575925529939126,0.14240744700608743,0.850874437364996,0.14912556263500398,True,True,0,2
development,2129,single_interface,244e6ac3deb3e11e693a,36bb2dcd6e5ff7a557ec387d9309886e32773f9207abe2c4e7d3cbdf6196b6f2,damping_contrast_global_k6_total_measurement_oracle,0.8034140034416686,0.19658599655833142,0.7349575137091596,0.2650424862908404,True,True,0,2
