partition,base_seed,family,case_id,geometry_digest,candidate_id,field_relative_l2,h1_seminorm_relative_l2,field_mean_bias,data_residual_relative_l2,fallback,fallback_reason,takeover,evaluator_only,basis_rank,warm_forward_calls,warm_adjoint_calls,warm_projection_forward_calls,setup_forward_calls,setup_adjoint_calls,refine_forward_calls,refine_adjoint_calls,low_forward_calls,low_adjoint_calls,high_order_forward_calls,high_order_adjoint_calls,shared_warm_seconds,deployment_setup_seconds,candidate_refine_seconds,end_to_end_seconds,coefficient_norm,coefficient_radius,coefficient_clipped,projection_target_residual_ratio,radius_applies_to_entire_correction,high_order_teacher_setup_seconds
development,2101,smooth_no_interface,4c9d66cf34fdb094dadd,d7d9a77030834a1d7c68fd7cb90ccb77b27a0a5150e300a36906409316802f1c,low_cgls24_matched,0.5939943876165704,1.1556903277565407,0.020439217033215093,0.0003011258487458176,False,,True,False,,0,0,0,0,0,25,24,25,24,0,0,0.0,0.0,0.009069041989278048,0.009069041989278048,,,,,,
development,2101,smooth_no_interface,4c9d66cf34fdb094dadd,d7d9a77030834a1d7c68fd7cb90ccb77b27a0a5150e300a36906409316802f1c,component_damping,0.583789920836748,1.026123713553776,0.022149966913796688,0.0009736429662346097,False,,True,False,,12,12,1,0,0,12,12,25,24,0,0,0.004599790961947292,0.0,0.004239458008669317,0.008839248970616609,,,,,,
development,2101,smooth_no_interface,4c9d66cf34fdb094dadd,d7d9a77030834a1d7c68fd7cb90ccb77b27a0a5150e300a36906409316802f1c,residual_contrast_global_k6_total_measurement_oracle,0.5814818288012229,1.0670463274757567,0.021349757490785694,0.001073583079410281,False,,True,True,6,12,12,1,2,2,10,10,25,24,0,0,0.004599790961947292,0.0010473330039530993,0.003583708021324128,0.00923083198722452,1.9028257772285484,1.914639124467362,False,0.3997512633365072,True,
development,2101,smooth_no_interface,4c9d66cf34fdb094dadd,d7d9a77030834a1d7c68fd7cb90ccb77b27a0a5150e300a36906409316802f1c,residual_contrast_global_k6_total_adjoint_oracle,0.5841348281128582,1.0771881863196633,0.021286894738533853,0.003385734291928881,False,,True,True,6,12,12,1,2,2,10,10,25,24,0,0,0.004599790961947292,0.0010473330039530993,0.00351020903326571,0.009157332999166101,1.914639124467362,1.914639124467362,True,0.3582260113724166,True,
development,2101,smooth_no_interface,4c9d66cf34fdb094dadd,d7d9a77030834a1d7c68fd7cb90ccb77b27a0a5150e300a36906409316802f1c,damping_contrast_global_k6_total_measurement_oracle,0.5813903140890134,1.0749693842638404,0.021086470903069972,0.0016757719022859397,False,,True,True,6,12,12,1,2,2,10,10,25,24,0,0,0.004599790961947292,0.0007929999846965075,0.004137916024774313,0.009530706971418113,1.9146391244673615,1.914639124467362,True,0.353611403799761,True,
development,2101,smooth_no_interface,4c9d66cf34fdb094dadd,d7d9a77030834a1d7c68fd7cb90ccb77b27a0a5150e300a36906409316802f1c,damping_contrast_global_k6_total_adjoint_oracle,0.5843920871551109,1.0901253949602052,0.020951199713596887,0.004743727308236824,False,,True,True,6,12,12,1,2,2,10,10,25,24,0,0,0.004599790961947292,0.0007929999846965075,0.003131208010017872,0.008523998956661671,1.9146391244673617,1.914639124467362,True,0.30766123811400425,True,
development,2101,smooth_no_interface,4c9d66cf34fdb094dadd,d7d9a77030834a1d7c68fd7cb90ccb77b27a0a5150e300a36906409316802f1c,exact_mismatch_oracle,0.5782433626304836,1.0727851822054095,0.020967507608904406,0.0016237894977167125,False,,True,True,6,12,12,1,2,2,10,10,25,24,0,0,0.004599790961947292,0.0010473330039530993,0.0037348750047385693,0.00938199897063896,,,,,,
development,2101,smooth_no_interface,4c9d66cf34fdb094dadd,d7d9a77030834a1d7c68fd7cb90ccb77b27a0a5150e300a36906409316802f1c,high_order_teacher_b0p75,0.5819149476528467,1.0409820877563638,0.02184307230183445,0.0025531623452740198,False,,True,True,6,12,12,1,2,2,10,10,25,24,1,0,0.004599790961947292,0.0010473330039530993,0.003833834023680538,0.00948095798958093,,,,,,0.00018550001550465822
development,2101,single_interface,6640f706ad4875d3022d,d7d9a77030834a1d7c68fd7cb90ccb77b27a0a5150e300a36906409316802f1c,low_cgls24_matched,0.6796274416374537,1.135206667136724,0.01021318296082972,0.0009738302644192515,False,,True,False,,0,0,0,0,0,25,24,25,24,0,0,0.0,0.0,0.00945837504696101,0.00945837504696101,,,,,,
development,2101,single_interface,6640f706ad4875d3022d,d7d9a77030834a1d7c68fd7cb90ccb77b27a0a5150e300a36906409316802f1c,component_damping,0.6546218996139338,1.0326015355140101,0.010980344554133367,0.0018919069281722414,False,,True,False,,12,12,1,0,0,12,12,25,24,0,0,0.0038615409866906703,0.0,0.0036335840122774243,0.007495124998968095,,,,,,
