case_id,split,family,base_seed,geometry_digest,warm_checkpoint,method,candidate_paired_call_budget,paired_call_budget,optimization_forward_calls,optimization_adjoint_calls,grouped_adjoint_calls,full_path_seconds_through_maximum_budget,field_relative_l2,field_rmse,field_nrmse_dynamic_range,field_mean_bias,h1_seminorm_relative_error,measured_reprojection_relative_l2,measured_data_residual_norm,clean_reprojection_relative_l2
b06a75091983ab395677,development,smooth_no_interface,2113,ec64a4d4fb310d8d58a2748557517a78052d01dfa8f37cb26753c6c3fa6fe83a,0,zero_start_cgls_componentwise,13,13,13,13,0,0.008151458925567567,0.5906852290966624,0.05094671303223854,0.06479427884004303,0.016243325260926884,1.1345982124811982,0.005530389258724096,0.030769535626813744,0.016913394525088183
b06a75091983ab395677,development,smooth_no_interface,2113,ec64a4d4fb310d8d58a2748557517a78052d01dfa8f37cb26753c6c3fa6fe83a,0,zero_start_cgls_pair_rounded,13,13,13,13,0,0.008151458925567567,0.5906852290966624,0.05094671303223854,0.06479427884004303,0.016243325260926884,1.1345982124811982,0.005530389258724096,0.030769535626813744,0.016913394525088183
b06a75091983ab395677,development,smooth_no_interface,2113,ec64a4d4fb310d8d58a2748557517a78052d01dfa8f37cb26753c6c3fa6fe83a,1,zero_start_cgls_componentwise,15,14,14,14,0,0.008151458925567567,0.590937364689723,0.050968459774957196,0.06482193645380672,0.016241302662896934,1.13520660646744,0.004475302567786512,0.024899329026985575,0.017358642357627158
b06a75091983ab395677,development,smooth_no_interface,2113,ec64a4d4fb310d8d58a2748557517a78052d01dfa8f37cb26753c6c3fa6fe83a,1,zero_start_cgls_pair_rounded,15,15,15,15,0,0.008151458925567567,0.5910867521543708,0.05098134447211419,0.06483832327467644,0.016231640972417433,1.1357514170066323,0.0037398020783336967,0.020807210469859182,0.017445059137431194
b06a75091983ab395677,development,smooth_no_interface,2113,ec64a4d4fb310d8d58a2748557517a78052d01dfa8f37cb26753c6c3fa6fe83a,2,zero_start_cgls_componentwise,16,15,15,15,0,0.008151458925567567,0.5910867521543708,0.05098134447211419,0.06483832327467644,0.016231640972417433,1.1357514170066323,0.0037398020783336967,0.020807210469859182,0.017445059137431194
b06a75091983ab395677,development,smooth_no_interface,2113,ec64a4d4fb310d8d58a2748557517a78052d01dfa8f37cb26753c6c3fa6fe83a,2,zero_start_cgls_pair_rounded,16,16,16,16,0,0.008151458925567567,0.5912091428511781,0.05099190069292506,0.0648517487279394,0.0162228223748082,1.1362425649573762,0.003044268044838387,0.016937454070789212,0.0175566758961983
b06a75091983ab395677,development,smooth_no_interface,2113,ec64a4d4fb310d8d58a2748557517a78052d01dfa8f37cb26753c6c3fa6fe83a,3,zero_start_cgls_componentwise,17,16,16,16,0,0.008151458925567567,0.5912091428511781,0.05099190069292506,0.0648517487279394,0.0162228223748082,1.1362425649573762,0.003044268044838387,0.016937454070789212,0.0175566758961983
b06a75091983ab395677,development,smooth_no_interface,2113,ec64a4d4fb310d8d58a2748557517a78052d01dfa8f37cb26753c6c3fa6fe83a,3,zero_start_cgls_pair_rounded,17,17,17,17,0,0.008151458925567567,0.5913431527503775,0.0510034590721458,0.0648664487311701,0.01622309233920335,1.1364891783391438,0.002323687847085048,0.012928347834411361,0.017744586425447288
b06a75091983ab395677,development,smooth_no_interface,2113,ec64a4d4fb310d8d58a2748557517a78052d01dfa8f37cb26753c6c3fa6fe83a,4,zero_start_cgls_componentwise,18,17,17,17,0,0.008151458925567567,0.5913431527503775,0.0510034590721458,0.0648664487311701,0.01622309233920335,1.1364891783391438,0.002323687847085048,0.012928347834411361,0.017744586425447288
b06a75091983ab395677,development,smooth_no_interface,2113,ec64a4d4fb310d8d58a2748557517a78052d01dfa8f37cb26753c6c3fa6fe83a,4,zero_start_cgls_pair_rounded,18,18,18,18,0,0.008151458925567567,0.5914590305545027,0.05101345355472766,0.06487915976300569,0.01622648033738354,1.1366268616530244,0.0017512315390237458,0.009743361400065825,0.017884922303703202
b06a75091983ab395677,development,smooth_no_interface,2113,ec64a4d4fb310d8d58a2748557517a78052d01dfa8f37cb26753c6c3fa6fe83a,5,zero_start_cgls_componentwise,19,18,18,18,0,0.008151458925567567,0.5914590305545027,0.05101345355472766,0.06487915976300569,0.01622648033738354,1.1366268616530244,0.0017512315390237458,0.009743361400065825,0.017884922303703202
b06a75091983ab395677,development,smooth_no_interface,2113,ec64a4d4fb310d8d58a2748557517a78052d01dfa8f37cb26753c6c3fa6fe83a,5,zero_start_cgls_pair_rounded,19,19,19,19,0,0.008151458925567567,0.591519758307948,0.051018691334979265,0.06488582119755026,0.016227435853518477,1.1367332251749949,0.0014031434284885427,0.00780669672470187,0.017855844664295437
