case_id,split,family,base_seed,geometry_digest,method,model_seed,warm_checkpoint,control,paired_call_budget,optimization_forward_calls,optimization_adjoint_calls,grouped_adjoint_calls,neural_inference_seconds,full_cgne_path_seconds_through_k10,cgne_breakdown,system_residual_norm_from_recurrence,recurrence_residual_closure_relative_error,field_relative_l2,field_rmse,field_nrmse_dynamic_range,field_mean_bias,h1_seminorm_relative_error,measured_reprojection_relative_l2,measured_data_residual_norm,clean_reprojection_relative_l2,warm_cgls_field_gain_over_same_call_cgne,warm_cgls_h1_gain_over_same_call_cgne,warm_cgls_measured_reprojection_ratio_to_same_call_cgne
b06a75091983ab395677,development,smooth_no_interface,2113,ec64a4d4fb310d8d58a2748557517a78052d01dfa8f37cb26753c6c3fa6fe83a,jacru_m2,17,1,same_call_affine_cgne,15,15,14,1,0.004737167037092149,0.00429108296521008,False,0.5370333774212193,1.3704469032191244e-15,0.24535868475533354,0.021162233092088825,0.026914231561496693,0.00014273522036699823,0.48014950143052676,0.0965241613681833,0.5370333774212194,0.09683349818384349,0.03250807819955415,0.0314928974600831,0.920745719870069
b06a75091983ab395677,development,smooth_no_interface,2113,ec64a4d4fb310d8d58a2748557517a78052d01dfa8f37cb26753c6c3fa6fe83a,jacru_m2,17,2,same_call_affine_cgne,16,16,15,1,0.004737167037092149,0.00429108296521008,False,0.26626135411912466,2.7383091299397222e-15,0.24184154351139237,0.02085887899277784,0.026528424334137622,5.028548370379368e-05,0.49554958217659906,0.047856716158904994,0.2662613541191247,0.04890669489702212,0.011917762028797463,0.019753942697817384,0.8804654212801589
b06a75091983ab395677,development,smooth_no_interface,2113,ec64a4d4fb310d8d58a2748557517a78052d01dfa8f37cb26753c6c3fa6fe83a,jacru_m2,17,3,same_call_affine_cgne,17,17,16,1,0.004737167037092149,0.00429108296521008,False,0.19385407300091922,3.4217847163859214e-15,0.24257577818101356,0.020922206872279275,0.026608965041055616,8.009538484046435e-06,0.49229189272476154,0.03484253048492359,0.19385407300091922,0.03754101658268576,0.010447431137934782,0.009335238237712207,0.7706529271102608
b06a75091983ab395677,development,smooth_no_interface,2113,ec64a4d4fb310d8d58a2748557517a78052d01dfa8f37cb26753c6c3fa6fe83a,jacru_m2,17,4,same_call_affine_cgne,18,18,17,1,0.004737167037092149,0.00429108296521008,False,0.1498086731605161,4.672722109962263e-15,0.2417472879009283,0.020850749428499866,0.026518085114523166,-2.3669395962254965e-05,0.49431734880504763,0.02692599222032589,0.14980867316051613,0.027832490575754692,0.006332651598735306,0.009719948238064657,0.7061265992172507
b06a75091983ab395677,development,smooth_no_interface,2113,ec64a4d4fb310d8d58a2748557517a78052d01dfa8f37cb26753c6c3fa6fe83a,jacru_m2,17,5,same_call_affine_cgne,19,19,18,1,0.004737167037092149,0.00429108296521008,False,0.11153006211038868,7.312692016778614e-15,0.2410107433945462,0.020787222325139746,0.026437291033727193,-3.0377395908167518e-05,0.4968202182133133,0.020045952756681102,0.1115300621103886,0.024137379557903633,0.0035329961155814438,0.00955201997639421,0.688169070069528
b06a75091983ab395677,development,smooth_no_interface,2113,ec64a4d4fb310d8d58a2748557517a78052d01dfa8f37cb26753c6c3fa6fe83a,jacru_m2,17,6,same_call_affine_cgne,20,20,19,1,0.004737167037092149,0.00429108296521008,False,0.1146364373572806,6.231003540726561e-15,0.24240728810117865,0.020907674570939602,0.026590482789127127,1.3019401627224578e-05,0.49695872068948344,0.020604279814565186,0.11463643735728068,0.025687793832543607,0.00767659334996551,0.008175334428681236,0.5563413300009875
b06a75091983ab395677,development,smooth_no_interface,2113,ec64a4d4fb310d8d58a2748557517a78052d01dfa8f37cb26753c6c3fa6fe83a,jacru_m2,17,7,same_call_affine_cgne,21,21,20,1,0.004737167037092149,0.00429108296521008,False,0.08874649716084598,7.690541696853679e-15,0.24305854091119058,0.02096384524931234,0.02666192093264022,-1.918854582049204e-05,0.4996962023023839,0.015950928886298395,0.08874649716084596,0.0234512481638453,0.00836328338858805,0.0108420385181347,0.58357838642395
b06a75091983ab395677,development,smooth_no_interface,2113,ec64a4d4fb310d8d58a2748557517a78052d01dfa8f37cb26753c6c3fa6fe83a,jacru_m2,17,8,same_call_affine_cgne,22,22,21,1,0.004737167037092149,0.00429108296521008,False,0.0715261242898276,6.6799551731888454e-15,0.24343542560893466,0.02099635162596844,0.02670326270147626,-3.916834177793258e-05,0.5005154362520976,0.012855810184730726,0.07152612428982758,0.020146153761956474,0.007601039722469394,0.009467457600626283,0.5864782990748609
b06a75091983ab395677,development,smooth_no_interface,2113,ec64a4d4fb310d8d58a2748557517a78052d01dfa8f37cb26753c6c3fa6fe83a,jacru_m2,17,9,same_call_affine_cgne,23,23,22,1,0.004737167037092149,0.00429108296521008,False,0.0625413761786827,1.2689884979604853e-14,0.24384156250557468,0.021031381010326953,0.026747813243849512,-2.9624489371552948e-05,0.5027523864758988,0.011240928665267163,0.0625413761786827,0.01908828711367145,0.007068446346001456,0.01032216427647581,0.557035545416922
b06a75091983ab395677,development,smooth_no_interface,2113,ec64a4d4fb310d8d58a2748557517a78052d01dfa8f37cb26753c6c3fa6fe83a,jacru_m2,17,10,same_call_affine_cgne,24,24,23,1,0.004737167037092149,0.00429108296521008,False,0.050743722482062804,1.449780627381724e-14,0.24418567248652262,0.021061060561443704,0.0267855598421372,-1.3199216829491736e-05,0.5030394653610919,0.009120467112864778,0.050743722482062686,0.018788446038117607,0.006298517781574087,0.008029592541516362,0.5659932077677787
