method,split,warm_checkpoint,case_model_count,paired_call_budget,field_gain_mean,h1_gain_mean,measured_reprojection_ratio_mean,clean_reprojection_ratio_mean,measured_reprojection_ratio_to_componentwise_cgls_mean,clean_reprojection_ratio_to_componentwise_cgls_mean,field_harm_rate,worst_field_gain,breakdown_rate,null_component_relative_drift_maximum,recurrence_residual_closure_relative_error_maximum,model_seed_count,per_model_seed_field_gain_means,gate_checks,passed_all_gates
jacru_m2,ood,0,54,13,0.31300012672664423,0.37838087598975734,35.10268923178107,12.419640285830386,35.10268923178107,12.419640285830386,0.0,0.024395745712511796,0.0,0.0,0.0,3,"[0.3206384075888782,0.3202082390872347,0.2981537335038197]","{""field_gain"":true,""h1_gain"":true,""measured_reprojection"":false,""clean_reprojection"":false,""harm_rate"":true,""worst_field"":true,""all_seed_means_positive"":true,""breakdown"":true,""recurrence_closure"":true,""null_drift"":true,""all_three_model_seeds_present"":true}",False
jacru_m2,ood,1,54,15,0.36582862919490583,0.3759797108944359,20.963062562481014,4.968942747651219,17.06944532064242,4.94712903916002,0.0,0.16435251755895652,0.0,2.2887075878475754e-15,2.4442898740013977e-15,3,"[0.38192632152671935,0.3548237041971547,0.3607358618608434]","{""field_gain"":true,""h1_gain"":true,""measured_reprojection"":false,""clean_reprojection"":false,""harm_rate"":true,""worst_field"":true,""all_seed_means_positive"":true,""breakdown"":true,""recurrence_closure"":true,""null_drift"":true,""all_three_model_seeds_present"":true}",False
jacru_m2,ood,2,54,16,0.38105849055999896,0.3559608002264081,15.318093259384217,3.06471178692856,12.669854699907548,3.048749939685386,0.0,0.18085989752433695,0.0,2.2094661166143773e-15,4.71436145952349e-15,3,"[0.39971725385147394,0.36613971295564074,0.3773185048728822]","{""field_gain"":true,""h1_gain"":true,""measured_reprojection"":false,""clean_reprojection"":false,""harm_rate"":true,""worst_field"":true,""all_seed_means_positive"":true,""breakdown"":true,""recurrence_closure"":true,""null_drift"":true,""all_three_model_seeds_present"":true}",False
jacru_m2,ood,3,54,17,0.3833555157790193,0.3309705533716836,12.40155992661146,2.1732390066210936,10.369339689120094,2.168876486056749,0.0,0.17923820168122684,0.0,2.6338346044301454e-15,6.2383071937337575e-15,3,"[0.4030683164076375,0.3656968623099176,0.38130136861950276]","{""field_gain"":true,""h1_gain"":true,""measured_reprojection"":false,""clean_reprojection"":false,""harm_rate"":true,""worst_field"":true,""all_seed_means_positive"":true,""breakdown"":true,""recurrence_closure"":true,""null_drift"":true,""all_three_model_seeds_present"":true}",False
jacru_m2,ood,4,54,18,0.3771536712686481,0.32446323567988733,10.748791480689706,1.64675380236623,8.768448735942135,1.6450570181957143,0.0,0.16718392095480072,0.0,2.1907318814281724e-15,9.700786298438074e-15,3,"[0.3968555932810223,0.3588094226764432,0.37579599784847884]","{""field_gain"":true,""h1_gain"":true,""measured_reprojection"":false,""clean_reprojection"":false,""harm_rate"":true,""worst_field"":true,""all_seed_means_positive"":true,""breakdown"":true,""recurrence_closure"":true,""null_drift"":true,""all_three_model_seeds_present"":true}",False
jacru_m2,ood,5,54,19,0.36868686051110866,0.32109827062834834,9.786544655744203,1.3723120043714203,8.16548950211836,1.3738669381439512,0.0,0.1509333163158234,0.0,2.458658903619495e-15,1.328633595999087e-14,3,"[0.3880842881867237,0.3503219881770534,0.3676543051695489]","{""field_gain"":true,""h1_gain"":true,""measured_reprojection"":false,""clean_reprojection"":false,""harm_rate"":true,""worst_field"":true,""all_seed_means_positive"":true,""breakdown"":true,""recurrence_closure"":true,""null_drift"":true,""all_three_model_seeds_present"":true}",False
jacru_m2,ood,6,54,20,0.3605917632164378,0.317520307475399,9.685538350396557,1.2326393351832976,7.872164195565908,1.2301115122999862,0.0,0.13589635509199416,0.0,2.6547087307012835e-15,2.0106777436015614e-14,3,"[0.3794094047995007,0.3425268043566032,0.3598390804932097]","{""field_gain"":true,""h1_gain"":true,""measured_reprojection"":false,""clean_reprojection"":false,""harm_rate"":true,""worst_field"":true,""all_seed_means_positive"":true,""breakdown"":true,""recurrence_closure"":true,""null_drift"":true,""all_three_model_seeds_present"":true}",False
jacru_m2,ood,7,54,21,0.35217360557041627,0.31249166496871095,9.241990223812245,1.1295284955885339,7.515664267459621,1.1297380120120395,0.0,0.12108496774291067,0.0,2.430423236115625e-15,2.5035166550946258e-14,3,"[0.37013931395698685,0.33467859275077333,0.35170291000348847]","{""field_gain"":true,""h1_gain"":true,""measured_reprojection"":false,""clean_reprojection"":true,""harm_rate"":true,""worst_field"":true,""all_seed_means_positive"":true,""breakdown"":true,""recurrence_closure"":true,""null_drift"":true,""all_three_model_seeds_present"":true}",False
jacru_m2,ood,8,54,22,0.3451883999625355,0.3085887568740834,9.492540696490884,1.0647909368854895,7.373163408999123,1.066384808320776,0.0,0.10687489975666364,0.0,2.6750652074487706e-15,2.7594662125393908e-14,3,"[0.36274569376014343,0.3280390840183277,0.3447804221091352]","{""field_gain"":true,""h1_gain"":true,""measured_reprojection"":false,""clean_reprojection"":true,""harm_rate"":true,""worst_field"":true,""all_seed_means_positive"":true,""breakdown"":true,""recurrence_closure"":true,""null_drift"":true,""all_three_model_seeds_present"":true}",False
jacru_m2,ood,9,54,23,0.33899430305736,0.3053883414609557,9.645705021723895,1.030634539431465,7.571313149461529,1.0312549408676164,0.0,0.09657863623497376,0.0,2.4604708525344758e-15,4.0682414475576274e-14,3,"[0.35651554746871317,0.32189045369837477,0.33857690800499207]","{""field_gain"":true,""h1_gain"":true,""measured_reprojection"":false,""clean_reprojection"":true,""harm_rate"":true,""worst_field"":true,""all_seed_means_positive"":true,""breakdown"":true,""recurrence_closure"":true,""null_drift"":true,""all_three_model_seeds_present"":true}",False
jacru_m2,ood,10,54,24,0.3334914480600029,0.3026592825727717,9.576212657862765,1.0095236326288348,7.69214949784325,1.0105688179044887,0.0,0.08830339409990695,0.0,2.5021933703076573e-15,5.057552236920401e-14,3,"[0.35103230558027626,0.31646378132276565,0.3329782572769667]","{""field_gain"":true,""h1_gain"":true,""measured_reprojection"":false,""clean_reprojection"":true,""harm_rate"":true,""worst_field"":true,""all_seed_means_positive"":true,""breakdown"":true,""recurrence_closure"":true,""null_drift"":true,""all_three_model_seeds_present"":true}",False
pooled_cnn,development,0,18,13,0.4140120341987725,0.4523340028649003,33.19082067574076,11.828402327043996,33.19082067574076,11.828402327043996,0.05555555555555555,-0.015018480550273106,0.0,0.0,0.0,3,"[0.41278964608248875,0.4052074659974368,0.4240389905163921]","{""field_gain"":true,""h1_gain"":true,""measured_reprojection"":false,""clean_reprojection"":false,""harm_rate"":false,""worst_field"":true,""all_seed_means_positive"":true,""breakdown"":true,""recurrence_closure"":true,""null_drift"":true,""all_three_model_seeds_present"":true}",False
pooled_cnn,development,1,18,15,0.4386119739828221,0.4535844265203976,20.54024698482301,5.2197618749508585,16.33527576730001,5.040968766882917,0.0,0.06517359523580901,0.0,2.649055579669671e-15,1.8297297817041797e-15,3,"[0.4301407268911405,0.4410963213795653,0.44459887367776046]","{""field_gain"":true,""h1_gain"":true,""measured_reprojection"":false,""clean_reprojection"":false,""harm_rate"":true,""worst_field"":true,""all_seed_means_positive"":true,""breakdown"":true,""recurrence_closure"":true,""null_drift"":true,""all_three_model_seeds_present"":true}",False
pooled_cnn,development,2,18,16,0.4404520666142722,0.39426658038395257,14.405988181343723,3.220626631333396,11.416855952865774,3.145463849881149,0.0,0.0759839817222685,0.0,2.2803956952910732e-15,3.4072582389586997e-15,3,"[0.4317977342086942,0.4448178117200034,0.44474065391411916]","{""field_gain"":true,""h1_gain"":true,""measured_reprojection"":false,""clean_reprojection"":false,""harm_rate"":true,""worst_field"":true,""all_seed_means_positive"":true,""breakdown"":true,""recurrence_closure"":true,""null_drift"":true,""all_three_model_seeds_present"":true}",False
pooled_cnn,development,3,18,17,0.4351753954733206,0.37746133033924195,12.556363294709683,2.317642444586162,9.572216545547429,2.300845082043232,0.0,0.07690919538380425,0.0,2.213819046715073e-15,5.956271382988706e-15,3,"[0.42782153908219184,0.43909312990710575,0.43861151743066423]","{""field_gain"":true,""h1_gain"":true,""measured_reprojection"":false,""clean_reprojection"":false,""harm_rate"":true,""worst_field"":true,""all_seed_means_positive"":true,""breakdown"":true,""recurrence_closure"":true,""null_drift"":true,""all_three_model_seeds_present"":true}",False
