method,model_seed,split,warm_checkpoint,case_count,paired_call_budget,field_relative_l2_mean,h1_seminorm_relative_error_mean,field_gain_mean,h1_gain_mean,measured_reprojection_ratio_mean,clean_reprojection_ratio_mean,measured_reprojection_ratio_to_componentwise_cgls_mean,clean_reprojection_ratio_to_componentwise_cgls_mean,field_harm_rate,worst_field_gain,breakdown_rate,null_component_relative_drift_maximum,recurrence_residual_closure_relative_error_maximum,neural_inference_seconds_mean
grid_deeponet,17,development,0,6,13,0.6510043606084799,1.179988715596782,0.006689776887815728,-0.05406994145521019,10.256672172889685,3.613189387463103,10.256672172889685,3.613189387463103,0.16666666666666666,-0.31761501871920084,0.0,0.0,0.0,0.006972770827511947
grid_deeponet,17,development,1,6,15,0.6472382616716769,1.1654467664649526,0.01479980021214422,-0.031864903956860445,9.280108763183698,2.406986916508119,7.353758169796301,2.3310339232988078,0.16666666666666666,-0.3040738986384244,0.0,7.816314752464764e-15,4.529796293239703e-15,0.006972770827511947
grid_deeponet,17,development,2,6,16,0.6436322349534199,1.1555856915403122,0.019960609129091127,-0.12156822144917843,6.852716085834533,1.7256872613439835,5.443884503589604,1.6896034902954895,0.16666666666666666,-0.2897822096065381,0.0,8.895528453355436e-15,7.139009149127659e-15,0.006972770827511947
grid_deeponet,17,development,3,6,17,0.6411443189541527,1.1484588559443645,0.018410833920601666,-0.1320523132213595,5.4763660813247474,1.3687908086989042,4.184307457469644,1.3595330095832898,0.16666666666666666,-0.2723208535611068,0.0,9.750149273438624e-15,1.60739752239875e-14,0.006972770827511947
grid_deeponet,17,development,4,6,18,0.6401438444730245,1.1458175120855068,0.014466897044926689,-0.12351769392536092,4.730679477348825,1.187559007499305,3.693778576490734,1.1796976290590622,0.16666666666666666,-0.26012641130240066,0.0,8.248075320106907e-15,2.575427087588838e-14,0.006972770827511947
grid_deeponet,17,development,5,6,19,0.6401468176314938,1.1455473948162793,0.009249692620502903,-0.13458413275243297,4.391423381038078,1.1116354898720437,3.6219017291495863,1.1044093709994593,0.16666666666666666,-0.2556398953843475,0.0,8.581924954784682e-15,3.508740569636206e-14,0.006972770827511947
grid_deeponet,17,development,6,6,20,0.6402772210915298,1.1452195962280094,0.0034569442029526907,-0.12994785960899624,4.326164238653079,1.0556624739276128,3.4101445777922645,1.051147459430065,0.16666666666666666,-0.25305701596139185,0.0,7.89562400464979e-15,3.910097966747861e-14,0.006972770827511947
grid_deeponet,17,development,7,6,21,0.6403198923242904,1.1450370721856145,-0.0020036808372163595,-0.12671084798144985,4.613604235983385,1.0271337551617543,3.3615332746617264,1.024675447356678,0.16666666666666666,-0.2516177382017142,0.0,1.0208364444327157e-14,5.54702155138325e-14,0.006972770827511947
grid_deeponet,17,development,8,6,22,0.640492801497862,1.1454742100259694,-0.007486990211416818,-0.12513071188345878,4.707060754218251,1.0184483681631866,3.6739359312573665,1.0161425419671226,0.16666666666666666,-0.25169363072966133,0.0,8.325174782083936e-15,5.467771953058663e-14,0.006972770827511947
grid_deeponet,17,development,9,6,23,0.640806202589734,1.1459838284353079,-0.013009054020837537,-0.12447116695259186,5.10357230134396,1.0109358349555055,4.119778543096765,1.0104121036983573,0.16666666666666666,-0.25371862509188814,0.0,8.480211263077008e-15,7.229192210680108e-14,0.006972770827511947
grid_deeponet,17,development,10,6,24,0.6413670326734467,1.1468942626043481,-0.018748713461235245,-0.12489333726569418,5.315306619650672,1.0074847013481387,4.2548777141520375,1.0078683680818235,0.16666666666666666,-0.2573898817385798,0.0,7.101616144251386e-15,9.011087250416198e-14,0.006972770827511947
grid_deeponet,17,ood,0,18,13,0.6365514420100569,1.227191294647592,0.02310381585481068,-0.09634075034861027,13.391701448570617,4.752483621329478,13.391701448570617,4.752483621329478,0.16666666666666666,-0.1463423791608327,0.0,0.0,0.0,0.005473326290181528
grid_deeponet,17,ood,1,18,15,0.6298398880543192,1.2041134914523839,0.028300933022105606,-0.10618118816446463,12.913084454898833,3.1114025441128077,10.536623537637709,3.0985676930382353,0.16666666666666666,-0.1418200453197218,0.0,1.2167240337444267e-14,4.521068208487448e-15,0.005473326290181528
grid_deeponet,17,ood,2,18,16,0.6240543917619514,1.188637241815587,0.03335747103595104,-0.13114518522737173,10.23859144424512,2.1986496857473132,8.426601302712534,2.1894367217143733,0.16666666666666666,-0.1341740191008296,0.0,1.3706863550124082e-14,8.84834864234328e-15,0.005473326290181528
grid_deeponet,17,ood,3,18,17,0.6211699647402802,1.1816643792097334,0.03204535033610331,-0.16223714800119757,8.159790147394082,1.659396042812885,6.80596124939195,1.657332568504485,0.16666666666666666,-0.12679549744752427,0.0,1.1746643591206571e-14,1.6652422340906966e-14,0.005473326290181528
grid_deeponet,17,ood,4,18,18,0.6203813947902703,1.1792596012775618,0.02709517812794907,-0.15981200970755488,6.961408946526616,1.331021837558182,5.622315682398703,1.32961340544318,0.2222222222222222,-0.12290181871973371,0.0,1.494582722979608e-14,2.187192492626657e-14,0.005473326290181528
grid_deeponet,17,ood,5,18,19,0.6203281559597391,1.1790078138358941,0.021268678895035007,-0.1541764031822028,6.180266597402324,1.1767486851331557,5.152216422321215,1.1782919676029486,0.2777777777777778,-0.12126363229355341,0.0,1.1520692566211394e-14,3.219944023347204e-14,0.005473326290181528
grid_deeponet,17,ood,6,18,20,0.6202739105660645,1.17748640638554,0.015766404017750233,-0.1485581535685904,5.266589972502748,1.0802880253921396,4.283640747908321,1.0784855025053384,0.2777777777777778,-0.12045098265681276,0.0,1.3258702875772083e-14,4.575651012076992e-14,0.005473326290181528
grid_deeponet,17,ood,7,18,21,0.620268800011389,1.1767459019447455,0.010470641909030754,-0.1447804164369632,5.253414785090595,1.0427586481068767,4.276041326744331,1.043060051070484,0.2777777777777778,-0.12194453648323478,0.0,1.1474201160649209e-14,5.758532205269364e-14,0.005473326290181528
grid_deeponet,17,ood,8,18,22,0.6204286928814229,1.1767292699382148,0.005128229284334663,-0.1426645385426409,5.295626144677308,1.0119985937925706,4.100152535393393,1.0135459162969602,0.2777777777777778,-0.12430717085890386,0.0,1.4943185454659757e-14,6.340721968443217e-14,0.005473326290181528
grid_deeponet,17,ood,9,18,23,0.6207435474778723,1.1774765557716451,-0.0002943981819827419,-0.142104182798873,5.374207550434421,0.9985066915223947,4.219840521728312,0.9991508255077954,0.2777777777777778,-0.12739344801111452,0.0,1.1350019032639142e-14,7.874851684214989e-14,0.005473326290181528
grid_deeponet,17,ood,10,18,24,0.6210490524093762,1.1782693427068094,-0.005553397335954268,-0.1422814933579813,5.539154470124005,0.9916970541641196,4.4569754774927155,0.9927442375392229,0.3333333333333333,-0.13069234525206763,0.0,1.7411632697516547e-14,1.0725165504837622e-13,0.005473326290181528
