family,phantom_seed,noise_fraction,candidate_name,regularizer_kind,seed_repeat_count,residual_admission_count,field_delta_candidate_minus_base,h1_delta_candidate_minus_base,test_automatic_delta_candidate_minus_base,dense_automatic_delta_candidate_minus_base,normalized_development_improvement,selected_normalized_residual_l2,selected_normalized_residual_h1,residual_training_seconds
smooth_plume,2201,0.02,l2h1_0p003,l2_h1,2,1,0.0013917599413415874,0.0013040829942612825,-0.02408680528423968,-0.02719069334719931,0.2612609943114303,0.00014249621017370373,0.0039042287971824408,5.325221250008326
smooth_plume,2201,0.02,l2h1_0p01,l2_h1,2,1,0.0013809905318742828,0.0012798629277513997,-0.024071382100445717,-0.02718796086560283,0.26078473041209005,0.00014049913443159312,0.003882060758769512,5.3100883744773455
smooth_plume,2201,0.02,l2h1_0p03,l2_h1,2,1,0.0016005538252587097,0.0013062228663876206,-0.023782010246188597,-0.027154121695154892,0.261376742772237,0.00012712302850559354,0.003567993640899658,5.35510002047522
smooth_plume,2201,0.02,l2huber_0p003,l2_huber,2,1,0.0016098383811102047,0.0012747270128486178,-0.023860661503327104,-0.027142489265670436,0.2608360958585723,0.00012853569933213294,0.0036614707205444574,5.367033687478397
smooth_plume,2201,0.02,l2huber_0p01,l2_huber,2,1,0.0016117483673103346,0.0012860797395108092,-0.023869478160756536,-0.027201094004685924,0.261313538415784,0.000129338150145486,0.0036638379096984863,5.343546374468133
smooth_plume,2201,0.02,l2huber_0p03,l2_huber,2,1,0.001587293402849372,0.0014219803319207268,-0.02375755168117367,-0.027008221802072213,0.2631320377277891,0.0001286053447984159,0.003583504818379879,5.328409458510578
smooth_plume,2201,0.02,mgrs_control,none,2,1,0.0013721876664212242,0.001322926439582331,-0.023983521317457204,-0.027055744783869073,0.26088455042443026,0.00014805313549004495,0.004012205172330141,5.467996228951961
smooth_plume,2201,0.08,l2h1_0p003,l2_h1,2,2,-0.0048175938913321,0.002097398388519328,-0.04773754209677662,-0.06914387385459442,0.3778084820937202,0.0004863612848566845,0.014764239080250263,5.338637187553104
smooth_plume,2201,0.08,l2h1_0p01,l2_h1,2,2,-0.004778147924751147,0.001166482309321877,-0.04858048213168404,-0.0701858576352476,0.3751758316526034,0.00042020349064841866,0.012664190493524075,5.349129312962759
smooth_plume,2201,0.08,l2h1_0p03,l2_h1,2,2,-0.004434350719790245,0.0007495363704522334,-0.04910479011974169,-0.07053018865148546,0.37579455905284653,0.0004083881067344919,0.010862392373383045,5.376582437485922
smooth_plume,2201,0.08,l2huber_0p003,l2_huber,2,2,-0.004867368161288924,0.0017585687799993518,-0.04779104153381766,-0.06959409963894617,0.3772735702264646,0.0004356017307145521,0.013972681481391191,5.3547187084914185
smooth_plume,2201,0.08,l2huber_0p01,l2_huber,2,2,-0.004629569630315883,0.0013671234657555778,-0.047110496920453174,-0.06976836177758249,0.3769317082651458,0.0004796044377144426,0.012846584897488356,5.339858478924725
smooth_plume,2201,0.08,l2huber_0p03,l2_huber,2,2,-0.00473312572860924,0.001401721610687405,-0.048726698657966076,-0.07018472286856567,0.37676170593662817,0.0004330570955062285,0.011512666009366512,5.341547791555058
smooth_plume,2201,0.08,mgrs_control,none,2,2,-0.00487278987865835,0.002024344264041321,-0.04742562455689827,-0.06931481063379838,0.3771301885534868,0.0004561925452435389,0.014745189342647791,5.329137020453345
wrinkled_density_interface,2202,0.02,l2h1_0p003,l2_h1,2,1,-0.000832625173436935,-0.0007047877157017324,-0.007752225802695634,-0.008640175172433665,0.14323074149488157,0.00038451538421213627,0.0035949605517089367,5.354950541921426
wrinkled_density_interface,2202,0.02,l2h1_0p01,l2_h1,2,1,-0.001118077085896424,-0.000690880369596511,-0.008131992909353472,-0.009140850298335702,0.14164983768385836,0.0004240203707013279,0.004150209948420525,5.330887979536783
wrinkled_density_interface,2202,0.02,l2h1_0p03,l2_h1,2,1,-0.0005978973622396688,-0.0007185886110033929,-0.008443125940705565,-0.008066464662259215,0.140775712187172,0.0003670702571980655,0.0034951861016452312,5.328357520978898
wrinkled_density_interface,2202,0.02,l2huber_0p003,l2_huber,2,1,-0.0014823145498797652,-0.000518513734703005,-0.007157152898711161,-0.009883957942396639,0.14505868238927738,0.000450280582299456,0.004516867455095053,5.348476062528789
wrinkled_density_interface,2202,0.02,l2huber_0p01,l2_huber,2,1,-0.0012642184940971773,-0.0006381834076876203,-0.0071303694893130876,-0.009278381596998904,0.14409267710799267,0.0003995765291620046,0.003819340141490102,5.327864541497547
wrinkled_density_interface,2202,0.02,l2huber_0p03,l2_huber,2,1,-0.0010843971779526812,-0.0006759229174933268,-0.00808795080555881,-0.009018803761541912,0.14249011672241285,0.0004102644743397832,0.0037261105608195066,5.3152864165604115
wrinkled_density_interface,2202,0.02,mgrs_control,none,2,1,-0.0010823606995664786,-0.0006707011010082115,-0.008060989280726669,-0.00914873833822575,0.1447601976185946,0.00041234996751882136,0.003925441298633814,5.296675083518494
