family,phantom_seed,noise_fraction,candidate_name,regularizer_kind,l2_weight,gradient_weight,base_model_seed,residual_seed,base_best_step,residual_selected_step,residual_admitted,normalized_development_improvement,selected_normalized_residual_l2,selected_normalized_residual_h1,selected_normalized_gradient_penalty,base_field_relative_l2,candidate_field_relative_l2,field_delta_candidate_minus_base,base_h1_relative_error,candidate_h1_relative_error,h1_delta_candidate_minus_base,base_test_automatic_relative_l2,candidate_test_automatic_relative_l2,test_automatic_delta_candidate_minus_base,base_dense_automatic_relative_l2,candidate_dense_automatic_relative_l2,dense_automatic_delta_candidate_minus_base,base_source_reexecution_max_abs_difference,base_training_seconds,residual_training_seconds
smooth_plume,2201,0.02,mgrs_control,none,0.0,0.0,101,307,220,0,False,0.0,0.0,0.0,0.0,0.06888311125235969,0.06888311125235969,0.0,0.0554585657005529,0.0554585657005529,0.0,0.12204964701134638,0.12204964701134638,0.0,0.13144395133070116,0.13144395133070116,0.0,0.0,0.9771097919438034,5.5922227499540895
smooth_plume,2201,0.02,l2h1_0p003,l2_h1,0.00075,0.003,101,307,220,0,False,0.0,0.0,0.0,0.0,0.06888311125235969,0.06888311125235969,0.0,0.0554585657005529,0.0554585657005529,0.0,0.12204964701134638,0.12204964701134638,0.0,0.13144395133070116,0.13144395133070116,0.0,0.0,0.9771097919438034,5.323725625057705
smooth_plume,2201,0.02,l2h1_0p01,l2_h1,0.0025,0.01,101,307,220,0,False,0.0,0.0,0.0,0.0,0.06888311125235969,0.06888311125235969,0.0,0.0554585657005529,0.0554585657005529,0.0,0.12204964701134638,0.12204964701134638,0.0,0.13144395133070116,0.13144395133070116,0.0,0.0,0.9771097919438034,5.2927895409520715
smooth_plume,2201,0.02,l2h1_0p03,l2_h1,0.0075,0.03,101,307,220,0,False,0.0,0.0,0.0,0.0,0.06888311125235969,0.06888311125235969,0.0,0.0554585657005529,0.0554585657005529,0.0,0.12204964701134638,0.12204964701134638,0.0,0.13144395133070116,0.13144395133070116,0.0,0.0,0.9771097919438034,5.340457916026935
smooth_plume,2201,0.02,l2huber_0p003,l2_huber,0.00075,0.003,101,307,220,0,False,0.0,0.0,0.0,0.0,0.06888311125235969,0.06888311125235969,0.0,0.0554585657005529,0.0554585657005529,0.0,0.12204964701134638,0.12204964701134638,0.0,0.13144395133070116,0.13144395133070116,0.0,0.0,0.9771097919438034,5.363063708995469
smooth_plume,2201,0.02,l2huber_0p01,l2_huber,0.0025,0.01,101,307,220,0,False,0.0,0.0,0.0,0.0,0.06888311125235969,0.06888311125235969,0.0,0.0554585657005529,0.0554585657005529,0.0,0.12204964701134638,0.12204964701134638,0.0,0.13144395133070116,0.13144395133070116,0.0,0.0,0.9771097919438034,5.347180790966377
smooth_plume,2201,0.02,l2huber_0p03,l2_huber,0.0075,0.03,101,307,220,0,False,0.0,0.0,0.0,0.0,0.06888311125235969,0.06888311125235969,0.0,0.0554585657005529,0.0554585657005529,0.0,0.12204964701134638,0.12204964701134638,0.0,0.13144395133070116,0.13144395133070116,0.0,0.0,0.9771097919438034,5.342376584070735
smooth_plume,2201,0.02,mgrs_control,none,0.0,0.0,211,419,220,240,True,0.5217691008488605,0.0002961062709800899,0.008024410344660282,0.008024410344660282,0.05971285909451849,0.06245723442736094,0.0027443753328424483,0.05781908184623826,0.06046493472540292,0.002645852879164662,0.08787857944823682,0.039911536813322414,-0.04796704263491441,0.09634939915011813,0.04223790958237998,-0.05411148956773815,0.0,0.8976321669761091,5.343769707949832
smooth_plume,2201,0.02,l2h1_0p003,l2_h1,0.00075,0.003,211,419,220,240,True,0.5225219886228606,0.00028499242034740746,0.0078084575943648815,0.0078084575943648815,0.05971285909451849,0.062496378977201665,0.0027835198826831747,0.05781908184623826,0.060427247834760826,0.002608165988522565,0.08787857944823682,0.03970496887975746,-0.04817361056847936,0.09634939915011813,0.04196801245571951,-0.05438138669439862,0.0,0.8976321669761091,5.326716874958947
smooth_plume,2201,0.02,l2h1_0p01,l2_h1,0.0025,0.01,211,419,220,240,True,0.5215694608241801,0.00028099826886318624,0.007764121517539024,0.007764121517539024,0.05971285909451849,0.062474840158267056,0.0027619810637485656,0.05781908184623826,0.06037880770174106,0.0025597258555027994,0.08787857944823682,0.03973581524734539,-0.04814276420089143,0.09634939915011813,0.04197347741891247,-0.05437592173120566,0.0,0.8976321669761091,5.3273872080026194
