a_clean_residual_ratio_vs_k24,a_clean_residual_ratio_vs_validation_fixed,a_clean_weighted_residual,a_measured_residual_ratio_vs_k24,a_measured_residual_ratio_vs_validation_fixed,a_measured_weighted_residual,active_view_count,active_view_mask,deployable_under_declared_synthetic_contract,family,field_gain_vs_k24_percent,field_gain_vs_validation_fixed_percent,field_relative_l2,front_f1_gain_vs_k24_percent,front_f1_gain_vs_validation_fixed_percent,front_top10_f1,gradient_gain_vs_k24_percent,gradient_gain_vs_validation_fixed_percent,gradient_relative_l2,heldout_b_clean_residual,heldout_b_residual_ratio_vs_k24,heldout_b_residual_ratio_vs_validation_fixed,method,online_compute_saving,operator_mismatch_relative_l2,real_oerf_deployable,relative_noise,sample_id,selected_iteration,selection_role,split,test_truth_leakage,truth_operator,weighted_residual_to_sensor_noise_ratio
1.0,1.0,0.06161961704492569,1.0,1.0,0.06123504042625427,8,101111111,True,plume,-0.0,-0.0,0.9188456535339355,0.0,0.0,0.404028058052063,-0.0,-0.0,1.4856140613555908,0.563464879989624,1.0,1.0,fixed_k24,False,0.0,False,0.019999999552965164,test_exact_operator_control-000,24,registered_fixed_reference,test_exact_operator_control,False,qmc8,3.0522115230560303
6.9760734760946965,6.9760734760946965,0.42986297607421875,7.028433737754336,7.028433737754336,0.43038642406463623,8,101111111,True,plume,-4.638344666388854,-4.638344666388854,0.9614648818969727,1.3595185105302585,1.3595185105302585,0.4095208942890167,19.274979108882082,19.274979108882082,1.199262261390686,0.7864206433296204,1.3956870627750606,1.3956870627750606,historical_fixed_k4,False,0.0,False,0.019999999552965164,test_exact_operator_control-000,4,registered_fixed_reference,test_exact_operator_control,False,qmc8,21.452266693115234
1.0,1.0,0.06161961704492569,1.0,1.0,0.06123504042625427,8,101111111,True,plume,-0.0,-0.0,0.9188456535339355,0.0,0.0,0.404028058052063,-0.0,-0.0,1.4856140613555908,0.563464879989624,1.0,1.0,validation_global_fixed_k,True,0.0,False,0.019999999552965164,test_exact_operator_control-000,24,offline_validation_truth_selected_fixed_reference,test_exact_operator_control,False,qmc8,3.0522115230560303
1.0,1.0,0.06161961704492569,1.0,1.0,0.06123504042625427,8,101111111,True,plume,-0.0,-0.0,0.9188456535339355,0.0,0.0,0.404028058052063,-0.0,-0.0,1.4856140613555908,0.563464879989624,1.0,1.0,active_measured_min_k,False,0.0,False,0.019999999552965164,test_exact_operator_control-000,24,observable_diagnostic,test_exact_operator_control,False,qmc8,3.0522115230560303
1.0,1.0,0.06161961704492569,1.0,1.0,0.06123504042625427,8,101111111,False,plume,-0.0,-0.0,0.9188456535339355,0.0,0.0,0.404028058052063,-0.0,-0.0,1.4856140613555908,0.563464879989624,1.0,1.0,sensor_noise_discrepancy_first_crossing,True,0.0,False,0.019999999552965164,test_exact_operator_control-000,24,observable_diagnostic,test_exact_operator_control,False,qmc8,3.0522115230560303
1.0,1.0,0.06161961704492569,1.0,1.0,0.06123504042625427,8,101111111,False,plume,-0.0,-0.0,0.9188456535339355,0.0,0.0,0.404028058052063,-0.0,-0.0,1.4856140613555908,0.563464879989624,1.0,1.0,heldout_b_clean_oracle_k,False,0.0,False,0.019999999552965164,test_exact_operator_control-000,24,evaluator_only_oracle_ceiling,test_exact_operator_control,True,qmc8,3.0522115230560303
11.888562707327115,11.888562707327115,0.7325686812400818,11.965711899555508,11.965711899555508,0.7327208518981934,8,101111111,False,plume,-7.3190581636661705,-7.3190581636661705,0.9860965013504028,-8.836851877696223,-8.836851877696223,0.3683246970176697,29.459260675092445,29.459260675092445,1.0479631423950195,0.9187347888946533,1.6305094097640502,1.6305094097640502,truth_gradient_oracle_k,False,0.0,False,0.019999999552965164,test_exact_operator_control-000,1,evaluator_only_oracle_ceiling,test_exact_operator_control,True,qmc8,36.52188491821289
1.0,1.0,0.06161961704492569,1.0,1.0,0.06123504042625427,8,101111111,False,plume,-0.0,-0.0,0.9188456535339355,0.0,0.0,0.404028058052063,-0.0,-0.0,1.4856140613555908,0.563464879989624,1.0,1.0,truth_field_oracle_k,False,0.0,False,0.019999999552965164,test_exact_operator_control-000,24,evaluator_only_oracle_ceiling,test_exact_operator_control,True,qmc8,3.0522115230560303
1.0,1.0,0.05411418899893761,1.0,1.0,0.05120232328772545,6,100110111,True,wavy_front,-0.0,-0.0,0.8971748948097229,0.0,0.0,0.36771437525749207,-0.0,-0.0,1.4632588624954224,0.5548786520957947,1.0,1.0,fixed_k24,False,0.0,False,0.03500000014901161,test_exact_operator_control-001,24,registered_fixed_reference,test_exact_operator_control,False,qmc8,1.3761014938354492
5.883450465632125,5.883450465632125,0.31837815046310425,6.2450505543336945,6.2450505543336945,0.31976109743118286,6,100110111,True,wavy_front,-4.7807026489398785,-4.7807026489398785,0.9400661587715149,-9.958506123177415,-9.958506123177415,0.33109551668167114,17.12561727552719,17.12561727552719,1.2126667499542236,0.6448512673377991,1.1621482731443622,1.1621482731443622,historical_fixed_k4,False,0.0,False,0.03500000014901161,test_exact_operator_control-001,4,registered_fixed_reference,test_exact_operator_control,False,qmc8,8.593823432922363
1.0,1.0,0.05411418899893761,1.0,1.0,0.05120232328772545,6,100110111,True,wavy_front,-0.0,-0.0,0.8971748948097229,0.0,0.0,0.36771437525749207,-0.0,-0.0,1.4632588624954224,0.5548786520957947,1.0,1.0,validation_global_fixed_k,True,0.0,False,0.03500000014901161,test_exact_operator_control-001,24,offline_validation_truth_selected_fixed_reference,test_exact_operator_control,False,qmc8,1.3761014938354492
