strategy,model_seed,block_index,cumulative_epoch,learning_rate,val_rel_l2,train_total,train_field,train_gradient,train_projection,train_boundary
shared_base,20260901,0,1,0.002,0.2383584514260292,0.0031020917114801703,0.0017941279016667976,0.0012397742495522835,0.057959546241909264,0.0
shared_base,20260901,0,2,0.0019914448613738106,0.2063223749399185,0.0021109559951582924,0.0012048079806845635,0.0010999951788107864,0.03870743121951818,0.0
shared_base,20260901,0,3,0.0019659258262890683,0.19861637204885482,0.0018763175350613893,0.0010810131498146802,0.001064534148463281,0.033378014573827386,0.0
shared_base,20260901,0,4,0.0019238795325112867,0.19762023240327836,0.001786274425103329,0.0010284512434736825,0.001042181786033325,0.03163806991651654,0.0
shared_base,20260901,0,5,0.0018660254037844387,0.1949910745024681,0.0016909810423385353,0.0009712321814731694,0.001035306703124661,0.02977560362778604,0.0
shared_base,20260901,0,6,0.001793353340291235,0.1925901621580124,0.0016546293540159241,0.0009509422583505511,0.0010324913542717694,0.028989407466724515,0.0
shared_base,20260901,0,7,0.0017071067811865474,0.19376982674002646,0.001632971374783665,0.0009392536172526889,0.0010279818554408849,0.02851799800992012,0.0
shared_base,20260901,0,8,0.0016087614290087207,0.1918952561914921,0.001617895788513124,0.0009303720231400803,0.0010264593598549253,0.028217432787641883,0.0
shared_base,20260901,0,9,0.0015,0.19167963415384293,0.0016157015546923504,0.0009316578798461705,0.0010253696498693898,0.02804996632039547,0.0
shared_base,20260901,0,10,0.00138268343236509,0.18916808813810349,0.0016022847121348605,0.0009256087912945076,0.0010245209312415681,0.02768667065538466,0.0
shared_base,20260901,0,11,0.0012588190451025209,0.18842174708843232,0.0015773907041875645,0.0009107370002311655,0.0010214190027909354,0.027204172359779476,0.0
shared_base,20260901,0,12,0.001130526192220052,0.18804735392332078,0.0015636967611499131,0.0009039227777975611,0.00101832614527666,0.026878742221742868,0.0
shared_base,20260901,0,13,0.001,0.18766437023878096,0.0015587446396239102,0.0009003794548334554,0.0010174408438615502,0.026813614880666137,0.0
shared_base,20260901,0,14,0.0008694738077799485,0.18745523765683175,0.001557361928280443,0.0009008269582409412,0.001016919368703384,0.026725233113393188,0.0
shared_base,20260901,0,15,0.0007411809548974794,0.1870720051229,0.0015479053457966075,0.0008949128430685959,0.0010155966912861914,0.026556046260520817,0.0
shared_base,20260901,0,16,0.0006173165676349105,0.18729690536856652,0.0015446556586539372,0.0008930499272537418,0.001015421385091031,0.026487759919837116,0.0
shared_base,20260901,0,17,0.0005000000000000002,0.1865713581442833,0.0015337681397795677,0.0008885990100679919,0.0010139509511645883,0.026174751576036215,0.0
shared_base,20260901,0,18,0.00039123857099127935,0.18653374910354614,0.0015326565044233575,0.0008863521623425185,0.001013117059483193,0.02623651484027505,0.0
shared_base,20260901,0,19,0.00029289321881345256,0.18630079925060272,0.0015289026137907057,0.0008847978460835293,0.0010129296948434784,0.026127660600468516,0.0
