architecture,method,strategy,cumulative_epochs,mean_validation_rel_l2,mean_cumulative_train_seconds,mean_selected_checkpoint_epoch,total_parameters,forward_estimated_flops_v1,inference_p50_ms,training_step_p50_ms,source
deeponet,ridge_deeponet,carry_adam_restart_cosine,60,0.1823924511671066,5.233278847338322,59.333333333333336,49313,13657600.0,0.7699999841861427,3.007812483701855,v3f validation-only DeepONet
deeponet,ridge_deeponet,carry_adam_restart_cosine,120,0.17978788440426188,10.335333777669197,119.0,49313,13657600.0,0.7699999841861427,3.007812483701855,v3f validation-only DeepONet
deeponet,ridge_deeponet,carry_adam_restart_cosine,180,0.17749486838777861,15.399284638658477,179.33333333333334,49313,13657600.0,0.7699999841861427,3.007812483701855,v3f validation-only DeepONet
deeponet,ridge_deeponet,carry_adam_restart_cosine,240,0.17572536915540696,20.50923681934364,238.66666666666666,49313,13657600.0,0.7699999841861427,3.007812483701855,v3f validation-only DeepONet
fno,ridge_fno_aug,carry_adam_restart_cosine,60,0.1261709692577521,11.60222058397873,59.666666666666664,44203,14724096.0,1.4927085139788687,8.54141649324447,v3d validation-only FNO
fno,ridge_fno_aug,carry_adam_restart_cosine,120,0.1072943684955438,23.41346084830972,119.33333333333333,44203,14724096.0,1.4927085139788687,8.54141649324447,v3d validation-only FNO
fno,ridge_fno_aug,carry_adam_restart_cosine,180,0.09924645833671093,35.28848784797204,178.66666666666666,44203,14724096.0,1.4927085139788687,8.54141649324447,v3d validation-only FNO
fno,ridge_fno_aug,carry_adam_restart_cosine,240,0.09413853076597055,46.45889487497819,238.33333333333334,44203,14724096.0,1.4927085139788687,8.54141649324447,v3d validation-only FNO
