strategy,source_index,sample_seed,source_split,family_id,noise_level,model_seed_count,field_rel_l2,audit_reprojection_rel_l2
base_24,200,30460821,test_iid,0,0.02,3,0.11057342092196147,0.19287177423636118
base_24,201,30460822,test_iid,0,0.05,3,0.1527015616496404,0.1703061362107595
base_24,202,30460823,test_iid,0,0.02,3,0.15888010958830515,0.16232342521349588
base_24,203,30460824,test_iid,0,0.05,3,0.09333279728889465,0.1026980107029279
base_24,204,30460825,test_iid,0,0.02,3,0.13868178923924765,0.17971821129322052
base_24,205,30460826,test_iid,0,0.05,3,0.13608197371164957,0.12220166623592377
base_24,206,30460827,test_iid,1,0.02,3,0.2285154809554418,0.43373196323712665
base_24,207,30460828,test_iid,1,0.05,3,0.22063801685969034,0.4143756727377574
base_24,208,30460829,test_iid,1,0.02,3,0.32724103331565857,0.529480497042338
base_24,209,30460830,test_iid,1,0.05,3,0.21021001040935516,0.3215290705362956
base_24,210,30460831,test_iid,1,0.02,3,0.17662945886452994,0.2826320230960846
base_24,211,30460832,test_iid,1,0.05,3,0.28161004185676575,0.5700074831644694
base_24,212,30460833,test_iid,0,0.02,3,0.1597172220547994,0.2163121352593104
base_24,213,30460834,test_iid,0,0.05,3,0.16229455173015594,0.24896754324436188
base_24,214,30460835,test_iid,0,0.02,3,0.21937174101670584,0.3247482180595398
base_24,215,30460836,test_iid,0,0.05,3,0.1560210386912028,0.15030047794183096
base_24,216,30460837,test_iid,0,0.02,3,0.13456236819426218,0.20908936858177185
base_24,217,30460838,test_iid,0,0.05,3,0.13793460031350455,0.1712129314740499
base_24,218,30460839,test_iid,1,0.02,3,0.2925824125607808,0.4865281283855438
base_24,219,30460840,test_iid,1,0.05,3,0.35118937492370605,0.5648855368296305
base_24,220,30460841,test_iid,1,0.02,3,0.4107171694437663,0.6833375891049703
base_24,221,30460842,test_iid,1,0.05,3,0.25678857167561847,0.541301965713501
base_24,222,30460843,test_iid,1,0.02,3,0.2760775287946065,0.4640168646971385
base_24,223,30460844,test_iid,1,0.05,3,0.3249855438868205,0.5773599545160929
base_24,224,30460845,test_iid,0,0.02,3,0.11899591485659282,0.11669980486234029
base_24,225,30460846,test_iid,0,0.05,3,0.1571045716603597,0.16479545334974924
base_24,226,30460847,test_iid,0,0.02,3,0.10671893258889516,0.12706591188907623
base_24,227,30460848,test_iid,0,0.05,3,0.08993262052536011,0.11118302245934804
base_24,228,30460849,test_iid,0,0.02,3,0.11981610953807831,0.1536446362733841
base_24,229,30460850,test_iid,0,0.05,3,0.11832961191733678,0.12032577147086461
base_24,230,30460851,test_iid,1,0.02,3,0.2499308983484904,0.43150319655736286
base_24,231,30460852,test_iid,1,0.05,3,0.2572472294171651,0.3893782099088033
base_24,232,30560821,test_noise_ood,0,0.08,3,0.11905741443236668,0.12362609058618546
base_24,233,30560822,test_noise_ood,0,0.12,3,0.11563261101643245,0.1503132035334905
base_24,234,30560823,test_noise_ood,0,0.08,3,0.14436514178911844,0.1582820862531662
base_24,235,30560824,test_noise_ood,0,0.12,3,0.14868243535359701,0.13993199666341147
base_24,236,30560825,test_noise_ood,0,0.08,3,0.12162274122238159,0.14220459759235382
base_24,237,30560826,test_noise_ood,0,0.12,3,0.1406570573647817,0.1579853594303131
base_24,238,30560827,test_noise_ood,1,0.08,3,0.36111196875572205,0.4851817886034648
base_24,239,30560828,test_noise_ood,1,0.12,3,0.3089732229709625,0.4895002444585164
base_24,240,30560829,test_noise_ood,1,0.08,3,0.21258831024169922,0.33092840512593585
base_24,241,30560830,test_noise_ood,1,0.12,3,0.22215928634007773,0.3464594980080922
base_24,242,30560831,test_noise_ood,1,0.08,3,0.40753503640492755,0.5565309723218282
base_24,243,30560832,test_noise_ood,1,0.12,3,0.3030237356821696,0.481914758682251
base_24,244,30560833,test_noise_ood,0,0.08,3,0.11801505088806152,0.11079879601796468
base_24,245,30560834,test_noise_ood,0,0.12,3,0.12681256731351218,0.15174227952957153
base_24,246,30560835,test_noise_ood,0,0.08,3,0.14401166637738547,0.15612720449765524
base_24,247,30560836,test_noise_ood,0,0.12,3,0.1325531154870987,0.18475677569707236
base_24,248,30560837,test_noise_ood,0,0.08,3,0.1140724445382754,0.14868475496768951
base_24,249,30560838,test_noise_ood,0,0.12,3,0.15627444783846536,0.19961593548456827
base_24,250,30560839,test_noise_ood,1,0.08,3,0.25253308812777203,0.37021371722221375
base_24,251,30560840,test_noise_ood,1,0.12,3,0.4053416848182678,0.6641556819279989
base_24,252,30560841,test_noise_ood,1,0.08,3,0.34190542499224347,0.5204311807950338
base_24,253,30560842,test_noise_ood,1,0.12,3,0.27823272347450256,0.46483022967974347
base_24,254,30560843,test_noise_ood,1,0.08,3,0.2263093888759613,0.38121678431828815
base_24,255,30560844,test_noise_ood,1,0.12,3,0.2817803621292114,0.4808485507965088
base_24,256,30560845,test_noise_ood,0,0.08,3,0.1244590977827708,0.14866786201794943
base_24,257,30560846,test_noise_ood,0,0.12,3,0.15977954864501953,0.24834982057412466
base_24,258,30560847,test_noise_ood,0,0.08,3,0.11470272888739903,0.11804954955975215
base_24,259,30560848,test_noise_ood,0,0.12,3,0.15361503263314566,0.15094665189584097
base_24,260,30560849,test_noise_ood,0,0.08,3,0.14059583842754364,0.20863257348537445
base_24,261,30560850,test_noise_ood,0,0.12,3,0.15158269802729288,0.21649958193302155
base_24,262,30560851,test_noise_ood,1,0.08,3,0.2987487018108368,0.5877101023991903
base_24,263,30560852,test_noise_ood,1,0.12,3,0.3061887522538503,0.5379855632781982
base_24,264,30660821,test_family_ood,2,0.02,3,0.6053988734881083,0.6644014318784078
base_24,265,30660822,test_family_ood,2,0.05,3,0.5578738451004028,0.6178987820943197
base_24,266,30660823,test_family_ood,2,0.02,3,0.4655122558275859,0.5566461682319641
base_24,267,30660824,test_family_ood,2,0.05,3,0.6254413723945618,0.6789064606030782
base_24,268,30660825,test_family_ood,2,0.02,3,0.5159035126368204,0.6662038962046305
base_24,269,30660826,test_family_ood,2,0.05,3,0.6042242646217346,0.6633856693903605
base_24,270,30660827,test_family_ood,2,0.02,3,0.5644111037254333,0.6395081679026285
base_24,271,30660828,test_family_ood,2,0.05,3,0.58566814661026,0.637082060178121
base_24,272,30660829,test_family_ood,2,0.02,3,0.5253391067186991,0.570878783861796
base_24,273,30660830,test_family_ood,2,0.05,3,0.5853517254193624,0.7081002791722616
base_24,274,30660831,test_family_ood,2,0.02,3,0.5867308775583903,0.62860506772995
base_24,275,30660832,test_family_ood,2,0.05,3,0.47700398166974384,0.5481558640797933
base_24,276,30660833,test_family_ood,2,0.02,3,0.5533002018928528,0.6846201022466024
base_24,277,30660834,test_family_ood,2,0.05,3,0.6142310500144958,0.6369937658309937
base_24,278,30660835,test_family_ood,2,0.02,3,0.610158900419871,0.7437410354614258
base_24,279,30660836,test_family_ood,2,0.05,3,0.5185723900794983,0.6381353537241617
base_24,280,30660837,test_family_ood,2,0.02,3,0.6197095513343811,0.7285833557446798
base_24,281,30660838,test_family_ood,2,0.05,3,0.5844648281733195,0.6464792490005493
base_24,282,30660839,test_family_ood,2,0.02,3,0.5401603976885477,0.6300822695096334
base_24,283,30660840,test_family_ood,2,0.05,3,0.5000393788019816,0.5274039506912231
base_24,284,30660841,test_family_ood,2,0.02,3,0.4890683591365814,0.5618851979573568
base_24,285,30660842,test_family_ood,2,0.05,3,0.6000227332115173,0.7310846845308939
base_24,286,30660843,test_family_ood,2,0.02,3,0.5750625530878702,0.6507982214291891
base_24,287,30660844,test_family_ood,2,0.05,3,0.49496935804684955,0.5990093946456909
base_24,288,30660845,test_family_ood,2,0.02,3,0.5371468265851339,0.5969280997912089
base_24,289,30660846,test_family_ood,2,0.05,3,0.5809541543324789,0.6146038373311361
base_24,290,30660847,test_family_ood,2,0.02,3,0.5126774311065674,0.6252326965332031
base_24,291,30660848,test_family_ood,2,0.05,3,0.5856905976931254,0.7010642091433207
base_24,292,30660849,test_family_ood,2,0.02,3,0.6028771797815958,0.6034525632858276
base_24,293,30660850,test_family_ood,2,0.05,3,0.5250333150227865,0.5925439794858297
base_24,294,30660851,test_family_ood,2,0.02,3,0.4880056480566661,0.5516511996587118
base_24,295,30660852,test_family_ood,2,0.05,3,0.5154059330622355,0.6127731601397196
base_24,296,30760821,test_joint_ood,2,0.08,3,0.5766663551330566,0.5824949542681376
base_24,297,30760822,test_joint_ood,2,0.12,3,0.5709707935651144,0.6851821740468343
base_24,298,30760823,test_joint_ood,2,0.08,3,0.591672937075297,0.6859672466913859
base_24,299,30760824,test_joint_ood,2,0.12,3,0.5353845357894897,0.5267568826675415
base_24,300,30760825,test_joint_ood,2,0.08,3,0.4902396897474925,0.5724528034528097
base_24,301,30760826,test_joint_ood,2,0.12,3,0.4987494746843974,0.6111629009246826
base_24,302,30760827,test_joint_ood,2,0.08,3,0.5009735922018687,0.6009683807690939
base_24,303,30760828,test_joint_ood,2,0.12,3,0.6213206251462301,0.6895794073740641
base_24,304,30760829,test_joint_ood,2,0.08,3,0.5775208671887716,0.6320226192474365
base_24,305,30760830,test_joint_ood,2,0.12,3,0.511773407459259,0.6517890095710754
base_24,306,30760831,test_joint_ood,2,0.08,3,0.5318159262339274,0.6280981302261353
base_24,307,30760832,test_joint_ood,2,0.12,3,0.49859748284022015,0.6607985695203146
base_24,308,30760833,test_joint_ood,2,0.08,3,0.594272255897522,0.7209885915120443
base_24,309,30760834,test_joint_ood,2,0.12,3,0.5778663158416748,0.6940425634384155
