strategy,selection_commit_sha256,selected_checkpoint_epoch,model_seed,cumulative_epochs,variant_index,source_index,sample_seed,source_split,family_id,noise_level,total_budget,ridge_relative,inference_ms_per_sample,field_rel_l2,gradient_rel_l2,observed_reprojection_rel_l2,audit_reprojection_rel_l2,improvement_vs_classical_pct
base_24,a0601ed4b675f9998a055da0c5e0e600242a9379380f4ea7e5655f1445588b7b,23,20260901,24,219,219,30460840,test_iid,1,0.05,6,1e-06,0.1705022796159028,0.3513038456439972,0.6116647124290466,0.2138270139694214,0.5648509860038757,9.873698716455996
base_24,a0601ed4b675f9998a055da0c5e0e600242a9379380f4ea7e5655f1445588b7b,23,20260901,24,220,220,30460841,test_iid,1,0.02,6,1e-06,0.1705022796159028,0.4106094241142273,0.6984296441078186,0.2351735532283783,0.6834840774536133,9.400641991962743
base_24,a0601ed4b675f9998a055da0c5e0e600242a9379380f4ea7e5655f1445588b7b,23,20260901,24,221,221,30460842,test_iid,1,0.05,6,1e-06,0.1705022796159028,0.25579360127449036,0.47963353991508484,0.17183203995227814,0.5409123301506042,22.43795426900737
base_24,a0601ed4b675f9998a055da0c5e0e600242a9379380f4ea7e5655f1445588b7b,23,20260901,24,222,222,30460843,test_iid,1,0.02,6,1e-06,0.1705022796159028,0.27572134137153625,0.524446964263916,0.18974114954471588,0.4637896418571472,25.71259651192874
base_24,a0601ed4b675f9998a055da0c5e0e600242a9379380f4ea7e5655f1445588b7b,23,20260901,24,223,223,30460844,test_iid,1,0.05,6,1e-06,0.1705022796159028,0.32464614510536194,0.5583868026733398,0.21577832102775574,0.5772957801818848,15.338706432002617
base_24,a0601ed4b675f9998a055da0c5e0e600242a9379380f4ea7e5655f1445588b7b,23,20260901,24,224,224,30460845,test_iid,0,0.02,6,1e-06,0.1705022796159028,0.11957094818353653,0.24263812601566315,0.12629254162311554,0.11773703992366791,57.88079017236778
base_24,a0601ed4b675f9998a055da0c5e0e600242a9379380f4ea7e5655f1445588b7b,23,20260901,24,225,225,30460846,test_iid,0,0.05,6,1e-06,0.1705022796159028,0.15796610713005066,0.3172560930252075,0.15966176986694336,0.16481803357601166,56.85712743853693
base_24,a0601ed4b675f9998a055da0c5e0e600242a9379380f4ea7e5655f1445588b7b,23,20260901,24,226,226,30460847,test_iid,0,0.02,6,1e-06,0.1705022796159028,0.10618515312671661,0.23494435846805573,0.10449948161840439,0.12694323062896729,62.394629508540504
base_24,a0601ed4b675f9998a055da0c5e0e600242a9379380f4ea7e5655f1445588b7b,23,20260901,24,227,227,30460848,test_iid,0,0.05,6,1e-06,0.1705022796159028,0.09073111414909363,0.24715590476989746,0.08775951713323593,0.11187843978404999,70.31207595967118
base_24,a0601ed4b675f9998a055da0c5e0e600242a9379380f4ea7e5655f1445588b7b,23,20260901,24,228,228,30460849,test_iid,0,0.02,6,1e-06,0.1705022796159028,0.11991004645824432,0.2531664967536926,0.1155165284872055,0.15495049953460693,45.08206678529054
base_24,a0601ed4b675f9998a055da0c5e0e600242a9379380f4ea7e5655f1445588b7b,23,20260901,24,229,229,30460850,test_iid,0,0.05,6,1e-06,0.1705022796159028,0.11935011297464371,0.2758757472038269,0.13211044669151306,0.12304840981960297,65.92041364289548
base_24,a0601ed4b675f9998a055da0c5e0e600242a9379380f4ea7e5655f1445588b7b,23,20260901,24,230,230,30460851,test_iid,1,0.02,6,1e-06,0.1705022796159028,0.25026777386665344,0.40037450194358826,0.18690302968025208,0.43203485012054443,11.96315944074697
base_24,a0601ed4b675f9998a055da0c5e0e600242a9379380f4ea7e5655f1445588b7b,23,20260901,24,231,231,30460852,test_iid,1,0.05,6,1e-06,0.1705022796159028,0.2570687234401703,0.45739296078681946,0.1745924949645996,0.38980987668037415,18.269580164124854
base_24,a0601ed4b675f9998a055da0c5e0e600242a9379380f4ea7e5655f1445588b7b,23,20260901,24,232,232,30560821,test_noise_ood,0,0.08,6,1e-06,0.1705022796159028,0.11846105754375458,0.29686564207077026,0.11984942108392715,0.12308970838785172,62.16577204147105
base_24,a0601ed4b675f9998a055da0c5e0e600242a9379380f4ea7e5655f1445588b7b,23,20260901,24,233,233,30560822,test_noise_ood,0,0.12,6,1e-06,0.1705022796159028,0.11592130362987518,0.36235833168029785,0.11975947767496109,0.15090516209602356,68.360882959824
base_24,a0601ed4b675f9998a055da0c5e0e600242a9379380f4ea7e5655f1445588b7b,23,20260901,24,234,234,30560823,test_noise_ood,0,0.08,6,1e-06,0.1705022796159028,0.14299750328063965,0.2982800304889679,0.14652302861213684,0.1585182547569275,53.83296910220738
base_24,a0601ed4b675f9998a055da0c5e0e600242a9379380f4ea7e5655f1445588b7b,23,20260901,24,235,235,30560824,test_noise_ood,0,0.12,6,1e-06,0.1705022796159028,0.14728020131587982,0.3618456721305847,0.13203321397304535,0.14104066789150238,45.121546709614464
base_24,a0601ed4b675f9998a055da0c5e0e600242a9379380f4ea7e5655f1445588b7b,23,20260901,24,236,236,30560825,test_noise_ood,0,0.08,6,1e-06,0.1705022796159028,0.12055075913667679,0.27271512150764465,0.1193532720208168,0.1358933448791504,57.98491647468803
base_24,a0601ed4b675f9998a055da0c5e0e600242a9379380f4ea7e5655f1445588b7b,23,20260901,24,237,237,30560826,test_noise_ood,0,0.12,6,1e-06,0.1705022796159028,0.1398298144340515,0.35713642835617065,0.12853288650512695,0.15685418248176575,45.79106700043737
base_24,a0601ed4b675f9998a055da0c5e0e600242a9379380f4ea7e5655f1445588b7b,23,20260901,24,238,238,30560827,test_noise_ood,1,0.08,6,1e-06,0.1705022796159028,0.36136525869369507,0.5919418931007385,0.20225723087787628,0.48514747619628906,8.371773708130162
base_24,a0601ed4b675f9998a055da0c5e0e600242a9379380f4ea7e5655f1445588b7b,23,20260901,24,239,239,30560828,test_noise_ood,1,0.12,6,1e-06,0.1705022796159028,0.3080568015575409,0.5317829847335815,0.19818109273910522,0.4889407157897949,13.37571189501972
