strategy,label,validation_champion,plateau_reached,plateau_onset_endpoint_epoch,observed_consecutive_final_plateau_blocks,final_mean_selected_validation_rel_l2,final_mean_endpoint_validation_rel_l2,last_block_mean_improvement_pct,last_block_max_seed_improvement_pct,mean_cumulative_train_seconds
restart_adam_restart_cosine,restart Adam + restart cosine,False,True,60,17,0.1777020253241062,0.17777376770973205,0.12544966637258873,0.23485218755129955,20.628352901665494
carry_adam_restart_cosine,carry continuation-Adam + restart cosine,True,True,72,16,0.17572536915540696,0.1757481468220552,0.19110390871348526,0.24216495471063662,20.50923681934364
carry_adam_long_cosine,carry continuation-Adam + long cosine,False,True,96,14,0.17612398515144986,0.17614280233780544,0.0,0.0,20.524834597056422
