case_id,dimensionless_stress_multiplier,all_gates_pass,cell_id,field_unit_id,ray_prefix_id,family_id,orientation_id,aperture_id,output_relative_l2,position_tangent_relative_l2,direction_tangent_relative_l2,teacher_valid_ray_fraction,output_gate_met,position_gate_met,direction_gate_met,teacher_valid_gate_met
smooth-s1871-orientation_58-wide,1.0,True,smooth-s1871-orientation_58-wide__stress_1,smooth-s1871,smooth-s1871,smooth,orientation_58,wide,5.215086760018639e-14,6.730651417491508e-15,7.078706925719893e-15,1.0,True,True,True,True
smooth-s1871-orientation_58-wide,3.0,True,smooth-s1871-orientation_58-wide__stress_3,smooth-s1871,smooth-s1871,smooth,orientation_58,wide,5.2991802812940626e-14,6.7453339953866006e-15,7.0964986285392776e-15,1.0,True,True,True,True
smooth-s1871-orientation_58-wide,10.0,True,smooth-s1871-orientation_58-wide__stress_10,smooth-s1871,smooth-s1871,smooth,orientation_58,wide,5.345911472058483e-14,6.741243300123622e-15,7.0913354300769745e-15,1.0,True,True,True,True
smooth-s1987-orientation_22-narrow,1.0,True,smooth-s1987-orientation_22-narrow__stress_1,smooth-s1987,smooth-s1987,smooth,orientation_22,narrow,4.958098354600364e-14,4.133481918493933e-15,4.3055650953619605e-15,1.0,True,True,True,True
smooth-s1987-orientation_22-narrow,3.0,True,smooth-s1987-orientation_22-narrow__stress_3,smooth-s1987,smooth-s1987,smooth,orientation_22,narrow,4.8579064661715243e-14,4.1471956137849065e-15,4.301215203679993e-15,1.0,True,True,True,True
smooth-s1987-orientation_22-narrow,10.0,True,smooth-s1987-orientation_22-narrow__stress_10,smooth-s1987,smooth-s1987,smooth,orientation_22,narrow,4.930913739880059e-14,4.125729866936559e-15,4.290260150042559e-15,1.0,True,True,True,True
smooth-s1987-orientation_22-wide,1.0,True,smooth-s1987-orientation_22-wide__stress_1,smooth-s1987,smooth-s1987,smooth,orientation_22,wide,3.295481119586494e-14,4.157397897233688e-15,4.251748271729695e-15,1.0,True,True,True,True
smooth-s1987-orientation_22-wide,3.0,True,smooth-s1987-orientation_22-wide__stress_3,smooth-s1987,smooth-s1987,smooth,orientation_22,wide,3.3932809595887327e-14,4.112012082804662e-15,4.267394926337977e-15,1.0,True,True,True,True
smooth-s1987-orientation_22-wide,10.0,True,smooth-s1987-orientation_22-wide__stress_10,smooth-s1987,smooth-s1987,smooth,orientation_22,wide,3.327107915252921e-14,4.166304402680502e-15,4.2708436233440515e-15,1.0,True,True,True,True
smooth-s1987-orientation_58-narrow,1.0,True,smooth-s1987-orientation_58-narrow__stress_1,smooth-s1987,smooth-s1987,smooth,orientation_58,narrow,1.5728260779330788e-14,7.007089484226757e-15,8.12507593536657e-15,1.0,True,True,True,True
smooth-s1987-orientation_58-narrow,3.0,True,smooth-s1987-orientation_58-narrow__stress_3,smooth-s1987,smooth-s1987,smooth,orientation_58,narrow,1.543148598910665e-14,7.020481601601395e-15,8.096277971796785e-15,1.0,True,True,True,True
