field_unit_id,family_id,phantom_family,phantom_seed,method_id,physical_cell_count,geometric_mean_matched_residual_relative_l2,worst_matched_residual_relative_l2,worst_global_no_harm_ratio,worst_q95_no_harm_ratio,minimum_valid_ray_fraction,false_safe_cell_count,raw_invalid_cell_count,symmetric_gate_pass_cell_count
smooth-s1729,smooth,smooth_plume,1729,continuous_affine_n1,12,0.10067882628269187,0.23652814615316,1.9996055839177296,1.8825976407699645,1.0,4,0,0
smooth-s1729,smooth,smooth_plume,1729,operator_consistent_homotopy,12,0.005266255428242584,0.029358550666733957,1.0966358011833501,1.0704165088820317,1.0,0,0,10
smooth-s1729,smooth,smooth_plume,1729,picard_1,12,0.0008119226970129326,0.0019882996901466744,1.0018001284017515,1.0052360299246916,1.0,0,0,12
smooth-s1729,smooth,smooth_plume,1729,picard_2,12,0.0004977225412629814,0.0006039006457827643,1.0020715163314662,1.0033964196041296,1.0,0,0,12
smooth-s1871,smooth,smooth_plume,1871,continuous_affine_n1,12,0.14406313990563294,0.31193277738211705,2.12896879315302,2.2599277888214533,1.0,6,0,0
smooth-s1871,smooth,smooth_plume,1871,operator_consistent_homotopy,12,0.007766905345652001,0.04439333410492401,1.1389661567909577,1.1141738951235993,1.0,1,0,9
smooth-s1871,smooth,smooth_plume,1871,picard_1,12,0.0011937429048550084,0.0024505472967338276,1.0032779953198971,1.0048270124093492,1.0,0,0,12
smooth-s1871,smooth,smooth_plume,1871,picard_2,12,0.0006705076416902847,0.001935277732837146,1.0034115803018995,1.0044842382799604,1.0,0,0,12
smooth-s1987,smooth,smooth_plume,1987,continuous_affine_n1,12,0.12184529446179758,0.27730866384549485,1.5980612917811696,1.8115745287877967,1.0,5,0,0
smooth-s1987,smooth,smooth_plume,1987,operator_consistent_homotopy,12,0.003936364149560489,0.02511047069581841,1.0491792944313671,1.1031621476869926,1.0,1,0,9
smooth-s1987,smooth,smooth_plume,1987,picard_1,12,0.0011172588194061537,0.0025683027494925867,1.0023259646403564,1.009235907278102,1.0,0,0,12
smooth-s1987,smooth,smooth_plume,1987,picard_2,12,0.0007993276536497652,0.0013857252732497529,1.0021270794531245,1.0069235355359598,1.0,0,0,12
smooth-s2131,smooth,smooth_plume,2131,continuous_affine_n1,12,0.057978392753856474,0.1972128591079164,2.084105849564977,2.1103141665516834,1.0,4,0,3
smooth-s2131,smooth,smooth_plume,2131,operator_consistent_homotopy,12,0.003320186275689497,0.025569241068166663,1.139244621357477,1.0923306913270896,1.0,1,0,11
smooth-s2131,smooth,smooth_plume,2131,picard_1,12,0.0008297421224088467,0.001583657269338381,1.0010106652906663,1.0015953382123306,1.0,0,0,12
smooth-s2131,smooth,smooth_plume,2131,picard_2,12,0.0005340174438141554,0.0011716000784043389,1.001014159125295,1.0013060630743693,1.0,0,0,12
wrinkled-s2718,wrinkled,wrinkled_density_interface,2718,continuous_affine_n1,12,0.059594397300218455,0.06554542215256771,1.5642380256452428,1.4946425394859222,1.0,4,0,0
wrinkled-s2718,wrinkled,wrinkled_density_interface,2718,operator_consistent_homotopy,12,0.003183153857850877,0.012105023718117667,1.0811866004353428,1.1042280225165373,1.0,1,0,11
wrinkled-s2718,wrinkled,wrinkled_density_interface,2718,picard_1,12,0.0007407369926722472,0.001383667129177608,0.9998521798930962,0.9998717088393496,1.0,0,0,12
wrinkled-s2718,wrinkled,wrinkled_density_interface,2718,picard_2,12,0.0005001948148769727,0.0008592977781476355,0.9998512023897508,0.9998621492684904,1.0,0,0,12
wrinkled-s2851,wrinkled,wrinkled_density_interface,2851,continuous_affine_n1,12,0.05648249535564232,0.06475641073708376,2.75418322712725,2.47961249503506,1.0,5,0,0
wrinkled-s2851,wrinkled,wrinkled_density_interface,2851,operator_consistent_homotopy,12,0.004813683525265419,0.02089823847118583,1.3407586249572558,1.4469619981867565,1.0,2,0,10
wrinkled-s2851,wrinkled,wrinkled_density_interface,2851,picard_1,12,0.0007228273939005009,0.0015003960816159724,0.9998389191018734,0.999975380308436,1.0,0,0,12
wrinkled-s2851,wrinkled,wrinkled_density_interface,2851,picard_2,12,0.00035995101029703613,0.0008630626782139283,0.9998379779859133,0.9998698337982496,1.0,0,0,12
wrinkled-s3001,wrinkled,wrinkled_density_interface,3001,continuous_affine_n1,12,0.04456648141300857,0.08216370889508352,6.635393772677039,6.286808167254862,1.0,6,0,0
wrinkled-s3001,wrinkled,wrinkled_density_interface,3001,operator_consistent_homotopy,12,0.005637659156242904,0.031095818931099334,2.5996880213105658,2.3123351855210297,1.0,3,0,9
wrinkled-s3001,wrinkled,wrinkled_density_interface,3001,picard_1,12,0.0005822639566218908,0.0017473334979819849,1.009384934206346,1.0424960531208478,1.0,0,0,12
wrinkled-s3001,wrinkled,wrinkled_density_interface,3001,picard_2,12,0.0001974949840746319,0.000497384127336662,0.9997997228642899,0.999829624018911,1.0,0,0,12
wrinkled-s3163,wrinkled,wrinkled_density_interface,3163,continuous_affine_n1,12,0.06692360483566492,0.08463261697723597,2.129130392413004,2.0757669896062114,1.0,10,0,0
wrinkled-s3163,wrinkled,wrinkled_density_interface,3163,operator_consistent_homotopy,12,0.0017029004614947231,0.011167009232599166,1.1047561298846789,1.1015276445823874,1.0,8,0,4
wrinkled-s3163,wrinkled,wrinkled_density_interface,3163,picard_1,12,0.0006716657010484225,0.0021845167031429823,1.0011279619798583,1.0031774752629448,1.0,6,0,6
wrinkled-s3163,wrinkled,wrinkled_density_interface,3163,picard_2,12,0.0004124629384120387,0.0017072966345126955,0.9999266866242151,0.9999407286853556,1.0,6,0,6
