case_id,phantom_family,phantom_seed,dimensionless_stress_multiplier,refractivity_scale,method_id,ray_count,step_count,correction_applied,all_primary_gates_pass,cell_id,field_unit_id,ray_prefix_id,family_id,orientation_id,aperture_id,all_symmetric_gates_pass,matched_residual_prediction_relative_l2,corrected_residual_variance_ratio,per_ray_risk_spearman,valid_ray_fraction,candidate_to_high_reference_relative_l2,high_execution_to_high_reference_relative_l2,candidate_reference_error_to_high_execution_reference_error_ratio,candidate_q95_reference_error,high_execution_q95_reference_error,candidate_q95_reference_error_to_high_execution_q95_ratio,candidate_q95_reference_error_normalized_by_high256_rms,symmetric_gate_matched_residual_gate_met,symmetric_gate_residual_variance_gate_met,symmetric_gate_risk_spearman_gate_met,symmetric_gate_valid_fraction_gate_met,symmetric_gate_absolute_reference_gate_met,symmetric_gate_global_no_harm_gate_met,symmetric_gate_q95_no_harm_gate_met,ratio_global_scoreable,ratio_q95_scoreable,base_output_relative_l2,ocbh_gate_matched_residual_gate_met,ocbh_gate_residual_variance_gate_met,ocbh_gate_risk_spearman_gate_met,ocbh_gate_valid_fraction_gate_met,ocbh_gate_absolute_reference_gate_met,ocbh_gate_reference_no_harm_gate_met,ocbh_gate_q95_reference_no_harm_gate_met,ocbh_gate_base_output_consistency_gate_met
smooth-s1729-orientation_22-narrow,smooth_plume,1729,1.0,0.0003,continuous_affine_n1,256,128,True,False,smooth-s1729-orientation_22-narrow__stress_1,smooth-s1729,smooth-s1729,smooth,orientation_22,narrow,False,0.051306143084965276,0.003825789874969137,0.996641823071641,1.0,0.0008332322660649901,0.000832471925321341,1.0009133530159058,1.948621280416658e-07,1.9624450639888968e-07,0.9929558366621787,0.0017155723728632874,False,True,True,True,True,True,True,True,True,,,,,,,,,
smooth-s1729-orientation_22-narrow,smooth_plume,1729,1.0,0.0003,operator_consistent_homotopy,256,128,True,True,smooth-s1729-orientation_22-narrow__stress_1,smooth-s1729,smooth-s1729,smooth,orientation_22,narrow,True,0.0013327851156838847,6.584492444563982e-07,0.9999670977340349,1.0,0.0008325013569151483,0.000832471925321341,1.0000353544581049,1.9624325828913134e-07,1.9624450639888968e-07,0.9999936400270191,0.0017277318874887825,True,True,True,True,True,True,True,True,True,1.0584073883742335e-16,True,True,True,True,True,True,True,True
smooth-s1729-orientation_22-narrow,smooth_plume,1729,1.0,0.0003,picard_1,256,128,True,False,smooth-s1729-orientation_22-narrow__stress_1,smooth-s1729,smooth-s1729,smooth,orientation_22,narrow,True,0.0004753096767078489,3.071100222020626e-07,0.99999499313344,1.0,0.0008325484861410779,0.000832471925321341,1.0000919680501026,1.9626372552233356e-07,1.9624450639888968e-07,1.0000979345806746,0.0017279120816608546,True,True,True,True,True,True,True,True,True,,,,,,,,,
smooth-s1729-orientation_22-narrow,smooth_plume,1729,1.0,0.0003,picard_2,256,128,True,False,smooth-s1729-orientation_22-narrow__stress_1,smooth-s1729,smooth-s1729,smooth,orientation_22,narrow,True,0.0004692415169509113,3.042017273916451e-07,0.9999971389333944,1.0,0.0008325486568781825,0.000832471925321341,1.0000921731466341,1.9626373114408194e-07,1.9624450639888968e-07,1.0000979632273281,0.001727912131154906,True,True,True,True,True,True,True,True,True,,,,,,,,,
smooth-s1729-orientation_22-narrow,smooth_plume,1729,3.0,0.0009,continuous_affine_n1,256,128,True,False,smooth-s1729-orientation_22-narrow__stress_3,smooth-s1729,smooth-s1729,smooth,orientation_22,narrow,False,0.05155094962218215,0.003829949177490161,0.9965567063401235,1.0,0.0008326332419411926,0.0008298156536797719,1.0033954387928528,5.855600799567249e-07,5.870692183886397e-07,0.9974293688296978,0.0017177034671647397,False,True,True,True,True,True,True,True,True,,,,,,,,,
smooth-s1729-orientation_22-narrow,smooth_plume,1729,3.0,0.0009,operator_consistent_homotopy,256,128,True,True,smooth-s1729-orientation_22-narrow__stress_3,smooth-s1729,smooth-s1729,smooth,orientation_22,narrow,True,0.003987481803813442,5.7597496763116305e-06,0.9998791199359119,1.0,0.0008300685924710993,0.0008298156536797719,1.0003048132319579,5.870250296450816e-07,5.870692183886397e-07,0.9999247299259202,0.0017220008044406998,True,True,True,True,True,True,True,True,True,1.2671413912263835e-16,True,True,True,True,True,True,True,True
smooth-s1729-orientation_22-narrow,smooth_plume,1729,3.0,0.0009,picard_1,256,128,True,False,smooth-s1729-orientation_22-narrow__stress_3,smooth-s1729,smooth-s1729,smooth,orientation_22,narrow,True,0.0005623500385072236,3.503615637611779e-07,0.999991416800183,1.0,0.0008300439183032831,0.0008298156536797719,1.0002750787147712,5.872704704340021e-07,5.870692183886397e-07,1.0003428080353367,0.0017227207894747608,True,True,True,True,True,True,True,True,True,,,,,,,,,
smooth-s1729-orientation_22-narrow,smooth_plume,1729,3.0,0.0009,picard_2,256,128,True,False,smooth-s1729-orientation_22-narrow__stress_3,smooth-s1729,smooth-s1729,smooth,orientation_22,narrow,True,0.00047090821233360043,3.057514159545021e-07,0.9999985694666971,1.0,0.0008300454054367872,0.0008298156536797719,1.0002768708399226,5.87267760708439e-07,5.870692183886397e-07,1.0003381923520778,0.0017227128406661688,True,True,True,True,True,True,True,True,True,,,,,,,,,
smooth-s1729-orientation_22-narrow,smooth_plume,1729,10.0,0.0029999999999999996,continuous_affine_n1,256,128,True,False,smooth-s1729-orientation_22-narrow__stress_10,smooth-s1729,smooth-s1729,smooth,orientation_22,narrow,False,0.053401499355175706,0.0038546209035800055,0.9960352769512474,1.0,0.0008358306487617552,0.0008199079758772342,1.0194200731703884,2.020266738212695e-06,1.9381387055027427e-06,1.0423746930375908,0.001775288202637979,False,True,True,True,True,True,True,True,True,,,,,,,,,
smooth-s1729-orientation_22-narrow,smooth_plume,1729,10.0,0.0029999999999999996,operator_consistent_homotopy,256,128,True,True,smooth-s1729-orientation_22-narrow__stress_10,smooth-s1729,smooth-s1729,smooth,orientation_22,narrow,True,0.013240084742541213,6.04874576691454e-05,0.9992332341496907,1.0,0.0008229031033678068,0.0008199079758772342,1.003653004457443,1.941879653258276e-06,1.9381387055027427e-06,1.001930175453858,0.001706406374052377,True,True,True,True,True,True,True,True,True,1.193888795186259e-16,True,True,True,True,True,True,True,True
