method_id,field_units_with_lower_geometric_mean_matched_error,grouped_geometric_mean_matched_ratio_vs_ocbh,grouped_geometric_mean_matched_ratio_ci_lower,grouped_geometric_mean_matched_ratio_ci_upper,worst_condition_matched_ratio_vs_ocbh,worst_condition_global_no_harm_ratio_vs_ocbh,worst_condition_q95_no_harm_ratio_vs_ocbh,minimum_field_unit_valid_fraction_difference_vs_ocbh,global_scoreable_condition_count,q95_scoreable_condition_count,worst_package_wall_p90_ratio_vs_ocbh,maximum_logical_point_query_ratio_to_high128,maximum_logical_point_query_ratio_vs_ocbh,symmetric_gate_pass_cell_count,raw_invalid_cell_count,false_safe_cell_count,dominates_ocbh_forward_role,gate_all_field_units_matched_better,gate_matched_ratio_upper_ci_gate,gate_worst_condition_matched_gate,gate_global_no_harm_gate,gate_q95_no_harm_gate,gate_validity_gate,gate_wall_time_gate,gate_query_gate,gate_symmetric_per_cell_gate,gate_raw_validity_gate,gate_false_safe_gate
picard_1,8,0.19831606867693863,0.15068744342377954,0.2644587038995587,6.451708850539384,1.0046575678969045,1.01819073601702,0.0,96,96,0.3150516940797128,0.4,0.9961089494163424,90,0,6,False,True,True,False,True,False,True,True,True,False,True,False
picard_2,8,0.1129914291191983,0.07481420737597425,0.1666543020353891,6.444375041753367,1.0026823588973175,1.0180719306496486,0.0,96,96,0.47506956071202516,0.6,1.4941634241245136,90,0,6,False,True,True,False,True,False,True,True,False,False,True,False
