case_id,beta,method,data_majorizer_seconds,metric_certificate_seconds,data_norm_squared_upper,gradient_norm_squared_upper,q_a_positive_support_fraction,scalar_endpoint_total,active_primal_count,frozen_supported_count,support_voxel_count,primal_step_min_positive,primal_step_max,certificate_content_sha256,diagonal_endpoint_sha256,metric_content_sha256,setup_forward_calls,setup_adjoint_calls
dev-6v-annular,0.25,beta_025,0.003230583039112389,0.0029873339226469398,2783.844889239621,238264.47951301717,0.6181851851851852,540.8855804633471,27000,0,27000,0.0018303316556376327,0.0019912011924007812,7f70af3777feacedd44f94050047674a169872acdd29e51d7a0f68d81ed144f2,d409c64f8b3391f44349b636ca337bb54afa7333a40588b175326154ebab0dbf,f75874d11051adf21a1dd3a12d696e9b62728c28e5148943aca9f338f81ea0f5,0,0
dev-6v-annular,0.5,beta_050,0.003230583039112389,0.00289629097096622,2783.844889239621,238264.47951301717,0.6181851851851852,540.8855804633471,27000,0,27000,0.0018303316556376327,0.0021830735384709616,2082c446727d4403c54680ee029e57ebe3c52920e6aee7586db1d4fddaa960e0,d409c64f8b3391f44349b636ca337bb54afa7333a40588b175326154ebab0dbf,f9e8d1d6629ff92b8d6ee828e80f1f3c144bcbbeb979259308791ba22b392a9a,0,0
dev-6v-annular,0.75,beta_075,0.003230583039112389,0.00460575008764863,2783.844889239621,238264.47951301717,0.6181851851851852,540.8855804633471,27000,0,27000,0.0018303316556376327,0.002415866694832772,9e7c41697ef2c6b988bc9e057bac8e7aae9371d74ea934d8621d83989430225b,d409c64f8b3391f44349b636ca337bb54afa7333a40588b175326154ebab0dbf,96b471e7f4ecc60fdadd6f0cae2e2e2264ca1daa73d58da41b38ff73af90a172,0,0
dev-6v-annular,1.0,beta_100,0.003230583039112389,0.0028563339728862047,2783.844889239621,238264.47951301717,0.6181851851851852,540.8855804633471,27000,0,27000,0.0018303316556376327,0.002704234069287559,d051eecb8cf610a1d7c85f26315d596ecd7e1913a30da7fc8377c43fe85b006b,d409c64f8b3391f44349b636ca337bb54afa7333a40588b175326154ebab0dbf,d409c64f8b3391f44349b636ca337bb54afa7333a40588b175326154ebab0dbf,0,0
dev-7v-shock,0.0,beta_000,0.005561541998758912,0.0028832920361310244,3454.5119012050654,238264.47951301717,0.6525925925925926,546.8985224420836,27000,0,27000,0.0018102078527828546,0.0018102078527828546,f361ac82a7066fc769d38b53ec6a38bb4607cccf4265653c6c88094be172c2ec,a448aa63eda02322e5430af70cfb6a8085011021b3cb56cf0c65c6e861a1efd1,6690dec4573a4c65b4c6ea1c1d9d1a4dff309f1e0a61a3fe2aa41c7278871ef8,0,0
dev-7v-shock,0.25,beta_025,0.005561541998758912,0.003241125028580427,3454.5119012050654,238264.47951301717,0.6525925925925926,546.8985224420836,27000,0,27000,0.0018102078527828546,0.0019733024760153137,fff7a3cae9494b81bcd4b8144ed87f5f1ba8305d3a5bf69d1f6a575ba9415dd8,a448aa63eda02322e5430af70cfb6a8085011021b3cb56cf0c65c6e861a1efd1,203fa460c45575570c82cda8642367f9763750430fa4eb40978728bc2206dbf4,0,0
dev-7v-shock,0.5,beta_050,0.005561541998758912,0.0030363750411197543,3454.5119012050654,238264.47951301717,0.6525925925925926,546.8985224420836,27000,0,27000,0.0018102078527828546,0.0021686958576453345,caab5571614e1b9e25c3013f8c3af4eeb226538f3ed9a4d5a976a743ae5f25e3,a448aa63eda02322e5430af70cfb6a8085011021b3cb56cf0c65c6e861a1efd1,8cf789c49cd407e3a137e43e846b207bcf70eb02dbd6de6a11f520dd9301a5f0,0,0
dev-7v-shock,0.75,beta_075,0.005561541998758912,0.0030986249912530184,3454.5119012050654,238264.47951301717,0.6525925925925926,546.8985224420836,27000,0,27000,0.0018102078527828546,0.002407036962199304,670a4e69c26c368d7c2070cccb7354772792a2a20afc8eff56ab8ebe4ccf6998,a448aa63eda02322e5430af70cfb6a8085011021b3cb56cf0c65c6e861a1efd1,722d57c5d38ed7651784db85f3c5325a3d110d1527197251649116d32a54f828,0,0
dev-7v-shock,1.0,beta_100,0.005561541998758912,0.004446291015483439,3454.5119012050654,238264.47951301717,0.6525925925925926,546.8985224420836,27000,0,27000,0.0018102078527828546,0.002704234069287559,d8537ddf1fc1a38436eaeddcc0ba39f0f552e3c257ccbfe9a163f45d94edf02f,a448aa63eda02322e5430af70cfb6a8085011021b3cb56cf0c65c6e861a1efd1,a448aa63eda02322e5430af70cfb6a8085011021b3cb56cf0c65c6e861a1efd1,0,0
dev-8v-vortex,0.0,beta_000,0.0029007919365540147,0.0032267499482259154,3623.213730753171,238264.47951301717,0.6504074074074074,548.3165634226806,27000,0,27000,0.0018055263437972036,0.0018055263437972036,248e125aafdce256652727d3f9c405a8e6a27b0ba53a20a070ab9c708bbe4436,28805396997a137dcadb58139f9d084ad8fbf5ba8052d0f141f67e96f459f357,1b30b3c7f8c903a24123784d9892d1bf5ec929be49f6c2e3aa65a4d741b00c2e,0,0
dev-8v-vortex,0.25,beta_025,0.0029007919365540147,0.002869082964025438,3623.213730753171,238264.47951301717,0.6504074074074074,548.3165634226806,27000,0,27000,0.0018055263437972036,0.0019691281871400193,499db68b2633d470e1f8879e88e4b70fb0bceb337e79dc9eb557a045c293f7cf,28805396997a137dcadb58139f9d084ad8fbf5ba8052d0f141f67e96f459f357,f6bbde28d97bc93036dd8c009736166c9dad5693ada91d0adf6003665908e9a6,0,0
dev-8v-vortex,0.5,beta_050,0.0029007919365540147,0.0031554169254377484,3623.213730753171,238264.47951301717,0.6504074074074074,548.3165634226806,27000,0,27000,0.0018055263437972036,0.002165332702697983,0e8ec6ad8a03180aba72fc0d80d45112842b8d8285cfdc75d437bef13e2ab511,28805396997a137dcadb58139f9d084ad8fbf5ba8052d0f141f67e96f459f357,9cc2921ab354c9de5069615afc51c5ba499613b388c7b67a993b9bb29ff9c474,0,0
dev-8v-vortex,0.75,beta_075,0.0029007919365540147,0.002875958918593824,3623.213730753171,238264.47951301717,0.6504074074074074,548.3165634226806,27000,0,27000,0.0018055263437972036,0.0024049640307492143,04a1433feefc0449698bc18238d042580708fc4caa888d1714ee1c7f940ee0ff,28805396997a137dcadb58139f9d084ad8fbf5ba8052d0f141f67e96f459f357,dcbed52b44115b8468a1d1cc48d15458528d772b01c685da1aa01d365a55ba3f,0,0
dev-8v-vortex,1.0,beta_100,0.0029007919365540147,0.002683709026314318,3623.213730753171,238264.47951301717,0.6504074074074074,548.3165634226806,27000,0,27000,0.0018055263437972036,0.002704234069287559,c629ed4d4446dee45693bdffb5e0a402a0f065070b9be1ab2c369f45d824d14f,28805396997a137dcadb58139f9d084ad8fbf5ba8052d0f141f67e96f459f357,28805396997a137dcadb58139f9d084ad8fbf5ba8052d0f141f67e96f459f357,0,0
dev-9v-multiplume,0.0,beta_000,0.003105540992692113,0.0027085409965366125,4096.710372209469,238264.47951301717,0.686,552.1289760575607,27000,0,27000,0.0017930593084772102,0.0017930593084772102,4e76fbb123529e933643e6d63a44ce51a92292d7d9e7f113ecd9c38fed4d3432,a25a877d1edae9c6190a8efb5fc11688865c62af020c7d3af08ab21a0018b25c,d2d5cea910780a350e54d2ef461157febaa57248f2949d3d37c3fc09cbcac5fc,0,0
dev-9v-multiplume,0.25,beta_025,0.003105540992692113,0.0032817500177770853,4096.710372209469,238264.47951301717,0.686,552.1289760575607,27000,0,27000,0.0017930593084772102,0.0019579926539676604,f66cbd260f80f0bea1742af745035694390ae3f771c665a927852261060a09dc,a25a877d1edae9c6190a8efb5fc11688865c62af020c7d3af08ab21a0018b25c,2dcab1b62ca85ab6008b710b7e5dec6911bddc0e7cb7591c38a35ef5740b7fcf,0,0
dev-9v-multiplume,0.5,beta_050,0.003105540992692113,0.002782957977615297,4096.710372209469,238264.47951301717,0.686,552.1289760575607,27000,0,27000,0.0017930593084772102,0.0021563423432461163,99c9144c168488894d7bfc6f418734265214bba970a9f163b3172f0a266d59ec,a25a877d1edae9c6190a8efb5fc11688865c62af020c7d3af08ab21a0018b25c,38a72866f3c2e26fc99aaa472c9413ad17c5e274e7cece8163f49792055a37cb,0,0
dev-9v-multiplume,0.75,beta_075,0.003105540992692113,0.0029961670516058803,4096.710372209469,238264.47951301717,0.686,552.1289760575607,27000,0,27000,0.0017930593084772102,0.002399408602904302,90516e2da2a945e244656f6622c50c3cb992a78a00b27cc864a83d60f69910a2,a25a877d1edae9c6190a8efb5fc11688865c62af020c7d3af08ab21a0018b25c,ae588217a0e175cd129599be082b73744a38722c5f92b89ff5257b4d57361f1b,0,0
dev-9v-multiplume,1.0,beta_100,0.003105540992692113,0.002992166089825332,4096.710372209469,238264.47951301717,0.686,552.1289760575607,27000,0,27000,0.0017930593084772102,0.002704234069287559,f36fcc4fc18c11f6e7e81bca575ee969829473eade39a04a3131c8f27bb3f2e1,a25a877d1edae9c6190a8efb5fc11688865c62af020c7d3af08ab21a0018b25c,a25a877d1edae9c6190a8efb5fc11688865c62af020c7d3af08ab21a0018b25c,0,0
