case_id,case_index,family,active_views,relative_noise,objective_id,method,beta,iterations,field_relative_l2,gradient_relative_l2,weighted_residual_relative_l2,heldout_clean_relative_l2,solve_wall_seconds,forward_calls,adjoint_calls,evaluator_forward_calls,q_a_positive_support_fraction,data_dual_step,edge_dual_step,scalar_primal_step,primal_step_min_positive,primal_step_max,frozen_supported_count,support_voxel_count,certificate_content_sha256,metric_content_sha256,scalar_endpoint_field_difference_relative_l2,final_primal_update_norm,maximum_resident_set_bytes
dev-4v-plume,0,plume,4,0.04,huber_gradient_1e-3,scalar_reference,,20,0.9870803952217102,1.0304203033447266,0.7167096734046936,0.9659354090690613,0.1140451249666512,20,20,1,0.4928518518518519,0.02146650263723856,0.0020486621737026956,0.001851479085309081,0.001851479085309081,0.001851479085309081,0,27000,,,0.0,0.9790156483650208,377896960
dev-4v-plume,0,plume,4,0.04,huber_gradient_1e-3,beta_000,0.0,20,0.9870803952217102,1.0304203033447266,0.7167096734046936,0.9659355282783508,0.10437412501778454,20,20,1,0.4928518518518519,0.02146650263723856,0.0020486621737026956,0.001851479085309081,0.001851479085309081,0.001851479085309081,0,27000,fe61178897b454edddfc0d3fdad5cb87c7fcf4a249bc46498fe5e75c5cdfbc1e,ec0abcc95eea517765805d7b2f949501d862f2c9184036c35c0e629481f86383,4.205436709980859e-08,0.9790156483650208,377978880
dev-4v-plume,0,plume,4,0.04,huber_gradient_1e-3,beta_025,0.25,20,0.9868950843811035,1.03164803981781,0.7129392027854919,0.9654453992843628,0.10498495900537819,20,20,1,0.4928518518518519,0.02146650263723856,0.0020486621737026956,0.001851479085309081,0.001851479085309081,0.0020099324465311604,0,27000,f32cf7994affa79da5b81bb08054b2ce2acb5cc824bb61dce3f5a60c48a2f816,6f302798737ff793c02e73f15192c58698092737c5fd5afe42fa2385f2f3b5ad,0.01579025574028492,0.9924430847167969,378028032
dev-4v-plume,0,plume,4,0.04,huber_gradient_1e-3,beta_050,0.5,20,0.9867045283317566,1.032938003540039,0.7090680599212646,0.9649407863616943,0.09835666604340076,20,20,1,0.4928518518518519,0.02146650263723856,0.0020486621737026956,0.001851479085309081,0.001851479085309081,0.0021980456851258823,0,27000,d275e0e0d3900a17b056751efb1bbb30f858ef4e1ec414edf744bae8990483b5,b7236eee1215bb7dd06883205a79c0a520514d733bfa84266b07ba4fbf14b20b,0.032117512077093124,1.0062612295150757,378028032
dev-4v-plume,0,plume,4,0.04,huber_gradient_1e-3,beta_075,0.75,20,0.9865083694458008,1.0342942476272583,0.705092191696167,0.9644211530685425,0.10239958390593529,20,20,1,0.4928518518518519,0.02146650263723856,0.0020486621737026956,0.001851479085309081,0.001851479085309081,0.002425006456319272,0,27000,267733296b179351e816565e372c17f0b648b97677375e6b20094397b6073475,7baf6492cb2bd4e163f3157aa6fd7b24c35ea0beb60f9733e4c7eb4e4a2acf0b,0.04901226609945297,1.0204888582229614,378044416
dev-4v-plume,0,plume,4,0.04,huber_gradient_1e-3,beta_100,1.0,20,0.9863062500953674,1.0357211828231812,0.7010074257850647,0.9638857245445251,0.10394191602244973,20,20,1,0.4928518518518519,0.02146650263723856,0.0020486621737026956,0.001851479085309081,0.001851479085309081,0.002704234069287559,0,27000,350d869d32687fcb9b142b8aeda8827789f506f094dabb24f0b824c02721356e,f44ecb59c5b4d7328bceb0b977fbf4dca249572407292eade8c583471e9dfb02,0.06650791317224503,1.035145878791809,378142720
dev-5v-thin,1,thin_front,5,0.05,huber_gradient_1e-3,scalar_reference,,20,0.9807992577552795,1.0368025302886963,0.6792174577713013,0.886963963508606,0.10599020891822875,20,20,1,0.6241481481481481,0.019061729016860905,0.0020486621737026956,0.0018313508461876933,0.0018313508461876933,0.0018313508461876933,0,27000,,,0.0,1.281475305557251,396771328
dev-5v-thin,1,thin_front,5,0.05,huber_gradient_1e-3,beta_000,0.0,20,0.9807992577552795,1.0368025302886963,0.6792174577713013,0.8869638442993164,0.10556591593194753,20,20,1,0.6241481481481481,0.019061729016860905,0.0020486621737026956,0.0018313508461876933,0.0018313508461876933,0.0018313508461876933,0,27000,9a12390fb41d1040f8085c23fc6fd4a38f8f445814ee38c21f568eea625e99a3,9104e8b1d1f56307614ec9b4e2cd94ba3dcff439ddc3e4c074bb1ed039af7a7c,3.6901763422747536e-08,1.281475305557251,397082624
dev-5v-thin,1,thin_front,5,0.05,huber_gradient_1e-3,beta_025,0.25,20,0.9805017709732056,1.0385196208953857,0.674737811088562,0.8852252960205078,0.10339783399831504,20,20,1,0.6241481481481481,0.019061729016860905,0.0020486621737026956,0.0018313508461876933,0.0018313508461876933,0.0019921057637809643,0,27000,8ff5ac09736d4a05c06f2c86c84554f3a591997e1edc8890265ea11bba10262f,48712aed67b49af87d962383f4871b0a00cd25106ef148820d369980dbbde03f,0.01804816909134388,1.3007704019546509,397082624
dev-5v-thin,1,thin_front,5,0.05,huber_gradient_1e-3,beta_050,0.5,20,0.9801952242851257,1.0403375625610352,0.6701386570930481,0.8834308981895447,0.10449574992526323,20,20,1,0.6241481481481481,0.019061729016860905,0.0020486621737026956,0.0018313508461876933,0.0018313508461876933,0.0021837983163679486,0,27000,fee1875b5737e626a7ec72fdb89f998337392665744d9a0b95abedb21e207973,4f7c53a3b4ad715c965224e35f422391cdad5f066daa1392e60c64832e701722,0.0368129126727581,1.3206877708435059,397082624
