case_id,case_index,family,active_views,relative_noise,objective_id,regularization_weight,metric,iterations,field_relative_l2,gradient_relative_l2,weighted_residual_relative_l2,heldout_clean_relative_l2,solve_wall_seconds,forward_calls,adjoint_calls,evaluator_forward_calls,q_a_positive_support_fraction,frozen_supported_count,support_voxel_count,data_dual_step,edge_dual_step,scalar_primal_step,diagonal_primal_step_min_positive,diagonal_primal_step_max,metric_content_sha256,final_primal_update_norm,maximum_resident_set_bytes
dev-4v-plume,0,plume,4,0.04,data_only,0.0,scalar,20,0.9586300849914551,1.7251886129379272,0.46006444096565247,0.897896409034729,0.15176887507550418,20,20,1,0.4928518518518519,13693,27000,0.02146650263723856,0.0020486621737026956,0.02125183761086617,,,6a745ee3247b784bcb9d43cb2f39fabe7e6ad483712f3b63416cf14e2732983e,2.8622190952301025,381517824
dev-4v-plume,0,plume,4,0.04,data_only,0.0,diagonal,20,2.1862099170684814,10.915837287902832,0.24750080704689026,1.7095143795013428,0.09703891596291214,20,20,1,0.4928518518518519,13693,27000,0.02146650263723856,0.0020486621737026956,,0.02125183761086617,172209.17317205702,6a745ee3247b784bcb9d43cb2f39fabe7e6ad483712f3b63416cf14e2732983e,14.543912887573242,382091264
dev-4v-plume,0,plume,4,0.04,huber_gradient_1e-3,0.001,scalar,20,0.9870803952217102,1.0304203033447266,0.7167096734046936,0.9659355282783508,0.10854104207828641,20,20,1,0.4928518518518519,0,27000,0.02146650263723856,0.0020486621737026956,0.001851479085309081,,,f44ecb59c5b4d7328bceb0b977fbf4dca249572407292eade8c583471e9dfb02,0.9790156483650208,382222336
dev-4v-plume,0,plume,4,0.04,huber_gradient_1e-3,0.001,diagonal,20,0.9863062500953674,1.0357211828231812,0.7010074257850647,0.9638857245445251,0.10557825001887977,20,20,1,0.4928518518518519,0,27000,0.02146650263723856,0.0020486621737026956,,0.001851479085309081,0.002704234069287559,f44ecb59c5b4d7328bceb0b977fbf4dca249572407292eade8c583471e9dfb02,1.035145878791809,382238720
dev-5v-thin,1,thin_front,5,0.05,data_only,0.0,scalar,20,0.9448609948158264,1.6762672662734985,0.45288553833961487,0.6784009337425232,0.09671316598542035,20,20,1,0.6241481481481481,10148,27000,0.019061729016860905,0.0020486621737026956,0.0188711117266923,,,a360f68d461238bb3345024fc8790f472dc3c1d39d9f2607aac6756d866c687b,3.4267635345458984,396591104
dev-5v-thin,1,thin_front,5,0.05,data_only,0.0,diagonal,20,1.6219080686569214,6.3488264083862305,0.20378102362155914,0.8831984400749207,0.09451341698877513,20,20,1,0.6241481481481481,10148,27000,0.019061729016860905,0.0020486621737026956,,0.0188711117266923,1203078.6785084058,a360f68d461238bb3345024fc8790f472dc3c1d39d9f2607aac6756d866c687b,14.873886108398438,396591104
dev-5v-thin,1,thin_front,5,0.05,huber_gradient_1e-3,0.001,scalar,20,0.9807992577552795,1.0368025302886963,0.6792174577713013,0.886963963508606,0.10108412499539554,20,20,1,0.6241481481481481,0,27000,0.019061729016860905,0.0020486621737026956,0.0018313508461876933,,,6b61aaf9e9acef71c6957face5329504ee6b286c58c45481d37561043f47441e,1.281475305557251,396640256
dev-5v-thin,1,thin_front,5,0.05,huber_gradient_1e-3,0.001,diagonal,20,0.979552686214447,1.0443090200424194,0.6605653166770935,0.8796637654304504,0.10570554109290242,20,20,1,0.6241481481481481,0,27000,0.019061729016860905,0.0020486621737026956,,0.0018313508461876933,0.002704234069287559,6b61aaf9e9acef71c6957face5329504ee6b286c58c45481d37561043f47441e,1.3625280857086182,396656640
dev-6v-annular,2,annular_kernel,6,0.03,data_only,0.0,scalar,20,0.9712976813316345,1.0825334787368774,0.3989109694957733,0.8060457706451416,0.09477504203096032,20,20,1,0.6181851851851852,10309,27000,0.018952979080123746,0.0020486621737026956,0.018763449289322505,,,7f1a70a72a4d3bc39728662fdf68814166a0e0db7809df332fe65a22c63140eb,2.7606070041656494,396689408
dev-6v-annular,2,annular_kernel,6,0.03,data_only,0.0,diagonal,20,1.3432247638702393,2.5165395736694336,0.15324847400188446,1.0019242763519287,0.09420695900917053,20,20,1,0.6181851851851852,10309,27000,0.018952979080123746,0.0020486621737026956,,0.018763449289322505,391370.7153876521,7f1a70a72a4d3bc39728662fdf68814166a0e0db7809df332fe65a22c63140eb,8.701016426086426,396689408
