case_id,case_index,family,active_views,relative_noise,objective_id,regularization_weight,metric,iterations,field_relative_l2,gradient_relative_l2,weighted_residual_relative_l2,heldout_clean_relative_l2,solve_wall_seconds,forward_calls,adjoint_calls,evaluator_forward_calls,q_a_positive_support_fraction,frozen_supported_count,support_voxel_count,data_dual_step,edge_dual_step,scalar_primal_step,diagonal_primal_step_min_positive,diagonal_primal_step_max,metric_content_sha256,final_primal_update_norm,maximum_resident_set_bytes
dev-6v-annular,2,annular_kernel,6,0.03,huber_gradient_1e-3,0.001,scalar,20,0.9865490198135376,0.9966655969619751,0.5512086749076843,0.9031175971031189,0.09895920904818922,20,20,1,0.6181851851851852,0,27000,0.018952979080123746,0.0020486621737026956,0.0018303316556376327,,,d409c64f8b3391f44349b636ca337bb54afa7333a40588b175326154ebab0dbf,1.3041367530822754,396722176
dev-6v-annular,2,annular_kernel,6,0.03,huber_gradient_1e-3,0.001,diagonal,20,0.9858567714691162,0.9976385235786438,0.5335768461227417,0.8981761336326599,0.10416312504094094,20,20,1,0.6181851851851852,0,27000,0.018952979080123746,0.0020486621737026956,,0.0018303316556376327,0.002704234069287559,d409c64f8b3391f44349b636ca337bb54afa7333a40588b175326154ebab0dbf,1.3677197694778442,396984320
dev-7v-shock,3,oblique_shock,7,0.04,data_only,0.0,scalar,20,0.9341624975204468,1.6849015951156616,0.4610711634159088,0.6895426511764526,0.09523708291817456,20,20,1,0.6525925925925926,9380,27000,0.017014008811578114,0.0020486621737026956,0.016843868723462337,,,93da14c7e2f2522830a04f9321d71866d1d9898907336f0fb27f22ec59274865,3.741262912750244,400539648
dev-7v-shock,3,oblique_shock,7,0.04,data_only,0.0,diagonal,20,2.497638702392578,11.00359058380127,0.23558904230594635,1.3224775791168213,0.09806874999776483,20,20,1,0.6525925925925926,9380,27000,0.017014008811578114,0.0020486621737026956,,0.016843868723462337,1287972.981489991,93da14c7e2f2522830a04f9321d71866d1d9898907336f0fb27f22ec59274865,21.668493270874023,400572416
dev-7v-shock,3,oblique_shock,7,0.04,huber_gradient_1e-3,0.001,scalar,20,0.974075973033905,1.0601259469985962,0.6130920648574829,0.8792452216148376,0.10421625000890344,20,20,1,0.6525925925925926,0,27000,0.017014008811578114,0.0020486621737026956,0.0018102078527828546,,,a448aa63eda02322e5430af70cfb6a8085011021b3cb56cf0c65c6e861a1efd1,1.6667311191558838,400588800
dev-7v-shock,3,oblique_shock,7,0.04,huber_gradient_1e-3,0.001,diagonal,20,0.972571074962616,1.071341872215271,0.5954521894454956,0.871884822845459,0.10498466598801315,20,20,1,0.6525925925925926,0,27000,0.017014008811578114,0.0020486621737026956,,0.0018102078527828546,0.002704234069287559,a448aa63eda02322e5430af70cfb6a8085011021b3cb56cf0c65c6e861a1efd1,1.758793592453003,400605184
dev-8v-vortex,4,vortex_pair,8,0.06,data_only,0.0,scalar,20,0.928931474685669,1.8294305801391602,0.4719756245613098,0.764959454536438,0.09319141693413258,20,20,1,0.6504074074074074,9439,27000,0.016613189665432418,0.0020486621737026956,0.016447057768778094,,,40add9a5cf8bf2ba79fef4d10fe8dadc7d50125e30c9147ae8a307d327a20b05,4.195430755615234,400605184
dev-8v-vortex,4,vortex_pair,8,0.06,data_only,0.0,diagonal,20,1.7567570209503174,6.892190456390381,0.19614464044570923,0.8850806355476379,0.09309462504461408,20,20,1,0.6504074074074074,9439,27000,0.016613189665432418,0.0020486621737026956,,0.016447057768778094,195101.89776678497,40add9a5cf8bf2ba79fef4d10fe8dadc7d50125e30c9147ae8a307d327a20b05,15.409849166870117,400621568
dev-8v-vortex,4,vortex_pair,8,0.06,huber_gradient_1e-3,0.001,scalar,20,0.9662756323814392,1.0662591457366943,0.612899661064148,0.8984161019325256,0.09926645806990564,20,20,1,0.6504074074074074,0,27000,0.016613189665432418,0.0020486621737026956,0.0018055263437972036,,,28805396997a137dcadb58139f9d084ad8fbf5ba8052d0f141f67e96f459f357,1.9012527465820312,400621568
dev-8v-vortex,4,vortex_pair,8,0.06,huber_gradient_1e-3,0.001,diagonal,20,0.9640011787414551,1.0803247690200806,0.588503360748291,0.8911882638931274,0.1035845410078764,20,20,1,0.6504074074074074,0,27000,0.016613189665432418,0.0020486621737026956,,0.0018055263437972036,0.002704234069287559,28805396997a137dcadb58139f9d084ad8fbf5ba8052d0f141f67e96f459f357,2.0284416675567627,400703488
dev-9v-multiplume,5,multi_plume,9,0.02,data_only,0.0,scalar,20,0.9254831075668335,1.8002874851226807,0.46627625823020935,,0.09526570804882795,20,20,1,0.686,8478,27000,0.015623645248751542,0.0020486621737026956,0.015467408796264029,,,f089f7b0135d57a062ef9c53c80594b44909e556df4b35e625ba7585f7a8af31,4.227219581604004,400785408
dev-9v-multiplume,5,multi_plume,9,0.02,data_only,0.0,diagonal,20,1.6355905532836914,6.441622257232666,0.24949437379837036,,0.0932214999338612,20,20,1,0.686,8478,27000,0.015623645248751542,0.0020486621737026956,,0.015467408796264029,925776.7747502325,f089f7b0135d57a062ef9c53c80594b44909e556df4b35e625ba7585f7a8af31,16.409223556518555,400785408
dev-9v-multiplume,5,multi_plume,9,0.02,huber_gradient_1e-3,0.001,scalar,20,0.9669840335845947,1.066476821899414,0.6203723549842834,,0.10282216710038483,20,20,1,0.686,0,27000,0.015623645248751542,0.0020486621737026956,0.0017930593084772102,,,a25a877d1edae9c6190a8efb5fc11688865c62af020c7d3af08ab21a0018b25c,1.8677910566329956,400801792
dev-9v-multiplume,5,multi_plume,9,0.02,huber_gradient_1e-3,0.001,diagonal,20,0.9648948907852173,1.079367995262146,0.5991554856300354,,0.10737341607455164,20,20,1,0.686,0,27000,0.015623645248751542,0.0020486621737026956,,0.0017930593084772102,0.002704234069287559,a25a877d1edae9c6190a8efb5fc11688865c62af020c7d3af08ab21a0018b25c,1.9845232963562012,400801792
