case_id,objective_id,data_majorizer_seconds,diagonal_metric_seconds,data_norm_squared_upper,gradient_norm_squared_upper,q_a_positive_support_fraction,active_primal_count,frozen_supported_count,support_voxel_count,metric_content_sha256,setup_forward_calls,setup_adjoint_calls,absolute_forward_calls,absolute_adjoint_calls
dev-4v-plume,data_only,0.004276541993021965,0.0017833749298006296,2170.0883313192376,238264.47951301717,0.4928518518518519,13307,13693,27000,6a745ee3247b784bcb9d43cb2f39fabe7e6ad483712f3b63416cf14e2732983e,0,0,1,1
dev-4v-plume,huber_gradient_1e-3,0.004276541993021965,0.00125345797277987,2170.0883313192376,238264.47951301717,0.4928518518518519,27000,0,27000,f44ecb59c5b4d7328bceb0b977fbf4dca249572407292eade8c583471e9dfb02,0,0,1,1
dev-5v-thin,data_only,0.0036559579893946648,0.001449999981559813,2752.1710196735685,238264.47951301717,0.6241481481481481,16852,10148,27000,a360f68d461238bb3345024fc8790f472dc3c1d39d9f2607aac6756d866c687b,0,0,1,1
dev-5v-thin,huber_gradient_1e-3,0.0036559579893946648,0.0016217910451814532,2752.1710196735685,238264.47951301717,0.6241481481481481,27000,0,27000,6b61aaf9e9acef71c6957face5329504ee6b286c58c45481d37561043f47441e,0,0,1,1
dev-6v-annular,data_only,0.003243749961256981,0.0013361249584704638,2783.844889239621,238264.47951301717,0.6181851851851852,16691,10309,27000,7f1a70a72a4d3bc39728662fdf68814166a0e0db7809df332fe65a22c63140eb,0,0,1,1
dev-6v-annular,huber_gradient_1e-3,0.003243749961256981,0.0012759589590132236,2783.844889239621,238264.47951301717,0.6181851851851852,27000,0,27000,d409c64f8b3391f44349b636ca337bb54afa7333a40588b175326154ebab0dbf,0,0,1,1
dev-7v-shock,data_only,0.005493625067174435,0.0011887920554727316,3454.5119012050654,238264.47951301717,0.6525925925925926,17620,9380,27000,93da14c7e2f2522830a04f9321d71866d1d9898907336f0fb27f22ec59274865,0,0,1,1
dev-7v-shock,huber_gradient_1e-3,0.005493625067174435,0.0013466660166159272,3454.5119012050654,238264.47951301717,0.6525925925925926,27000,0,27000,a448aa63eda02322e5430af70cfb6a8085011021b3cb56cf0c65c6e861a1efd1,0,0,1,1
dev-8v-vortex,data_only,0.0033730000723153353,0.0011751250131055713,3623.213730753171,238264.47951301717,0.6504074074074074,17561,9439,27000,40add9a5cf8bf2ba79fef4d10fe8dadc7d50125e30c9147ae8a307d327a20b05,0,0,1,1
dev-8v-vortex,huber_gradient_1e-3,0.0033730000723153353,0.001387416967190802,3623.213730753171,238264.47951301717,0.6504074074074074,27000,0,27000,28805396997a137dcadb58139f9d084ad8fbf5ba8052d0f141f67e96f459f357,0,0,1,1
dev-9v-multiplume,data_only,0.003071291954256594,0.0013506670948117971,4096.710372209469,238264.47951301717,0.686,18522,8478,27000,f089f7b0135d57a062ef9c53c80594b44909e556df4b35e625ba7585f7a8af31,0,0,1,1
dev-9v-multiplume,huber_gradient_1e-3,0.003071291954256594,0.0013315420364961028,4096.710372209469,238264.47951301717,0.686,27000,0,27000,a25a877d1edae9c6190a8efb5fc11688865c62af020c7d3af08ab21a0018b25c,0,0,1,1
