replicate,split,sample_index,reaction_family,selected_stage,field_gain_vs_component_s3_k4_percent,gradient_gain_vs_component_s3_k4_percent,front_gain_vs_component_s3_k4
0,selection,0,plume,5,14.237961312153532,12.713555467899592,0.02439028024673462
0,selection,1,wavy_front,5,18.464512474283598,15.194511547009373,0.08780485391616821
0,selection,2,thin_front,4,1.61052218638849,1.2946088248789376,0.0024390220642089844
0,selection,3,double_front,5,-1.7745025209123637,8.880156552588833,0.10243898630142212
0,selection,4,annular_kernel,4,0.18536212544482555,0.16849068790206986,-0.004878044128417969
0,selection,5,oblique_shock,4,0.031418575853618506,0.02985768615332438,0.0
0,selection,6,vortex_pair,5,12.448856923633604,11.465325740729309,0.06585365533828735
0,selection,7,multi_plume,4,0.9949628165074669,1.018191873034527,0.036585330963134766
1,selection,0,plume,5,10.802322533866437,10.919999839458985,0.014634132385253906
1,selection,1,wavy_front,5,9.057184887507246,8.918974963308896,0.060975611209869385
1,selection,2,thin_front,4,0.8178989629822973,0.8704068469437387,0.007317066192626953
1,selection,3,double_front,4,2.568653992580358,2.5197857762137303,0.029268264770507812
1,selection,4,annular_kernel,3,2.260455315878919,1.004110675509847,0.02721548080444336
1,selection,5,oblique_shock,4,1.090533616609945,0.9012792738280756,0.0
1,selection,6,vortex_pair,4,1.5345804073606466,1.2195450770249832,0.004878044128417969
1,selection,7,multi_plume,4,1.4410261356645129,1.2574612187199166,0.012195110321044922
2,selection,0,plume,4,2.988049988596953,1.7993436833115812,-0.002439141273498535
2,selection,1,wavy_front,4,1.6929662769433689,1.8681309255695426,0.007317066192626953
2,selection,2,thin_front,4,1.0924161939772186,1.350489464991298,0.007317066192626953
2,selection,3,double_front,5,10.633358321767568,8.30246095439434,0.06829267740249634
2,selection,4,annular_kernel,4,-0.11699514519161335,0.04129748841835975,-0.007317066192626953
2,selection,5,oblique_shock,4,2.4993764632590665,1.8406345986548582,0.0
2,selection,6,vortex_pair,3,-1.38109579814637,-0.9093949134518824,0.026829242706298828
2,selection,7,multi_plume,4,1.3034701240472983,1.4705600377010593,0.01707315444946289
3,selection,0,plume,5,8.31475400548581,9.796590616616802,0.024390220642089844
3,selection,1,wavy_front,4,2.607685940831032,1.4173956472521863,0.0
3,selection,2,thin_front,5,6.552075508299253,8.137020569159999,0.03902438282966614
3,selection,3,double_front,5,8.184804636968936,5.753914684993889,0.03414636850357056
3,selection,4,annular_kernel,3,2.5262968279388334,0.7189083590126483,-0.012195080518722534
3,selection,5,oblique_shock,4,1.8836495189763092,1.5633633456205367,0.014634132385253906
3,selection,6,vortex_pair,4,2.407740350665784,2.4585444683565503,0.012195110321044922
3,selection,7,multi_plume,4,2.6472315046326074,2.7306599221712595,0.04146340489387512
4,selection,0,plume,5,10.265759083201035,8.246579647124456,0.017073214054107666
