partition,base_seed,family,case_id,geometry_digest,candidate_id,field_relative_l2,h1_seminorm_relative_l2,field_mean_bias,data_residual_relative_l2,fallback,fallback_reason,takeover,evaluator_only,basis_rank,warm_forward_calls,warm_adjoint_calls,warm_projection_forward_calls,setup_forward_calls,setup_adjoint_calls,refine_forward_calls,refine_adjoint_calls,low_forward_calls,low_adjoint_calls,high_order_forward_calls,high_order_adjoint_calls,shared_warm_seconds,deployment_setup_seconds,candidate_refine_seconds,end_to_end_seconds,coefficient_norm,coefficient_radius,coefficient_clipped,projection_target_residual_ratio,coefficient_evaluator_forward_calls,coefficient_evaluator_adjoint_calls,frozen_source_candidate_id,evaluator_search_forward_calls,evaluator_search_adjoint_calls,evaluator_search_unique_evaluations,high_order_teacher_setup_seconds
calibration,1277,single_interface,0df2064d6e220a501cc4,c4cf361ae43294f9cb375ade50ea866adb04e2f825bfefa2fb76e06cb0b45817,measurement_projection_oracle,0.6984141618202919,1.1114974221741436,0.0054245600021479365,0.0013498403205090689,False,,True,True,4,12,12,1,2,2,10,10,25,24,0,0,0.003760625026188791,0.0006032919627614319,0.0029550420003943145,0.007318958989344537,0.2652869466882673,0.2652869466882673,True,0.814036172407332,0,0,,,,,
calibration,1277,single_interface,0df2064d6e220a501cc4,c4cf361ae43294f9cb375ade50ea866adb04e2f825bfefa2fb76e06cb0b45817,adjoint_projection_oracle,0.6985520424257607,1.1079610538703635,0.005434434501168255,0.001458997868942939,False,,True,True,4,12,12,1,2,2,10,10,25,24,0,0,0.003760625026188791,0.0006032919627614319,0.003297041985206306,0.007660958974156529,0.2652869466882673,0.2652869466882673,True,0.8146745550551365,0,5,,,,,
calibration,1277,single_interface,0df2064d6e220a501cc4,c4cf361ae43294f9cb375ade50ea866adb04e2f825bfefa2fb76e06cb0b45817,frozen_global_pca_rank4_probe_tax_oracle,0.6977352540334902,1.1152017026935133,0.005324222243170595,0.0019124013726850102,False,,True,True,4,12,12,1,2,2,10,10,25,24,0,0,0.003760625026188791,0.0006032919627614319,0.0029561659903265536,0.007320082979276776,0.2652869466882673,0.2652869466882673,True,0.621008575574339,,,adjlr_camera_r4_tl21em02_a1e00_s1p0,,,,
calibration,1277,single_interface,0df2064d6e220a501cc4,c4cf361ae43294f9cb375ade50ea866adb04e2f825bfefa2fb76e06cb0b45817,truth_conditioned_finite_k_oracle_search,0.6983796676128915,1.1137701309809342,0.005421687331954085,0.0012810407860811834,False,,True,True,4,12,12,1,2,2,10,10,25,24,0,0,0.003760625026188791,0.0006032919627614319,0.0032445830292999744,0.007608500018250197,0.26528694668826736,0.2652869466882673,,,,,,2770,2770,277,
calibration,1277,single_interface,0df2064d6e220a501cc4,c4cf361ae43294f9cb375ade50ea866adb04e2f825bfefa2fb76e06cb0b45817,exact_mismatch_refine12_oracle,0.6962397454789389,1.1237718457144008,0.005273699929575783,0.0010477096386643258,False,,True,True,,12,12,1,0,0,12,12,25,24,0,0,0.003760625026188791,0.0,0.0033265419770032167,0.0070871670031920075,,,,,,,,,,,
calibration,1277,single_interface,0df2064d6e220a501cc4,c4cf361ae43294f9cb375ade50ea866adb04e2f825bfefa2fb76e06cb0b45817,exact_mismatch_oracle,0.6962444905126912,1.1238742014845,0.005278495504161846,0.0015517986819339404,False,,True,True,4,12,12,1,2,2,10,10,25,24,0,0,0.003760625026188791,0.0006032919627614319,0.0030136670102365315,0.007377583999186754,,,,,,,,,,,
calibration,1277,single_interface,0df2064d6e220a501cc4,c4cf361ae43294f9cb375ade50ea866adb04e2f825bfefa2fb76e06cb0b45817,high_order_teacher_b0p75,0.6997885219148394,1.0824720441367648,0.0054642139347188074,0.0014691644676732695,False,,True,True,4,12,12,1,2,2,10,10,25,24,1,0,0.003760625026188791,0.0006032919627614319,0.002878250030335039,0.007242167019285262,,,,,,,,,,,0.00016412499826401472
calibration,1289,smooth_no_interface,053736d143b5a7f2878b,704fc49a3f795cf1f66e57049cc9760fdc462df788998b91a2eba1496b8e47f9,low_cgls24_matched,0.5604475660738483,1.2220526739412427,0.018417952099600985,0.0019754115477754342,False,,True,False,,0,0,0,0,0,25,24,25,24,0,0,0.0,0.0,0.007951790990773588,0.007951790990773588,,,,,,,,,,,
calibration,1289,smooth_no_interface,053736d143b5a7f2878b,704fc49a3f795cf1f66e57049cc9760fdc462df788998b91a2eba1496b8e47f9,component_damping,0.5511086248828708,1.061648956492642,0.019509269203770156,0.0038119070986515143,False,,True,False,,12,12,1,0,0,12,12,25,24,0,0,0.003877166018355638,0.0,0.003784708969760686,0.007661874988116324,,,,,,,,,,,
calibration,1289,smooth_no_interface,053736d143b5a7f2878b,704fc49a3f795cf1f66e57049cc9760fdc462df788998b91a2eba1496b8e47f9,krylov_schedule_damping_anchor,0.5513030256652385,1.0613638085176482,0.019511668504743205,0.0045115459061611605,False,,True,False,4,12,12,1,2,2,10,10,25,24,0,0,0.003877166018355638,0.0006280000088736415,0.00283858401235193,0.007343750039581209,,,,,,,,,,,
calibration,1289,smooth_no_interface,053736d143b5a7f2878b,704fc49a3f795cf1f66e57049cc9760fdc462df788998b91a2eba1496b8e47f9,measurement_projection_oracle,0.5484370433242213,1.108319326063327,0.01906057552171571,0.006119113645803494,False,,True,True,4,12,12,1,2,2,10,10,25,24,0,0,0.003877166018355638,0.0006280000088736415,0.003167708055116236,0.0076728740823455155,0.5950285818501384,0.6031269182160922,False,0.8114871795527262,0,0,,,,,
calibration,1289,smooth_no_interface,053736d143b5a7f2878b,704fc49a3f795cf1f66e57049cc9760fdc462df788998b91a2eba1496b8e47f9,adjoint_projection_oracle,0.5491626267344687,1.104633065822362,0.019089706129509314,0.003910648640501251,False,,True,True,4,12,12,1,2,2,10,10,25,24,0,0,0.003877166018355638,0.0006280000088736415,0.002827540971338749,0.007332706998568028,0.5565781375540116,0.6031269182160922,False,0.8698516395114304,0,5,,,,,
calibration,1289,smooth_no_interface,053736d143b5a7f2878b,704fc49a3f795cf1f66e57049cc9760fdc462df788998b91a2eba1496b8e47f9,frozen_global_pca_rank4_probe_tax_oracle,0.5463433293400949,1.1147350950204598,0.018818117672166273,0.005833379430456277,False,,True,True,4,12,12,1,2,2,10,10,25,24,0,0,0.003877166018355638,0.0006280000088736415,0.0031254999921657145,0.007630666019394994,0.6031269182160923,0.6031269182160922,True,0.2722078233343201,,,adjlr_camera_r4_tl21em02_a1e00_s1p0,,,,
calibration,1289,smooth_no_interface,053736d143b5a7f2878b,704fc49a3f795cf1f66e57049cc9760fdc462df788998b91a2eba1496b8e47f9,truth_conditioned_finite_k_oracle_search,0.5480965313237421,1.1105625562520733,0.019073062089614696,0.008135933444434026,False,,True,True,4,12,12,1,2,2,10,10,25,24,0,0,0.003877166018355638,0.0006280000088736415,0.0029920829692855477,0.007497248996514827,0.5798491061173591,0.6031269182160922,,,,,,2880,2880,288,
calibration,1289,smooth_no_interface,053736d143b5a7f2878b,704fc49a3f795cf1f66e57049cc9760fdc462df788998b91a2eba1496b8e47f9,exact_mismatch_refine12_oracle,0.5454539298225526,1.1209284134190152,0.018751498213616345,0.004018038865869919,False,,True,True,,12,12,1,0,0,12,12,25,24,0,0,0.003877166018355638,0.0,0.0034940409823320806,0.007371207000687718,,,,,,,,,,,
calibration,1289,smooth_no_interface,053736d143b5a7f2878b,704fc49a3f795cf1f66e57049cc9760fdc462df788998b91a2eba1496b8e47f9,exact_mismatch_oracle,0.545756194485595,1.119705528271352,0.018738616020465143,0.005676166383944737,False,,True,True,4,12,12,1,2,2,10,10,25,24,0,0,0.003877166018355638,0.0006280000088736415,0.0028595830081030726,0.007364749035332352,,,,,,,,,,,
calibration,1289,smooth_no_interface,053736d143b5a7f2878b,704fc49a3f795cf1f66e57049cc9760fdc462df788998b91a2eba1496b8e47f9,high_order_teacher_b0p75,0.5491764573027587,1.083987837357677,0.019328052627746065,0.006244204383602734,False,,True,True,4,12,12,1,2,2,10,10,25,24,1,0,0.003877166018355638,0.0006280000088736415,0.003026916994713247,0.007532083021942526,,,,,,,,,,,0.0001765830093063414
calibration,1289,single_interface,a40d33fc9a6be98e818c,704fc49a3f795cf1f66e57049cc9760fdc462df788998b91a2eba1496b8e47f9,low_cgls24_matched,0.7307348521391119,1.216391421806321,0.002152353952018137,0.0007913043715552694,False,,True,False,,0,0,0,0,0,25,24,25,24,0,0,0.0,0.0,0.007797166996169835,0.007797166996169835,,,,,,,,,,,
calibration,1289,single_interface,a40d33fc9a6be98e818c,704fc49a3f795cf1f66e57049cc9760fdc462df788998b91a2eba1496b8e47f9,component_damping,0.704392513261388,1.0977051984898063,0.002194271801671462,0.0014251771783628762,False,,True,False,,12,12,1,0,0,12,12,25,24,0,0,0.0041411659913137555,0.0,0.0038543340051546693,0.007995499996468425,,,,,,,,,,,
calibration,1289,single_interface,a40d33fc9a6be98e818c,704fc49a3f795cf1f66e57049cc9760fdc462df788998b91a2eba1496b8e47f9,krylov_schedule_damping_anchor,0.7043794272127039,1.0976260815811827,0.002192822729517786,0.0020326252371293064,False,,True,False,4,12,12,1,2,2,10,10,25,24,0,0,0.0041411659913137555,0.0010389999952167273,0.00279391702497378,0.007974083011504263,,,,,,,,,,,
calibration,1289,single_interface,a40d33fc9a6be98e818c,704fc49a3f795cf1f66e57049cc9760fdc462df788998b91a2eba1496b8e47f9,measurement_projection_oracle,0.7022842869572211,1.0881104253391802,0.0022002663189535443,0.0017128624428592188,False,,True,True,4,12,12,1,2,2,10,10,25,24,0,0,0.0041411659913137555,0.0010389999952167273,0.0029423339874483645,0.008122499973978847,0.4488528178898166,0.4488528178898167,True,0.8172086988437526,0,0,,,,,
calibration,1289,single_interface,a40d33fc9a6be98e818c,704fc49a3f795cf1f66e57049cc9760fdc462df788998b91a2eba1496b8e47f9,adjoint_projection_oracle,0.7031161057114506,1.0922246094033699,0.0022010940459924752,0.0020963854639546274,False,,True,True,4,12,12,1,2,2,10,10,25,24,0,0,0.0041411659913137555,0.0010389999952167273,0.0033976659760810435,0.008577831962611526,0.4488528178898167,0.4488528178898167,True,0.7778347771211508,0,5,,,,,
