partition,base_seed,family,case_id,geometry_digest,candidate_id,measurement_residual_ratio_to_component_damping,measurement_residual_gain_over_component_damping,adjoint_residual_ratio_to_component_damping,adjoint_residual_gain_over_component_damping,fresh_exact_mismatch_access,evaluator_only,evaluator_forward_calls,evaluator_adjoint_calls
calibration,1277,smooth_no_interface,9b8d0afa66c626630d5d,c4cf361ae43294f9cb375ade50ea866adb04e2f825bfefa2fb76e06cb0b45817,measurement_projection_oracle,0.8825121693529198,0.11748783064708024,0.8525824878447391,0.1474175121552609,True,True,0,2
calibration,1277,smooth_no_interface,9b8d0afa66c626630d5d,c4cf361ae43294f9cb375ade50ea866adb04e2f825bfefa2fb76e06cb0b45817,adjoint_projection_oracle,0.8832377587181008,0.11676224128189916,0.852288393032337,0.14771160696766295,True,True,0,2
calibration,1277,smooth_no_interface,9b8d0afa66c626630d5d,c4cf361ae43294f9cb375ade50ea866adb04e2f825bfefa2fb76e06cb0b45817,frozen_global_pca_rank4_probe_tax_oracle,0.49904710689748405,0.500952893102516,0.41168275116966624,0.5883172488303338,True,True,0,2
calibration,1277,smooth_no_interface,9b8d0afa66c626630d5d,c4cf361ae43294f9cb375ade50ea866adb04e2f825bfefa2fb76e06cb0b45817,truth_conditioned_finite_k_oracle_search,0.8848228006350853,0.11517719936491466,0.8525114110544663,0.14748858894553374,True,True,0,2
calibration,1277,smooth_no_interface,9b8d0afa66c626630d5d,c4cf361ae43294f9cb375ade50ea866adb04e2f825bfefa2fb76e06cb0b45817,exact_mismatch_refine12_oracle,0.0,1.0,0.0,1.0,True,True,0,2
calibration,1277,smooth_no_interface,9b8d0afa66c626630d5d,c4cf361ae43294f9cb375ade50ea866adb04e2f825bfefa2fb76e06cb0b45817,exact_mismatch_oracle,0.0,1.0,0.0,1.0,True,True,0,2
calibration,1277,smooth_no_interface,9b8d0afa66c626630d5d,c4cf361ae43294f9cb375ade50ea866adb04e2f825bfefa2fb76e06cb0b45817,high_order_teacher_b0p75,0.7834870857091774,0.21651291429082264,0.790413807449862,0.209586192550138,True,True,0,2
calibration,1277,single_interface,0df2064d6e220a501cc4,c4cf361ae43294f9cb375ade50ea866adb04e2f825bfefa2fb76e06cb0b45817,measurement_projection_oracle,0.814036172407332,0.18596382759266805,0.8240159619326608,0.1759840380673392,True,True,0,2
calibration,1277,single_interface,0df2064d6e220a501cc4,c4cf361ae43294f9cb375ade50ea866adb04e2f825bfefa2fb76e06cb0b45817,adjoint_projection_oracle,0.8244670678832737,0.17553293211672627,0.8146745550551365,0.18532544494486347,True,True,0,2
calibration,1277,single_interface,0df2064d6e220a501cc4,c4cf361ae43294f9cb375ade50ea866adb04e2f825bfefa2fb76e06cb0b45817,frozen_global_pca_rank4_probe_tax_oracle,0.621008575574339,0.378991424425661,0.6053262759355832,0.3946737240644168,True,True,0,2
calibration,1277,single_interface,0df2064d6e220a501cc4,c4cf361ae43294f9cb375ade50ea866adb04e2f825bfefa2fb76e06cb0b45817,truth_conditioned_finite_k_oracle_search,0.8206395207884809,0.1793604792115191,0.8451553780639647,0.15484462193603532,True,True,0,2
calibration,1277,single_interface,0df2064d6e220a501cc4,c4cf361ae43294f9cb375ade50ea866adb04e2f825bfefa2fb76e06cb0b45817,exact_mismatch_refine12_oracle,0.0,1.0,0.0,1.0,True,True,0,2
calibration,1277,single_interface,0df2064d6e220a501cc4,c4cf361ae43294f9cb375ade50ea866adb04e2f825bfefa2fb76e06cb0b45817,exact_mismatch_oracle,0.0,1.0,0.0,1.0,True,True,0,2
calibration,1277,single_interface,0df2064d6e220a501cc4,c4cf361ae43294f9cb375ade50ea866adb04e2f825bfefa2fb76e06cb0b45817,high_order_teacher_b0p75,1.1824895004772078,-0.1824895004772078,1.1372065622704302,-0.13720656227043015,True,True,0,2
calibration,1289,smooth_no_interface,053736d143b5a7f2878b,704fc49a3f795cf1f66e57049cc9760fdc462df788998b91a2eba1496b8e47f9,measurement_projection_oracle,0.8114871795527262,0.1885128204472738,0.8706461905608185,0.1293538094391815,True,True,0,2
calibration,1289,smooth_no_interface,053736d143b5a7f2878b,704fc49a3f795cf1f66e57049cc9760fdc462df788998b91a2eba1496b8e47f9,adjoint_projection_oracle,0.8143621804551098,0.18563781954489023,0.8698516395114304,0.1301483604885696,True,True,0,2
