candidate_id,solver_kind,mean_policy,whitening_policy,stress,row_count,field_gain_to_huber_mean,h1_gain_to_huber_mean,field_harm_rate_vs_huber,worst_field_gain_to_huber,clean_reprojection_ratio_to_cgls_mean,clean_reprojection_ratio_to_cgls_maximum,minimum_family_mean_field_gain_to_huber,family_mean_field_gains_to_huber_json,exact_call_budget_all_rows
adaptive_edge_warm__l0p05__q0p7__wmin0p05,adaptive_edge_warm_huber_measurement_pdhg,estimated,structured_flowoff,nominal,12,-0.019765942092727938,-0.09129201394234869,0.4166666666666667,-0.16530892076414974,1.7409800064606114,4.709769740335609,-0.04832616621477743,"{""single_interface"":-0.04832616621477743,""smooth_no_interface"":0.00879428202932156}",True
adaptive_edge_warm__l0p05__q0p7__wmin0p05,adaptive_edge_warm_huber_measurement_pdhg,estimated,structured_flowoff,sparse_flowon_outlier,12,-0.020463571194457505,-0.09225128494004757,0.4166666666666667,-0.1643039459875551,1.5218120348652902,3.8426335813957953,-0.048647556884240356,"{""single_interface"":-0.048647556884240356,""smooth_no_interface"":0.007720414495325345}",True
adaptive_edge_warm__l0p05__q0p7__wmin0p2,adaptive_edge_warm_huber_measurement_pdhg,estimated,structured_flowoff,nominal,12,-0.014248589786605854,-0.08580724640766545,0.4166666666666667,-0.16141991376518436,1.7415998805947694,4.709564080304764,-0.04408293922342868,"{""single_interface"":-0.04408293922342868,""smooth_no_interface"":0.015585759650216975}",True
adaptive_edge_warm__l0p05__q0p7__wmin0p2,adaptive_edge_warm_huber_measurement_pdhg,estimated,structured_flowoff,sparse_flowon_outlier,12,-0.014947836425411245,-0.086768775115915,0.4166666666666667,-0.16040994148273185,1.522253299636742,3.8424466239689123,-0.04439759691051844,"{""single_interface"":-0.04439759691051844,""smooth_no_interface"":0.01450192405969595}",True
adaptive_edge_warm__l0p05__q0p7__wmin0p5,adaptive_edge_warm_huber_measurement_pdhg,estimated,structured_flowoff,nominal,12,-0.0033987273957189943,-0.07503672116770292,0.3333333333333333,-0.15373415300717,1.7430789447449138,4.7094030488477765,-0.03571925367153816,"{""single_interface"":-0.03571925367153816,""smooth_no_interface"":0.028921798880100172}",True
adaptive_edge_warm__l0p05__q0p7__wmin0p5,adaptive_edge_warm_huber_measurement_pdhg,estimated,structured_flowoff,sparse_flowon_outlier,12,-0.004101147536419934,-0.07600291644923877,0.3333333333333333,-0.15271812449431144,1.5233076677189823,3.8423072402340015,-0.036022212780920354,"{""single_interface"":-0.036022212780920354,""smooth_no_interface"":0.027819917708080486}",True
adaptive_edge_warm__l0p05__q0p85__wmin0p05,adaptive_edge_warm_huber_measurement_pdhg,estimated,structured_flowoff,nominal,12,-0.01148109620644823,-0.08302076968082513,0.3333333333333333,-0.15897330498729467,1.7401648035090822,4.700141851459646,-0.04236134060109634,"{""single_interface"":-0.04236134060109634,""smooth_no_interface"":0.019399148188199874}",True
adaptive_edge_warm__l0p05__q0p85__wmin0p05,adaptive_edge_warm_huber_measurement_pdhg,estimated,structured_flowoff,sparse_flowon_outlier,12,-0.012173594884307986,-0.08398436275639193,0.3333333333333333,-0.1579639630616026,1.5210861116439327,3.8348290679986774,-0.04260693051550115,"{""single_interface"":-0.04260693051550115,""smooth_no_interface"":0.018259740746885175}",True
adaptive_edge_warm__l0p05__q0p85__wmin0p2,adaptive_edge_warm_huber_measurement_pdhg,estimated,structured_flowoff,nominal,12,-0.007341543465393113,-0.0789156518820797,0.3333333333333333,-0.1561242970184501,1.7410049848523588,4.701589782180334,-0.039104487540078746,"{""single_interface"":-0.039104487540078746,""smooth_no_interface"":0.02442140060929252}",True
adaptive_edge_warm__l0p05__q0p85__wmin0p2,adaptive_edge_warm_huber_measurement_pdhg,estimated,structured_flowoff,sparse_flowon_outlier,12,-0.008036195036073215,-0.07988051616375019,0.3333333333333333,-0.15511213078897254,1.521709184615763,3.836003472480386,-0.03935628224018228,"{""single_interface"":-0.03935628224018228,""smooth_no_interface"":0.02328389216803585}",True
