case_id,source_case_id,session_id,stress,outlier_component_count,outlier_uses_truth
170f9e9fcd7f86632b9a,170f9e9fcd7f86632b9a,development:2101:d7d9a77030834a1d,nominal,0,False
170f9e9fcd7f86632b9a:stress=sparse-flowon-outlier,170f9e9fcd7f86632b9a,development:2101:d7d9a77030834a1d,sparse_flowon_outlier,3,False
8b2a49fe20fc05cac560,8b2a49fe20fc05cac560,development:2101:d7d9a77030834a1d,nominal,0,False
8b2a49fe20fc05cac560:stress=sparse-flowon-outlier,8b2a49fe20fc05cac560,development:2101:d7d9a77030834a1d,sparse_flowon_outlier,3,False
36e24ef303fb2d4db2a3,36e24ef303fb2d4db2a3,development:2113:ec64a4d4fb310d8d,nominal,0,False
36e24ef303fb2d4db2a3:stress=sparse-flowon-outlier,36e24ef303fb2d4db2a3,development:2113:ec64a4d4fb310d8d,sparse_flowon_outlier,3,False
4c92c2ef87bc928ef64b,4c92c2ef87bc928ef64b,development:2113:ec64a4d4fb310d8d,nominal,0,False
4c92c2ef87bc928ef64b:stress=sparse-flowon-outlier,4c92c2ef87bc928ef64b,development:2113:ec64a4d4fb310d8d,sparse_flowon_outlier,3,False
b27fa425bb441ae340c6,b27fa425bb441ae340c6,development:2129:36bb2dcd6e5ff7a5,nominal,0,False
b27fa425bb441ae340c6:stress=sparse-flowon-outlier,b27fa425bb441ae340c6,development:2129:36bb2dcd6e5ff7a5,sparse_flowon_outlier,3,False
c65caca6cf2b92f5476f,c65caca6cf2b92f5476f,development:2129:36bb2dcd6e5ff7a5,nominal,0,False
c65caca6cf2b92f5476f:stress=sparse-flowon-outlier,c65caca6cf2b92f5476f,development:2129:36bb2dcd6e5ff7a5,sparse_flowon_outlier,3,False
b2ef23daecf0fc234b7a,b2ef23daecf0fc234b7a,development:2141:3af6026bc2086d33,nominal,0,False
b2ef23daecf0fc234b7a:stress=sparse-flowon-outlier,b2ef23daecf0fc234b7a,development:2141:3af6026bc2086d33,sparse_flowon_outlier,3,False
f26277e1a7fdedd89643,f26277e1a7fdedd89643,development:2141:3af6026bc2086d33,nominal,0,False
f26277e1a7fdedd89643:stress=sparse-flowon-outlier,f26277e1a7fdedd89643,development:2141:3af6026bc2086d33,sparse_flowon_outlier,3,False
8b5315772ec96d8f624e,8b5315772ec96d8f624e,development:2153:60ee21e822fc2128,nominal,0,False
8b5315772ec96d8f624e:stress=sparse-flowon-outlier,8b5315772ec96d8f624e,development:2153:60ee21e822fc2128,sparse_flowon_outlier,3,False
d9f37f281d7e747279f0,d9f37f281d7e747279f0,development:2153:60ee21e822fc2128,nominal,0,False
d9f37f281d7e747279f0:stress=sparse-flowon-outlier,d9f37f281d7e747279f0,development:2153:60ee21e822fc2128,sparse_flowon_outlier,3,False
6d9222ba5953629c05f9,6d9222ba5953629c05f9,development:2161:7ae13d5a74d37c97,nominal,0,False
6d9222ba5953629c05f9:stress=sparse-flowon-outlier,6d9222ba5953629c05f9,development:2161:7ae13d5a74d37c97,sparse_flowon_outlier,3,False
a994755ef2379015ae21,a994755ef2379015ae21,development:2161:7ae13d5a74d37c97,nominal,0,False
a994755ef2379015ae21:stress=sparse-flowon-outlier,a994755ef2379015ae21,development:2161:7ae13d5a74d37c97,sparse_flowon_outlier,3,False
