method,rel_l2,cc,ssim,psnr
voxel/tomography baseline,0.11330595593971954,0.9800518351027903,0.980099894571433,28.35358296917093
coordinate-field inverse,0.10790265420319238,0.9819261439268996,0.9819859953619083,28.777995200245236
