views,baseline_l2,coord_l2
3,0.3500087954541491,0.5553586758412548
5,0.2305141562787129,0.3320068478008964
7,0.1291012060850975,0.16797407770343586
9,0.11330595593971954,0.10790265420319238
13,0.09892505436860742,0.09168647166427099
