source_split,method,method_label,sample_count,geometry_count,maximum_iterations_per_sample,operator_a_calls_per_sample,operator_at_calls_per_sample,fno_sample_forwards,fno_actual_batch_calls,ridge_inverse_solve_count,ridge_matvec_count,initialization_runtime_seconds,refinement_runtime_seconds,evaluation_metric_forward_calls_excluded
test_joint_ood,locked_fno_raw,Locked FNO (raw),128,4,0,0,0,128,8,0,0,1.271885875001317,0.0,True
test_joint_ood,feasible_fno,FNO + hard support,128,4,0,0,0,128,8,0,0,1.271885875001317,0.0,True
test_joint_ood,ridge_raw,Tuned ridge (unwindowed),128,4,0,0,0,0,0,4,128,0.0009053749963641167,0.0,True
test_joint_ood,feasible_ridge,Tuned ridge + hard support,128,4,0,0,0,0,0,4,128,0.0010271249921061099,0.0,True
test_joint_ood,fno_geometry,FNO + geometry-normalized Landweber,128,4,64,64,64,128,8,0,0,1.271885875001317,0.05973574999370612,True
test_joint_ood,fno_global,FNO + one global Landweber step,128,4,64,64,64,128,8,0,0,1.271885875001317,0.05799666699022055,True
test_joint_ood,fno_quadratic,FNO + quadratic step then projection,128,4,64,129,64,128,8,0,0,1.271885875001317,0.1095118340163026,True
test_joint_ood,fno_lookup,FNO + validation-tuned spectral lookup,128,4,64,64,64,128,8,0,0,1.271885875001317,0.06428862499888055,True
test_joint_ood,ridge_geometry,Ridge + geometry-normalized Landweber,128,4,64,64,64,0,0,4,128,0.0010271249921061099,0.061702541017439216,True
test_joint_ood,ridge_global,Ridge + one global Landweber step,128,4,64,64,64,0,0,4,128,0.0010271249921061099,0.04970587498974055,True
test_joint_ood,ridge_quadratic,Ridge + quadratic step then projection,128,4,64,129,64,0,0,4,128,0.0010271249921061099,0.11351049999939278,True
test_joint_ood,ridge_lookup,Ridge + validation-tuned spectral lookup,128,4,64,64,64,0,0,4,128,0.0010271249921061099,0.06348495799466036,True
