cluster_id,family,field_harm_over_two_percent_replicate_rate,gradient_harm_over_two_percent_replicate_rate,maximum_active_residual_ratio,maximum_heldout_b_ratio,mean_active_residual_ratio,mean_field_gain_percent,mean_front_f1_gain_percent,mean_gradient_gain_percent,mean_heldout_b_ratio,replicate_count,split,worst_replicate_field_gain_percent,worst_replicate_gradient_gain_percent
lockbox_exact_operator_control-cluster-000,plume,0.0,0.0,1.0053184920501368,0.9495090931341645,0.9778793959488368,3.864718276040967,3.22500357564774,8.181466889247254,0.9367567764688198,4,lockbox_exact_operator_control,3.1908696711000295,7.294559753307633
lockbox_exact_operator_control-cluster-001,wavy_front,0.0,0.0,1.0605883486908567,0.9732133583858145,1.0300065006611687,3.9310845283687055,1.9294856512664933,7.543373605881528,0.9455372232680402,4,lockbox_exact_operator_control,2.4902319998155025,5.748959021336473
lockbox_exact_operator_control-cluster-002,plume,0.0,0.0,1.0468261006336281,0.967067061574199,1.028930348008086,2.7937049343073403,0.5910117180863971,6.378281899104004,0.9553789510308521,4,lockbox_exact_operator_control,2.4065957619365785,5.647592112121238
lockbox_exact_operator_control-cluster-003,wavy_front,0.0,0.0,1.0467557315680849,0.9578644346531233,1.005938322110843,3.938881765959018,2.8667339174080833,7.723152624746077,0.9305390821166784,4,lockbox_exact_operator_control,2.277916823277955,5.710445309807523
lockbox_exact_operator_control-cluster-004,plume,0.0,0.0,1.052356377063517,0.9686846341239914,1.0356407734654822,3.473405831121175,6.177330519902925,7.295175596938876,0.9540896576297362,4,lockbox_exact_operator_control,2.4216377931603215,5.782138992693349
lockbox_exact_operator_control-cluster-005,wavy_front,0.0,0.0,1.0111884288453137,0.9707637833573755,0.9958825847798392,2.5881576310432104,0.9960336215120751,9.013486728549035,0.9409324015601277,4,lockbox_exact_operator_control,1.7049831406577223,7.281658259583489
lockbox_exact_operator_control-cluster-006,plume,0.0,0.0,1.014584649299811,0.9719499178415708,0.997839072572771,2.6817111750069,3.6788647340128406,8.42748785842339,0.9349994613769982,4,lockbox_exact_operator_control,1.7127187265351944,6.530983317810407
lockbox_exact_operator_control-cluster-007,wavy_front,0.0,0.0,1.04610787545023,0.9328282839246039,1.0106612473141057,4.821935137026976,2.955224977060266,9.468804782029958,0.906293498745742,4,lockbox_exact_operator_control,4.214024385695118,8.757041985686747
lockbox_exact_operator_control-cluster-008,plume,0.0,0.0,1.029820634443601,0.9556980475997421,1.0142800071535778,3.7969388926643717,4.923301539651268,8.473492040972545,0.9456153147296382,4,lockbox_exact_operator_control,3.4742527843888853,7.901028878305181
lockbox_exact_operator_control-cluster-009,wavy_front,0.0,0.0,1.0250060657754396,0.9260105508566252,1.0106549485508332,4.460393022696656,3.0431964146644916,8.92328878845797,0.9196985999564413,4,lockbox_exact_operator_control,3.976442887439046,8.334644805585748
