stratum,rig,K,method,hidden_action_relative_l2,gradient_cosine_median,gradient_relative_l2_median,query_count,dot_defect_max
in_class,0,4,nominal,0.10447193970681282,0.9683405673292544,0.2543014186754088,4,
in_class,0,4,secant,0.10172865895988754,0.9699323262866146,0.2495956101217873,4,
in_class,0,4,channel_gate,0.0004916476737712849,0.999999180238132,0.0013293480894918672,4,
in_class,0,4,gate_plus_secant,0.000634510419556196,0.9999986997499124,0.0016406360191106328,4,3.3259713271685956e-15
in_class,0,8,nominal,0.10447193970681282,0.9739776030721108,0.23478869993849766,8,
in_class,0,8,secant,0.09859582770394827,0.9793261469916656,0.20515238763724924,8,
in_class,0,8,channel_gate,0.0004893125106168631,0.9999993367265703,0.0011553644361262682,8,
in_class,0,8,gate_plus_secant,0.0008979394994537913,0.9999981640525798,0.0019300409344485175,8,7.280341191742665e-14
in_class,0,16,nominal,0.10447193970681282,0.9764820298141288,0.22288330047929605,16,
in_class,0,16,secant,0.09254620435080378,0.9817647187892673,0.19865740354858835,16,
in_class,0,16,channel_gate,0.00024047926620666946,0.9999998638255565,0.0005264448780879635,16,
in_class,0,16,gate_plus_secant,0.0011461334262921213,0.9999966497547745,0.0027508700354640704,16,1.098847022571557e-14
in_class,0,32,nominal,0.10447193970681282,0.9729596849040802,0.23675436368888403,32,
in_class,0,32,secant,0.07655518499498146,0.9850715756075072,0.17474359588684746,32,
in_class,0,32,channel_gate,0.00020356644808841947,0.9999998943674391,0.0004728631710357358,32,
in_class,0,32,gate_plus_secant,0.002104359791117958,0.999990014774446,0.004602622491457771,32,9.432267802854996e-15
in_class,1,4,nominal,0.09947747336907113,0.9725833399129196,0.23936228755296146,4,
in_class,1,4,secant,0.09544174439501689,0.9766572386797218,0.21782291333289353,4,
in_class,1,4,channel_gate,0.0006761159003699453,0.9999987589410297,0.0016049464516421446,4,
in_class,1,4,gate_plus_secant,0.000833932811183504,0.9999981719904414,0.001971228276085057,4,3.4080713802970234e-14
in_class,1,8,nominal,0.09947747336907113,0.974285573463403,0.22961273617899097,8,
in_class,1,8,secant,0.09223373373137005,0.9787375474068822,0.20669455004387594,8,
in_class,1,8,channel_gate,0.00038260666466117697,0.9999995622836806,0.0009527104638462748,8,
in_class,1,8,gate_plus_secant,0.0007589212007930736,0.9999981392507218,0.001998208288625058,8,3.994813170947802e-14
in_class,1,16,nominal,0.09947747336907113,0.9721616510795883,0.2365108542221082,16,
in_class,1,16,secant,0.08589257651641326,0.9807910905536238,0.19692581496702866,16,
in_class,1,16,channel_gate,0.00027206422649251076,0.9999998041446113,0.0006278742170737845,16,
in_class,1,16,gate_plus_secant,0.001175682335496658,0.9999966915100829,0.0026156477144664734,16,2.74176601027142e-15
in_class,1,32,nominal,0.09947747336907113,0.9771449601392881,0.2225705883702499,32,
in_class,1,32,secant,0.06981706483006012,0.9903728985352951,0.14309028411268304,32,
in_class,1,32,channel_gate,0.0001636297016591104,0.9999999320948783,0.0003709631728269686,32,
in_class,1,32,gate_plus_secant,0.001980830090679606,0.999989974648352,0.004613128619510236,32,8.287976449092755e-16
in_class,2,4,nominal,0.10012248181613957,0.9789499621873895,0.2079153840975812,4,
in_class,2,4,secant,0.09690043921906115,0.9793668760104672,0.20287507118853976,4,
in_class,2,4,channel_gate,0.0004978822668397291,0.9999994118588262,0.001118392931127582,4,
