candidate_id,method,split,row_count,field_gain_to_raw_mean,h1_gain_to_raw_mean,field_harm_rate_vs_raw,worst_field_gain_to_raw,uses_truth,uses_exact_nuisance
paired_exact_mean_iid_sensor_oracle,jacru_m2,development,36,0.006923081448008873,-0.0910247350323453,0.2777777777777778,-0.22912988618983926,False,True
paired_exact_mean_iid_sensor_oracle,jacru_m2,ood,54,0.08752761421326302,-0.014306507660922852,0.07407407407407407,-0.061525987339887685,False,True
paired_exact_mean_iid_sensor_oracle,pooled_cnn,development,36,-0.02417567114151479,-0.10621439483397137,0.3888888888888889,-0.23192386651547356,False,True
paired_exact_mean_iid_sensor_oracle,pooled_cnn,ood,54,0.08007890182943272,-0.012477769278087943,0.09259259259259259,-0.028918965947523974,False,True
paired_isotropic_sensor,jacru_m2,development,36,0.007198923365206698,-0.09072785159601242,0.2777777777777778,-0.22702633492916882,False,False
paired_isotropic_sensor,jacru_m2,ood,54,0.08758061410554167,-0.01422195780216903,0.07407407407407407,-0.06118474028774934,False,False
paired_isotropic_sensor,pooled_cnn,development,36,-0.023917259937663058,-0.10593831469034502,0.3888888888888889,-0.23213867929279436,False,False
paired_isotropic_sensor,pooled_cnn,ood,54,0.08012530627137637,-0.012408275923794641,0.09259259259259259,-0.028625172053686327,False,False
paired_structured_sensor,jacru_m2,development,36,0.007164806209134815,-0.09083028637539775,0.2777777777777778,-0.2266197477415093,False,False
paired_structured_sensor,jacru_m2,ood,54,0.08757292937114931,-0.014253930501374313,0.07407407407407407,-0.06119579601941307,False,False
paired_structured_sensor,pooled_cnn,development,36,-0.023936244707327952,-0.10600581029768111,0.3888888888888889,-0.23228829331290454,False,False
paired_structured_sensor,pooled_cnn,ood,54,0.08011821701400655,-0.012424669953363743,0.09259259259259259,-0.028595271067416026,False,False
paired_structured_truth_residual_oracle,jacru_m2,development,36,0.01780149082590271,0.007099852397469717,0.0,0.0,True,False
paired_structured_truth_residual_oracle,jacru_m2,ood,54,0.039710786876013184,0.021924585346183557,0.0,0.0,True,False
paired_structured_truth_residual_oracle,pooled_cnn,development,36,0.016173356455703867,0.0063601109712891684,0.0,0.0,True,False
paired_structured_truth_residual_oracle,pooled_cnn,ood,54,0.03824092840283789,0.02662473387987468,0.0,0.0,True,False
unpaired_exact_covariance_sensor_oracle,jacru_m2,development,36,0.021466432543851496,-0.07623425809206481,0.2222222222222222,-0.16754457102433998,False,True
unpaired_exact_covariance_sensor_oracle,jacru_m2,ood,54,0.09122746908672069,-0.008975668669701396,0.05555555555555555,-0.027355276128865992,False,True
unpaired_exact_covariance_sensor_oracle,pooled_cnn,development,36,-0.009060925180050148,-0.09114689839774201,0.3888888888888889,-0.2336871314439609,False,True
unpaired_exact_covariance_sensor_oracle,pooled_cnn,ood,54,0.08405942394672916,-0.007287235071335286,0.07407407407407407,-0.02756280024537692,False,True
unpaired_isotropic_sensor,jacru_m2,development,36,0.005009627633267848,-0.09509935495124872,0.3055555555555556,-0.19594559445911855,False,False
unpaired_isotropic_sensor,jacru_m2,ood,54,0.08184468131871858,-0.020408173570379343,0.07407407407407407,-0.07226727162528097,False,False
unpaired_isotropic_sensor,pooled_cnn,development,36,-0.025952552087879298,-0.11059950626462352,0.5,-0.23814223874545248,False,False
unpaired_isotropic_sensor,pooled_cnn,ood,54,0.07431153205008317,-0.018902993594261293,0.1111111111111111,-0.040080010863691305,False,False
unpaired_structured_sensor,jacru_m2,development,36,0.021406956891523464,-0.07625665185443369,0.2222222222222222,-0.16773646087455182,False,False
unpaired_structured_sensor,jacru_m2,ood,54,0.0912183457296812,-0.008973318885454891,0.05555555555555555,-0.027032827798980634,False,False
unpaired_structured_sensor,pooled_cnn,development,36,-0.009098852726416248,-0.0911424019773646,0.3888888888888889,-0.2338464395760909,False,False
unpaired_structured_sensor,pooled_cnn,ood,54,0.0840466229533575,-0.0072834108065019535,0.07407407407407407,-0.027277080475575022,False,False
