candidate_id,method,model_seed,case_id,split,family,base_seed,uses_truth,uses_exact_nuisance,raw_field_relative_l2,candidate_field_relative_l2,field_gain_to_raw,raw_h1_seminorm_relative_error,candidate_h1_seminorm_relative_error,h1_gain_to_raw,field_harm_vs_raw
paired_isotropic_sensor,jacru_m2,17,6c144f9849f9520d81e5,development,smooth_no_interface,2101,False,False,0.24785472577107925,0.24631202500250918,0.006224213654876722,0.47738947797293424,0.518714731426584,-0.08656506973954019,False
paired_structured_sensor,jacru_m2,17,6c144f9849f9520d81e5,development,smooth_no_interface,2101,False,False,0.24785472577107925,0.24635276561856895,0.006059840690298275,0.47738947797293424,0.5188379018440757,-0.08682307797636762,False
unpaired_isotropic_sensor,jacru_m2,17,6c144f9849f9520d81e5,development,smooth_no_interface,2101,False,False,0.24785472577107925,0.24937081883229908,-0.006116861627323207,0.47738947797293424,0.5272673221241582,-0.10448040112449183,False
unpaired_structured_sensor,jacru_m2,17,6c144f9849f9520d81e5,development,smooth_no_interface,2101,False,False,0.24785472577107925,0.24718756833396907,0.0026917277249188915,0.47738947797293424,0.5203185867762409,-0.08992470673126256,False
paired_exact_mean_iid_sensor_oracle,jacru_m2,17,6c144f9849f9520d81e5,development,smooth_no_interface,2101,False,True,0.24785472577107925,0.24630518612285976,0.006251805945595173,0.47738947797293424,0.518667435658038,-0.08646599807849975,False
unpaired_exact_covariance_sensor_oracle,jacru_m2,17,6c144f9849f9520d81e5,development,smooth_no_interface,2101,False,True,0.24785472577107925,0.24719011893821677,0.002681437002239457,0.47738947797293424,0.5203548427445229,-0.09000065303916192,False
paired_structured_truth_residual_oracle,jacru_m2,17,6c144f9849f9520d81e5,development,smooth_no_interface,2101,True,False,0.24785472577107925,0.2436172817330008,0.01709648272751597,0.47738947797293424,0.47620566901859834,0.002479755019659258,False
paired_isotropic_sensor,jacru_m2,17,cee85dad2f56f6debc94,development,single_interface,2101,False,False,0.4197601496572044,0.3900423181644745,0.07079717194926399,0.7038168593465023,0.7066211364857818,-0.003984384718893123,False
paired_structured_sensor,jacru_m2,17,cee85dad2f56f6debc94,development,single_interface,2101,False,False,0.4197601496572044,0.39009605777989803,0.07066914737268751,0.7038168593465023,0.7067083190402867,-0.0041082557989150685,False
unpaired_isotropic_sensor,jacru_m2,17,cee85dad2f56f6debc94,development,single_interface,2101,False,False,0.4197601496572044,0.3897324320583445,0.07153541760308092,0.7038168593465023,0.7083958243828803,-0.006505904164656692,False
unpaired_structured_sensor,jacru_m2,17,cee85dad2f56f6debc94,development,single_interface,2101,False,False,0.4197601496572044,0.3903515986089279,0.07006036917104419,0.7038168593465023,0.7086231681108429,-0.006828919626624618,False
paired_exact_mean_iid_sensor_oracle,jacru_m2,17,cee85dad2f56f6debc94,development,single_interface,2101,False,True,0.4197601496572044,0.39000652631776894,0.07088243932572832,0.7038168593465023,0.7065413947863204,-0.0038710857855093787,False
unpaired_exact_covariance_sensor_oracle,jacru_m2,17,cee85dad2f56f6debc94,development,single_interface,2101,False,True,0.4197601496572044,0.3902925392850157,0.07020106695753102,0.7038168593465023,0.7085095435425457,-0.006667479094491412,False
paired_structured_truth_residual_oracle,jacru_m2,17,cee85dad2f56f6debc94,development,single_interface,2101,True,False,0.4197601496572044,0.41911644626361866,0.001533502868510489,0.7038168593465023,0.7033001849357678,0.0007341034871119401,False
paired_isotropic_sensor,jacru_m2,17,b06a75091983ab395677,development,smooth_no_interface,2113,False,False,0.23642150783266264,0.23584056171853834,0.002457247309899916,0.44361896232082726,0.4816433467711835,-0.08571406472669402,False
paired_structured_sensor,jacru_m2,17,b06a75091983ab395677,development,smooth_no_interface,2113,False,False,0.23642150783266264,0.23587022338513583,0.0023317863614887415,0.44361896232082726,0.4817220970318426,-0.08589158252315414,False
unpaired_isotropic_sensor,jacru_m2,17,b06a75091983ab395677,development,smooth_no_interface,2113,False,False,0.23642150783266264,0.23821760358941557,-0.007597006605778856,0.44361896232082726,0.48755492522734234,-0.0990398667285561,False
unpaired_structured_sensor,jacru_m2,17,b06a75091983ab395677,development,smooth_no_interface,2113,False,False,0.23642150783266264,0.23762671481822148,-0.005097704505005862,0.44361896232082726,0.48255985387232875,-0.08778004291741537,False
paired_exact_mean_iid_sensor_oracle,jacru_m2,17,b06a75091983ab395677,development,smooth_no_interface,2113,False,True,0.23642150783266264,0.23584918221809234,0.002420784893121415,0.44361896232082726,0.48168427824787563,-0.08580633192031896,False
unpaired_exact_covariance_sensor_oracle,jacru_m2,17,b06a75091983ab395677,development,smooth_no_interface,2113,False,True,0.23642150783266264,0.23761896215446884,-0.005064912802492387,0.44361896232082726,0.48257018529712614,-0.08780333187860707,False
paired_structured_truth_residual_oracle,jacru_m2,17,b06a75091983ab395677,development,smooth_no_interface,2113,True,False,0.23642150783266264,0.2288956155917177,0.03183251942658156,0.44361896232082726,0.4381035823897569,0.012432696524549432,False
paired_isotropic_sensor,jacru_m2,17,423593699e2b6baeef3f,development,single_interface,2113,False,False,0.7053691596243571,0.7439731791481492,-0.054728816814660006,0.9038247484326206,1.05800246456756,-0.17058364069174775,True
paired_structured_sensor,jacru_m2,17,423593699e2b6baeef3f,development,single_interface,2113,False,False,0.7053691596243571,0.7441544484778608,-0.05498580186601689,0.9038247484326206,1.05832999558964,-0.17094602402175485,True
unpaired_isotropic_sensor,jacru_m2,17,423593699e2b6baeef3f,development,single_interface,2113,False,False,0.7053691596243571,0.7281169324639085,-0.032249457648057235,0.9038247484326206,1.0336689357418087,-0.14366080098421635,True
unpaired_structured_sensor,jacru_m2,17,423593699e2b6baeef3f,development,single_interface,2113,False,False,0.7053691596243571,0.6957474157856893,0.013640720901083628,0.9038247484326206,0.9863298933055827,-0.09128444979631227,False
paired_exact_mean_iid_sensor_oracle,jacru_m2,17,423593699e2b6baeef3f,development,single_interface,2113,False,True,0.7053691596243571,0.7449621525982298,-0.05613088187036405,0.9038247484326206,1.0597001463737512,-0.17246197142913372,True
unpaired_exact_covariance_sensor_oracle,jacru_m2,17,423593699e2b6baeef3f,development,single_interface,2113,False,True,0.7053691596243571,0.6956835568948394,0.01373125348246829,0.9038247484326206,0.9861367301739846,-0.0910707323340132,False
paired_structured_truth_residual_oracle,jacru_m2,17,423593699e2b6baeef3f,development,single_interface,2113,True,False,0.7053691596243571,0.7053691596243571,0.0,0.9038247484326206,0.9038247484326206,0.0,False
paired_isotropic_sensor,jacru_m2,17,5639798ee009ab4df707,development,smooth_no_interface,2129,False,False,0.24219668589494697,0.23267858179585324,0.03929906829205012,0.46092793577478886,0.5050063814916207,-0.09562979870755488,False
paired_structured_sensor,jacru_m2,17,5639798ee009ab4df707,development,smooth_no_interface,2129,False,False,0.24219668589494697,0.2326746046546583,0.03931548941350451,0.46092793577478886,0.5050239644714988,-0.09566794562492174,False
unpaired_isotropic_sensor,jacru_m2,17,5639798ee009ab4df707,development,smooth_no_interface,2129,False,False,0.24219668589494697,0.23707916458934447,0.021129609130251397,0.46092793577478886,0.5142787004142841,-0.11574643344152322,False
