candidate_id,selector_digest,session_id,manifest_digest,split,gate_policy,target_two_sided_coverage,joint_tail_quantile,calibration_sample_count,joint_tail_order,finite_sample_two_sided_lower_bound,same_session_repeat_event_successes,same_session_repeat_event_sample_count,same_session_repeat_event_coverage,same_session_repeat_event_ci_lower,same_session_repeat_event_ci_upper,same_session_repeat_event_ci_method,global_band_coverage,global_upper_coverage,joint_upper_coverage,joint_lower_coverage,joint_two_sided_coverage,per_camera_band_coverages_json,selector_covariance_condition_number,audit_digest
structured_joint_upper_95_ablation,8fd9be9b5b38f474263081971d54b19db07d2201449bd8de2b4e7565d4f747b7,ood:3109:efb5c7642b3f28db,0a01bc71322ef6137d6f9dcff4470157a2639473b544ce91d10e7c4173552b5a,ood,joint_upper_only,0.9,0.95,64,62,0.9076923076923078,234,256,0.9140625,0.8727804368109001,0.9453594666392962,clopper-pearson-exact,1.0,1.0,0.9140625,0.98046875,0.89453125,"[0.953125,0.96484375,0.97265625]",23.411492418816977,d21f3420e795c9716f3623894165349979ede46f801844ccd83167ef6ccd4889
structured_global_upper_95_ablation,991f72955e741e12fcd05450698366e73c4f2b994d95c42def649054d9bf0e7e,ood:3109:efb5c7642b3f28db,0a01bc71322ef6137d6f9dcff4470157a2639473b544ce91d10e7c4173552b5a,ood,global_upper_only,0.9,0.95,64,62,0.9076923076923078,256,256,1.0,0.9856936372709615,1.0,clopper-pearson-exact,1.0,1.0,0.9140625,0.98046875,0.89453125,"[0.953125,0.96484375,0.97265625]",23.411492418816977,7ff4437d46d99dd13cdc7212ca4847f201cf3b48e8ef99e70c5a327baa7611b9
structured_target_mismatch_oracle_fraction_025,59834e63219be6cebe5400a8922e5015718d1ce00a18f8a728187ecb3284207d,ood:3109:efb5c7642b3f28db,0a01bc71322ef6137d6f9dcff4470157a2639473b544ce91d10e7c4173552b5a,ood,joint_two_sided,0.95,0.975,64,64,0.9692307692307693,253,256,0.98828125,0.9661367173637085,0.9975767612461293,clopper-pearson-exact,1.0,1.0,0.9921875,0.99609375,0.98828125,"[0.9921875,0.99609375,1.0]",23.411492418816977,a8bc78f19de952e1780aa991bbd0ed5957496dbbd7c3db0bd99cb441157e5f28
structured_target_mismatch_oracle_fraction_050,6213bc0687b702a48a7e1d498d46b981fb6a43d93b44b2f017a7986c1baf4a00,ood:3109:efb5c7642b3f28db,0a01bc71322ef6137d6f9dcff4470157a2639473b544ce91d10e7c4173552b5a,ood,joint_two_sided,0.95,0.975,64,64,0.9692307692307693,253,256,0.98828125,0.9661367173637085,0.9975767612461293,clopper-pearson-exact,1.0,1.0,0.9921875,0.99609375,0.98828125,"[0.9921875,0.99609375,1.0]",23.411492418816977,26d956a519654f3c29b181bc41aecf9e88a9b380b6e7c07d949dfdbaffa0dfab
structured_target_mismatch_oracle_fraction_075,16bc45c63ae0e8c967816a8730e8b30ec22beb0088c06938636b246f304f6253,ood:3109:efb5c7642b3f28db,0a01bc71322ef6137d6f9dcff4470157a2639473b544ce91d10e7c4173552b5a,ood,joint_two_sided,0.95,0.975,64,64,0.9692307692307693,253,256,0.98828125,0.9661367173637085,0.9975767612461293,clopper-pearson-exact,1.0,1.0,0.9921875,0.99609375,0.98828125,"[0.9921875,0.99609375,1.0]",23.411492418816977,7333fa80a1254d9b9701e3101fb207ffd306271fc52abeb4addd641664b2162d
structured_exact_target_mismatch_oracle_fraction_100,671a9d1beaa72c6f490fea827d720431e04efad99f1dd5fcc255cedacb566fc7,ood:3109:efb5c7642b3f28db,0a01bc71322ef6137d6f9dcff4470157a2639473b544ce91d10e7c4173552b5a,ood,joint_two_sided,0.95,0.975,64,64,0.9692307692307693,253,256,0.98828125,0.9661367173637085,0.9975767612461293,clopper-pearson-exact,1.0,1.0,0.9921875,0.99609375,0.98828125,"[0.9921875,0.99609375,1.0]",23.411492418816977,56c941856f2c8eec1f6a66d43d9bc28c4580bbe73074fbbe9631f36c798eb005
structured_joint_two_sided_95,ea1852f4a8d5bf64b69f4817f9dd7b9a4e0e6c07e56c6bee508841f1c3966859,train:1101:da6b2e0a6e4b84ce,75f5292d96101117b0fc56519ab14caccb7dfe008cccf38d55dc98d2dcad697d,train,joint_two_sided,0.95,0.975,64,64,0.9692307692307693,248,256,0.96875,0.9393559491280298,0.9864138141024819,clopper-pearson-exact,1.0,1.0,0.98828125,0.98046875,0.96875,"[0.98828125,0.984375,0.99609375]",25.067056726172115,77a1a60774f49f809707917ed8e48c93b24633f7fac23bf1ff020bbcd78c4b77
isotropic_joint_two_sided_95,3b13bc8c098de03bcb161827ee5c7ac5376280750d48cb7a8271f42b507f0c10,train:1101:da6b2e0a6e4b84ce,75f5292d96101117b0fc56519ab14caccb7dfe008cccf38d55dc98d2dcad697d,train,joint_two_sided,0.95,0.975,64,64,0.9692307692307693,249,256,0.97265625,0.9444754094525949,0.9889372131915019,clopper-pearson-exact,1.0,1.0,0.9765625,0.99609375,0.97265625,"[0.9921875,0.98828125,0.9921875]",1.0,0b36b3ade6f17443b43b88f154669340001680ae22438dd12391d319071c0c93
structured_joint_upper_95_ablation,117f96a74dc9a163b68e478b6ff664e37b2e44a3811212ddba6cdcc9a7fe9d46,train:1101:da6b2e0a6e4b84ce,75f5292d96101117b0fc56519ab14caccb7dfe008cccf38d55dc98d2dcad697d,train,joint_upper_only,0.9,0.95,64,62,0.9076923076923078,253,256,0.98828125,0.9661367173637085,0.9975767612461293,clopper-pearson-exact,1.0,1.0,0.98828125,0.9453125,0.93359375,"[0.9765625,0.96484375,0.984375]",25.067056726172115,95f1d8dc6485b5afbd97e2491703ad18e11a379203628364686670ec2bb0e537
structured_global_upper_95_ablation,e3331e0dfc30802b3c5080c4e5fde83bad79d6aafd53cc8adf0706566a98d480,train:1101:da6b2e0a6e4b84ce,75f5292d96101117b0fc56519ab14caccb7dfe008cccf38d55dc98d2dcad697d,train,global_upper_only,0.9,0.95,64,62,0.9076923076923078,256,256,1.0,0.9856936372709615,1.0,clopper-pearson-exact,1.0,1.0,0.98828125,0.9453125,0.93359375,"[0.9765625,0.96484375,0.984375]",25.067056726172115,7b1a898f5755c428aecbe18ad98d2742994b942db69087b7962a86ad8049d868
structured_target_mismatch_oracle_fraction_025,0a53cbf087e1378e927d564e4942a51c503d0da360120d9de88cb3476979df9e,train:1101:da6b2e0a6e4b84ce,75f5292d96101117b0fc56519ab14caccb7dfe008cccf38d55dc98d2dcad697d,train,joint_two_sided,0.95,0.975,64,64,0.9692307692307693,248,256,0.96875,0.9393559491280298,0.9864138141024819,clopper-pearson-exact,1.0,1.0,0.98828125,0.98046875,0.96875,"[0.98828125,0.984375,0.99609375]",25.067056726172115,08051f636d6a7cc831509521e838c139024a8edccbe980899b7a81068011d5c3
structured_target_mismatch_oracle_fraction_050,91a58ca440f34191b6e1ce84d86d1579cca70015255c94b03c1f1fc9148d50c5,train:1101:da6b2e0a6e4b84ce,75f5292d96101117b0fc56519ab14caccb7dfe008cccf38d55dc98d2dcad697d,train,joint_two_sided,0.95,0.975,64,64,0.9692307692307693,248,256,0.96875,0.9393559491280298,0.9864138141024819,clopper-pearson-exact,1.0,1.0,0.98828125,0.98046875,0.96875,"[0.98828125,0.984375,0.99609375]",25.067056726172115,e21ca80551f05d03d9b6073ed7dc6c0c002f312b299f2b4ee7b52a1a6e07516c
structured_target_mismatch_oracle_fraction_075,22a21108f540c69a87145efddfe9bd486e6717b168b99dd0b7a8656044aa855d,train:1101:da6b2e0a6e4b84ce,75f5292d96101117b0fc56519ab14caccb7dfe008cccf38d55dc98d2dcad697d,train,joint_two_sided,0.95,0.975,64,64,0.9692307692307693,248,256,0.96875,0.9393559491280298,0.9864138141024819,clopper-pearson-exact,1.0,1.0,0.98828125,0.98046875,0.96875,"[0.98828125,0.984375,0.99609375]",25.067056726172115,0398b3f5900a34593500a7f969c232f04a455472d289117fb200f7a3cab7311f
structured_exact_target_mismatch_oracle_fraction_100,3d53ae20ebf1fce1c1a6c8bd5ae587ca01202e217b08ffd4e62915d243e4d0b8,train:1101:da6b2e0a6e4b84ce,75f5292d96101117b0fc56519ab14caccb7dfe008cccf38d55dc98d2dcad697d,train,joint_two_sided,0.95,0.975,64,64,0.9692307692307693,248,256,0.96875,0.9393559491280298,0.9864138141024819,clopper-pearson-exact,1.0,1.0,0.98828125,0.98046875,0.96875,"[0.98828125,0.984375,0.99609375]",25.067056726172115,a5b1833f1a22f41171598c4b963d1a314f185818d49cbb4170573bd319525acd
